Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,Charleston,,,Concord,40,0.0,1
1/21/2026,Charleston,31,2.0,Concord,0,0.0,1
1/21/2026,Charleston,61,2.0,Concord,0,0.0,1
1/21/2026,Charleston,60,0.0,Concord,31,3.0,1
1/21/2026,Charleston,30,0.0,Concord,40,0.0,1
1/21/2026,Charleston,31,2.0,Concord,31/70,2.0,1
1/21/2026,Charleston,61,3.0,Concord,41/11,0.0,1
1/21/2026,Charleston,31,3.0,Concord,41,0.0,1
1/21/2026,Charleston,60,2.0,Concord,60/61,2.0,1
1/21/2026,Charleston,61,2.0,Concord,40,3.0,1
1/21/2026,Charleston,41,3.0,Concord,11/31,0.0,1
1/21/2026,Charleston,70,3.0,Concord,31,2.0,1
1/21/2026,Charleston,61,2.0,Concord,0,0.0,1
1/21/2026,Charleston,61/61,2.0,Concord,0,0.0,1
1/21/2026,Charleston,31,2.0,Concord,31,0.0,1
1/21/2026,Charleston,41,0.0,Concord,0,0.0,1
1/21/2026,Charleston,0,0.0,Concord,40,0.0,1
1/21/2026,Charleston,41,0.0,Concord,31,2.0,1
1/21/2026,Charleston,41,2.0,Concord,0,0.0,1
1/21/2026,Charleston,61,2.0,Concord,31/31,2.0,1
1/21/2026,Charleston,31,0.0,Concord,31,2.0,1
1/21/2026,Charleston,41,0.0,Concord,31,3.0,1
1/21/2026,Charleston,41,3.0,Concord,0,0.0,1
1/21/2026,Charleston,61,2.0,Concord,40,0.0,1
1/21/2026,Charleston,0,0.0,Concord,41,3.0,1
1/21/2026,Charleston,31,0.0,Concord,70,2.0,1
1/21/2026,Charleston,0,0.0,Concord,11,2.0,1
1/21/2026,Charleston,11,0.0,Concord,60,0.0,1
1/21/2026,Charleston,31,0.0,Concord,31,2.0,1
1/21/2026,Charleston,0,0.0,Concord,11/0,0.0,1
1/21/2026,Charleston,61,2.0,Concord,70,2.0,1
1/21/2026,Charleston,61,2.0,Concord,70,2.0,1
1/21/2026,Charleston,0,0.0,Concord,70,2.0,1
1/21/2026,Charleston,11,0.0,Concord,0,0.0,1
1/21/2026,Charleston,61,3.0,Concord,41,0.0,1
1/21/2026,Charleston,11/31/70,3.0,Concord,10,0.0,1
1/21/2026,Charleston,61,0.0,Concord,61,3.0,2
1/21/2026,Charleston,61,2.0,Concord,61,2.0,2
1/21/2026,Charleston,60,2.0,Concord,61,0.0,2
1/21/2026,Charleston,41,0.0,Concord,31,0.0,2
1/21/2026,Charleston,11,0.0,Concord,60,3.0,2
1/21/2026,Charleston,31/60,2.0,Concord,31,2.0,2
1/21/2026,Charleston,60,2.0,Concord,41,0.0,2
1/21/2026,Charleston,110,3.0,Concord,31/31/41,3.0,2
1/21/2026,Charleston,60,2.0,Concord,70,2.0,2
1/21/2026,Charleston,0,0.0,Concord,11,0.0,2
1/21/2026,Charleston,41,3.0,Concord,70,3.0,2
1/21/2026,Charleston,0,0.0,Concord,31,2.0,2
1/21/2026,Charleston,70,0.0,Concord,31,3.0,2
1/21/2026,Charleston,61,0.0,Concord,31/61,2.0,2
1/21/2026,Charleston,60,2.0,Concord,60,2.0,2
1/21/2026,Charleston,11,0.0,Concord,11/0,0.0,2
1/21/2026,Charleston,0,0.0,Concord,0,0.0,2
1/21/2026,Charleston,11,2.0,Concord,60,2.0,2
1/21/2026,Charleston,0,0.0,Concord,70,2.0,2
1/21/2026,Charleston,61,2.0,Concord,0,0.0,2
1/21/2026,Charleston,41,0.0,Concord,11/70,3.0,2
1/21/2026,Charleston,40,0.0,Concord,31,2.0,2
1/21/2026,Charleston,70,0.0,Concord,,,2
1/21/2026,Charleston,/70,2.0,Concord,41,0.0,2
1/21/2026,Charleston,41,3.0,Concord,0,0.0,2
1/21/2026,Charleston,70,2.0,Concord,,,2
1/21/2026,Charleston,40,0.0,Concord,70,0.0,2
1/21/2026,Charleston,31,0.0,Concord,70,2.0,2
1/21/2026,Charleston,60/60,2.0,Concord,60,0.0,2
1/21/2026,Charleston,61,2.0,Concord,70,3.0,2
1/21/2026,Charleston,40,3.0,Concord,70,2.0,2
1/21/2026,Charleston,0,0.0,Concord,70,2.0,2
1/21/2026,Charleston,31/70,2.0,Concord,0,0.0,2
1/21/2026,Charleston,60,2.0,Concord,0,0.0,2
1/21/2026,Charleston,61,0.0,Concord,41,0.0,2
1/21/2026,Charleston,41,2.0,Concord,0,0.0,2
1/21/2026,Charleston,61,2.0,Concord,41,0.0,2
1/21/2026,Charleston,70,1.0,Concord,60,2.0,2
1/21/2026,Charleston,70,2.0,Concord,70,2.0,2
1/21/2026,Charleston,70,2.0,Concord,70,1.0,2
1/21/2026,Charleston,70,2.0,Concord,60,2.0,2
1/21/2026,Charleston,70,2.0,Concord,31,3.0,2
1/21/2026,Charleston,70,2.0,Concord,/11,0.0,2
