Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/21/2026,Charleston,31,0.0,D&E,61,3.0,1
2/21/2026,Charleston,31/61,2.0,D&E,60,0.0,1
2/21/2026,Charleston,61,2.0,D&E,0,0.0,1
2/21/2026,Charleston,31,2.0,D&E,31,0.0,1
2/21/2026,Charleston,0,0.0,D&E,40,2.0,1
2/21/2026,Charleston,61,2.0,D&E,60,2.0,1
2/21/2026,Charleston,60,2.0,D&E,70,3.0,1
2/21/2026,Charleston,61,2.0,D&E,11,0.0,1
2/21/2026,Charleston,0,0.0,D&E,0,0.0,1
2/21/2026,Charleston,60,2.0,D&E,41,3.0,1
2/21/2026,Charleston,70,2.0,D&E,11,0.0,1
2/21/2026,Charleston,41,0.0,D&E,0,0.0,1
2/21/2026,Charleston,0,0.0,D&E,0,0.0,1
2/21/2026,Charleston,31,0.0,D&E,70,2.0,1
2/21/2026,Charleston,31,2.0,D&E,31,0.0,1
2/21/2026,Charleston,61/70,3.0,D&E,0,0.0,1
2/21/2026,Charleston,41/61,2.0,D&E,0,0.0,1
2/21/2026,Charleston,70,1.0,D&E,61,0.0,1
2/21/2026,Charleston,41,2.0,D&E,31,0.0,1
2/21/2026,Charleston,61,2.0,D&E,70,2.0,1
2/21/2026,Charleston,41,2.0,D&E,61/0,0.0,1
2/21/2026,Charleston,61,2.0,D&E,11/31,3.0,1
2/21/2026,Charleston,61,2.0,D&E,41,3.0,1
2/21/2026,Charleston,31,2.0,D&E,41,3.0,1
2/21/2026,Charleston,61,0.0,D&E,60,3.0,1
2/21/2026,Charleston,41,0.0,D&E,31/61,3.0,1
2/21/2026,Charleston,41,3.0,D&E,60,0.0,1
2/21/2026,Charleston,11,0.0,D&E,0,0.0,1
2/21/2026,Charleston,41/60,2.0,D&E,41,3.0,1
2/21/2026,Charleston,70,2.0,D&E,60,2.0,1
2/21/2026,Charleston,60,2.0,D&E,70,2.0,1
2/21/2026,Charleston,40,2.0,D&E,41,3.0,1
2/21/2026,Charleston,11/110,3.0,D&E,41,0.0,1
2/21/2026,Charleston,61,2.0,D&E,11,0.0,1
2/21/2026,Charleston,70,2.0,D&E,0,0.0,2
2/21/2026,Charleston,11,0.0,D&E,41,0.0,2
2/21/2026,Charleston,60,2.0,D&E,31,0.0,2
2/21/2026,Charleston,60,2.0,D&E,70,2.0,2
2/21/2026,Charleston,11,0.0,D&E,61,2.0,2
2/21/2026,Charleston,0,0.0,D&E,40,0.0,2
2/21/2026,Charleston,61,2.0,D&E,11,2.0,2
2/21/2026,Charleston,0,0.0,D&E,60,2.0,2
2/21/2026,Charleston,0,0.0,D&E,0,0.0,2
2/21/2026,Charleston,0,0.0,D&E,0,0.0,2
2/21/2026,Charleston,70,1.0,D&E,31,0.0,2
2/21/2026,Charleston,41,3.0,D&E,0,0.0,2
2/21/2026,Charleston,0,0.0,D&E,31,3.0,2
2/21/2026,Charleston,61,0.0,D&E,70,2.0,2
2/21/2026,Charleston,40/60,2.0,D&E,31,0.0,2
2/21/2026,Charleston,31/31,0.0,D&E,70,2.0,2
2/21/2026,Charleston,41,0.0,D&E,31,0.0,2
2/21/2026,Charleston,60,2.0,D&E,70,2.0,2
2/21/2026,Charleston,11/60,2.0,D&E,31,0.0,2
2/21/2026,Charleston,60,0.0,D&E,70,1.0,2
2/21/2026,Charleston,41,0.0,D&E,11,0.0,2
2/21/2026,Charleston,0,0.0,D&E,61,2.0,2
2/21/2026,Charleston,0,0.0,D&E,110,3.0,2
2/21/2026,Charleston,70,2.0,D&E,,,2
2/21/2026,Charleston,/61,0.0,D&E,70,2.0,2
2/21/2026,Charleston,61,2.0,D&E,0,0.0,2
2/21/2026,Charleston,0,0.0,D&E,61/11,0.0,2
2/21/2026,Charleston,41,3.0,D&E,70,2.0,2
2/21/2026,Charleston,70,0.0,D&E,11/0,0.0,2
2/21/2026,Charleston,41,2.0,D&E,31,0.0,2
2/21/2026,Charleston,0,0.0,D&E,70,1.0,2
2/21/2026,Charleston,60,2.0,D&E,0,0.0,2
2/21/2026,Charleston,61,2.0,D&E,0,0.0,2
2/21/2026,Charleston,41,2.0,D&E,70,2.0,2
2/21/2026,Charleston,11,0.0,D&E,31,3.0,2
2/21/2026,Charleston,31,0.0,D&E,11,0.0,2
