Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/3/2026,Charleston,61,0.0,Fairmont,41,0.0,1
1/3/2026,Charleston,31/41,0.0,Fairmont,0,0.0,1
1/3/2026,Charleston,31,0.0,Fairmont,41,0.0,1
1/3/2026,Charleston,11/61,3.0,Fairmont,41/60,2.0,1
1/3/2026,Charleston,70,1.0,Fairmont,60,2.0,1
1/3/2026,Charleston,61,3.0,Fairmont,31,2.0,1
1/3/2026,Charleston,0,0.0,Fairmont,41/70,2.0,1
1/3/2026,Charleston,61,3.0,Fairmont,31,0.0,1
1/3/2026,Charleston,0,0.0,Fairmont,0,0.0,1
1/3/2026,Charleston,0,0.0,Fairmont,70,2.0,1
1/3/2026,Charleston,31,3.0,Fairmont,41/60,0.0,1
1/3/2026,Charleston,61/61,0.0,Fairmont,61/11,0.0,1
1/3/2026,Charleston,70,2.0,Fairmont,60,0.0,1
1/3/2026,Charleston,61,3.0,Fairmont,0,0.0,1
1/3/2026,Charleston,70,2.0,Fairmont,11/31,0.0,1
1/3/2026,Charleston,61/61,0.0,Fairmont,0,0.0,1
1/3/2026,Charleston,0,0.0,Fairmont,31,2.0,1
1/3/2026,Charleston,61,2.0,Fairmont,41/41,0.0,1
1/3/2026,Charleston,41,0.0,Fairmont,60,2.0,1
1/3/2026,Charleston,0,0.0,Fairmont,70,1.0,1
1/3/2026,Charleston,31,3.0,Fairmont,70,0.0,1
1/3/2026,Charleston,31,0.0,Fairmont,31,0.0,1
1/3/2026,Charleston,61,0.0,Fairmont,31,0.0,1
1/3/2026,Charleston,41,2.0,Fairmont,40,0.0,1
1/3/2026,Charleston,31/41,3.0,Fairmont,11,0.0,1
1/3/2026,Charleston,11,0.0,Fairmont,11,0.0,1
1/3/2026,Charleston,70,1.0,Fairmont,31,2.0,1
1/3/2026,Charleston,0,0.0,Fairmont,60,2.0,1
1/3/2026,Charleston,70,2.0,Fairmont,0,0.0,1
1/3/2026,Charleston,61,0.0,Fairmont,31,0.0,1
1/3/2026,Charleston,41,0.0,Fairmont,31,0.0,1
1/3/2026,Charleston,61,2.0,Fairmont,31,2.0,1
1/3/2026,Charleston,0,0.0,Fairmont,11,0.0,1
1/3/2026,Charleston,,,Fairmont,0,0.0,2
1/3/2026,Charleston,60,2.0,Fairmont,11/41,0.0,2
1/3/2026,Charleston,31,0.0,Fairmont,70,2.0,2
1/3/2026,Charleston,41/60,3.0,Fairmont,61,3.0,2
1/3/2026,Charleston,60,0.0,Fairmont,60,2.0,2
1/3/2026,Charleston,60,3.0,Fairmont,41,2.0,2
1/3/2026,Charleston,60,2.0,Fairmont,61/11/0,0.0,2
1/3/2026,Charleston,70,2.0,Fairmont,70,2.0,2
1/3/2026,Charleston,31,2.0,Fairmont,70,2.0,2
1/3/2026,Charleston,31,0.0,Fairmont,70,2.0,2
1/3/2026,Charleston,61,2.0,Fairmont,70,3.0,2
1/3/2026,Charleston,0,0.0,Fairmont,11,0.0,2
1/3/2026,Charleston,60,3.0,Fairmont,70,1.0,2
1/3/2026,Charleston,41,3.0,Fairmont,41,0.0,2
1/3/2026,Charleston,41,2.0,Fairmont,31,0.0,2
1/3/2026,Charleston,0,0.0,Fairmont,60,2.0,2
1/3/2026,Charleston,60,2.0,Fairmont,61,2.0,2
1/3/2026,Charleston,41,3.0,Fairmont,0,0.0,2
1/3/2026,Charleston,61,2.0,Fairmont,61,3.0,2
1/3/2026,Charleston,31,0.0,Fairmont,41/70,2.0,2
1/3/2026,Charleston,31/60,0.0,Fairmont,0,0.0,2
1/3/2026,Charleston,61,2.0,Fairmont,41,0.0,2
1/3/2026,Charleston,41,0.0,Fairmont,70,2.0,2
1/3/2026,Charleston,41,3.0,Fairmont,0,0.0,2
1/3/2026,Charleston,41,0.0,Fairmont,70,1.0,2
1/3/2026,Charleston,31,0.0,Fairmont,70,2.0,2
1/3/2026,Charleston,,,Fairmont,/0,0.0,2
1/3/2026,Charleston,0,0.0,Fairmont,31,2.0,2
1/3/2026,Charleston,60,2.0,Fairmont,31,0.0,2
1/3/2026,Charleston,70,2.0,Fairmont,31/70,2.0,2
1/3/2026,Charleston,70,2.0,Fairmont,11,0.0,2
1/3/2026,Charleston,0,0.0,Fairmont,11,0.0,2
1/3/2026,Charleston,0,0.0,Fairmont,30,0.0,2
1/3/2026,Charleston,70,2.0,Fairmont,31,2.0,2
1/3/2026,Charleston,70,2.0,Fairmont,11,0.0,2
1/3/2026,Charleston,61,2.0,Fairmont,31,3.0,2
1/3/2026,Charleston,61,2.0,Fairmont,0,0.0,2
