Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/7/2026,Charleston,,,Frostburg,0,0.0,1
2/7/2026,Charleston,61,0.0,Frostburg,0,0.0,1
2/7/2026,Charleston,60,2.0,Frostburg,31,2.0,1
2/7/2026,Charleston,60,2.0,Frostburg,31,0.0,1
2/7/2026,Charleston,41,0.0,Frostburg,0,0.0,1
2/7/2026,Charleston,0,0.0,Frostburg,31,0.0,1
2/7/2026,Charleston,31,2.0,Frostburg,61,0.0,1
2/7/2026,Charleston,40,3.0,Frostburg,41,0.0,1
2/7/2026,Charleston,60,2.0,Frostburg,0,0.0,1
2/7/2026,Charleston,0,0.0,Frostburg,0,0.0,1
2/7/2026,Charleston,0,0.0,Frostburg,11/70,3.0,1
2/7/2026,Charleston,0,0.0,Frostburg,61,2.0,1
2/7/2026,Charleston,41/0,0.0,Frostburg,61,2.0,1
2/7/2026,Charleston,61,0.0,Frostburg,0,0.0,1
2/7/2026,Charleston,61,0.0,Frostburg,41,3.0,1
2/7/2026,Charleston,61/41,0.0,Frostburg,31/0,0.0,1
2/7/2026,Charleston,11,0.0,Frostburg,11,2.0,1
2/7/2026,Charleston,70,2.0,Frostburg,0,0.0,1
2/7/2026,Charleston,31,2.0,Frostburg,41,0.0,1
2/7/2026,Charleston,60,2.0,Frostburg,31,0.0,1
2/7/2026,Charleston,41,2.0,Frostburg,61,2.0,1
2/7/2026,Charleston,30,2.0,Frostburg,70,1.0,1
2/7/2026,Charleston,0,0.0,Frostburg,61,2.0,1
2/7/2026,Charleston,31,0.0,Frostburg,41,0.0,1
2/7/2026,Charleston,40,3.0,Frostburg,0,0.0,1
2/7/2026,Charleston,60,3.0,Frostburg,41,3.0,1
2/7/2026,Charleston,0,0.0,Frostburg,41,0.0,1
2/7/2026,Charleston,41,3.0,Frostburg,31,0.0,1
2/7/2026,Charleston,0,0.0,Frostburg,0,0.0,1
2/7/2026,Charleston,61,2.0,Frostburg,0,0.0,1
2/7/2026,Charleston,41,3.0,Frostburg,70,2.0,1
2/7/2026,Charleston,61,2.0,Frostburg,0,0.0,1
2/7/2026,Charleston,0,0.0,Frostburg,61,2.0,1
2/7/2026,Charleston,41,0.0,Frostburg,61,2.0,1
2/7/2026,Charleston,41/11,3.0,Frostburg,40,3.0,1
2/7/2026,Charleston,60,2.0,Frostburg,70,2.0,1
2/7/2026,Charleston,41,0.0,Frostburg,,,1
2/7/2026,Charleston,,,Frostburg,61/11/61,2.0,2
2/7/2026,Charleston,0,0.0,Frostburg,60,2.0,2
2/7/2026,Charleston,0,0.0,Frostburg,60,0.0,2
2/7/2026,Charleston,41,3.0,Frostburg,41,0.0,2
2/7/2026,Charleston,0,0.0,Frostburg,61,2.0,2
2/7/2026,Charleston,60,2.0,Frostburg,61,2.0,2
2/7/2026,Charleston,31,2.0,Frostburg,30,0.0,2
2/7/2026,Charleston,70,3.0,Frostburg,31,0.0,2
2/7/2026,Charleston,60,3.0,Frostburg,0,0.0,2
2/7/2026,Charleston,70,2.0,Frostburg,,,2
2/7/2026,Charleston,11/61,2.0,Frostburg,70,2.0,2
2/7/2026,Charleston,61,3.0,Frostburg,30,0.0,2
2/7/2026,Charleston,60,3.0,Frostburg,41,3.0,2
2/7/2026,Charleston,41,0.0,Frostburg,31,0.0,2
2/7/2026,Charleston,41,2.0,Frostburg,41,0.0,2
2/7/2026,Charleston,31,0.0,Frostburg,31,2.0,2
2/7/2026,Charleston,61,2.0,Frostburg,31/41,3.0,2
2/7/2026,Charleston,70,1.0,Frostburg,70,3.0,2
2/7/2026,Charleston,41,0.0,Frostburg,31,2.0,2
2/7/2026,Charleston,61,2.0,Frostburg,41,3.0,2
2/7/2026,Charleston,11/61,0.0,Frostburg,11,0.0,2
2/7/2026,Charleston,0,0.0,Frostburg,11/41,0.0,2
2/7/2026,Charleston,0,0.0,Frostburg,31,0.0,2
2/7/2026,Charleston,41,0.0,Frostburg,70,2.0,2
2/7/2026,Charleston,61/61,2.0,Frostburg,31/61,2.0,2
2/7/2026,Charleston,60,0.0,Frostburg,60,2.0,2
2/7/2026,Charleston,40,2.0,Frostburg,0,0.0,2
2/7/2026,Charleston,61,0.0,Frostburg,110,3.0,2
2/7/2026,Charleston,70,1.0,Frostburg,70,1.0,2
2/7/2026,Charleston,41,0.0,Frostburg,70,2.0,2
2/7/2026,Charleston,61,2.0,Frostburg,41,3.0,2
2/7/2026,Charleston,70,2.0,Frostburg,41,2.0,2
2/7/2026,Charleston,41/70,2.0,Frostburg,41,0.0,2
2/7/2026,Charleston,70,2.0,Frostburg,0,0.0,2
2/7/2026,Charleston,60,2.0,Frostburg,41,3.0,2
2/7/2026,Charleston,70,3.0,Frostburg,70,2.0,2
2/7/2026,Charleston,70,2.0,Frostburg,70,2.0,2
2/7/2026,Charleston,70,2.0,Frostburg,0,0.0,2
2/7/2026,Charleston,70,2.0,Frostburg,41/60,2.0,2
