Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,Charleston,,,Point Park,0,0.0,1
2/14/2026,Charleston,61,0.0,Point Park,31,3.0,1
2/14/2026,Charleston,31,3.0,Point Park,61,3.0,1
2/14/2026,Charleston,61/61,2.0,Point Park,41,3.0,1
2/14/2026,Charleston,31,0.0,Point Park,31,0.0,1
2/14/2026,Charleston,61,3.0,Point Park,41,3.0,1
2/14/2026,Charleston,41,3.0,Point Park,41,3.0,1
2/14/2026,Charleston,41,3.0,Point Park,11,0.0,1
2/14/2026,Charleston,61,0.0,Point Park,0,0.0,1
2/14/2026,Charleston,41,0.0,Point Park,11,0.0,1
2/14/2026,Charleston,61,0.0,Point Park,31,2.0,1
2/14/2026,Charleston,41,3.0,Point Park,60,3.0,1
2/14/2026,Charleston,0,0.0,Point Park,61,0.0,1
2/14/2026,Charleston,41,3.0,Point Park,31,0.0,1
2/14/2026,Charleston,60,2.0,Point Park,61,3.0,1
2/14/2026,Charleston,41/41,3.0,Point Park,0,0.0,1
2/14/2026,Charleston,31,0.0,Point Park,0,0.0,1
2/14/2026,Charleston,60,2.0,Point Park,60,0.0,1
2/14/2026,Charleston,60,0.0,Point Park,31,2.0,1
2/14/2026,Charleston,0,0.0,Point Park,31,0.0,1
2/14/2026,Charleston,40,0.0,Point Park,41,3.0,1
2/14/2026,Charleston,61,3.0,Point Park,61,2.0,1
2/14/2026,Charleston,61,3.0,Point Park,41,3.0,1
2/14/2026,Charleston,41,0.0,Point Park,60,3.0,1
2/14/2026,Charleston,31,0.0,Point Park,31,0.0,1
2/14/2026,Charleston,41,0.0,Point Park,31,0.0,1
2/14/2026,Charleston,31/61/61/70,2.0,Point Park,40,3.0,1
2/14/2026,Charleston,31/0,0.0,Point Park,70,2.0,1
2/14/2026,Charleston,41/41,2.0,Point Park,31,3.0,1
2/14/2026,Charleston,41,2.0,Point Park,41,0.0,1
2/14/2026,Charleston,41,0.0,Point Park,0,0.0,1
2/14/2026,Charleston,61,0.0,Point Park,40,0.0,1
2/14/2026,Charleston,0,0.0,Point Park,70,3.0,1
2/14/2026,Charleston,41,3.0,Point Park,11,0.0,1
2/14/2026,Charleston,,,Point Park,70,2.0,2
2/14/2026,Charleston,41,2.0,Point Park,31,0.0,2
2/14/2026,Charleston,70,2.0,Point Park,0,0.0,2
2/14/2026,Charleston,70,2.0,Point Park,31,0.0,2
2/14/2026,Charleston,11/61,0.0,Point Park,0,0.0,2
2/14/2026,Charleston,60,2.0,Point Park,60,2.0,2
2/14/2026,Charleston,40,0.0,Point Park,41,3.0,2
2/14/2026,Charleston,41/41,0.0,Point Park,31,2.0,2
2/14/2026,Charleston,0,0.0,Point Park,11/11/0,0.0,2
2/14/2026,Charleston,41,3.0,Point Park,31,0.0,2
2/14/2026,Charleston,60,0.0,Point Park,11,2.0,2
2/14/2026,Charleston,70,1.0,Point Park,70,3.0,2
2/14/2026,Charleston,70,3.0,Point Park,41,0.0,2
2/14/2026,Charleston,61,2.0,Point Park,31,0.0,2
2/14/2026,Charleston,41,3.0,Point Park,31,0.0,2
2/14/2026,Charleston,61,0.0,Point Park,31,2.0,2
2/14/2026,Charleston,41/61/70,2.0,Point Park,11,0.0,2
2/14/2026,Charleston,61,2.0,Point Park,70,0.0,2
2/14/2026,Charleston,60,3.0,Point Park,70,3.0,2
2/14/2026,Charleston,41,3.0,Point Park,61,3.0,2
2/14/2026,Charleston,61/31,3.0,Point Park,60/70,1.0,2
2/14/2026,Charleston,70,0.0,Point Park,70,2.0,2
2/14/2026,Charleston,31,0.0,Point Park,41,0.0,2
2/14/2026,Charleston,31/41,3.0,Point Park,61,3.0,2
2/14/2026,Charleston,61,2.0,Point Park,0,0.0,2
2/14/2026,Charleston,0,0.0,Point Park,70,2.0,2
2/14/2026,Charleston,60,2.0,Point Park,31,0.0,2
2/14/2026,Charleston,70,1.0,Point Park,31,0.0,2
2/14/2026,Charleston,0,0.0,Point Park,11/70,1.0,2
2/14/2026,Charleston,31,0.0,Point Park,11,0.0,2
2/14/2026,Charleston,0,0.0,Point Park,70,2.0,2
2/14/2026,Charleston,31/70,1.0,Point Park,31,2.0,2
2/14/2026,Charleston,70,2.0,Point Park,0,0.0,2
