Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,Charleston,41,3.0,Salem,0,0.0,1
1/10/2026,Charleston,60,3.0,Salem,0,0.0,1
1/10/2026,Charleston,31,0.0,Salem,11/11/61,3.0,1
1/10/2026,Charleston,31,0.0,Salem,41,0.0,1
1/10/2026,Charleston,60,2.0,Salem,31,2.0,1
1/10/2026,Charleston,41/61/61/60,2.0,Salem,40,3.0,1
1/10/2026,Charleston,41/60/31,2.0,Salem,0,0.0,1
1/10/2026,Charleston,60,2.0,Salem,70,1.0,1
1/10/2026,Charleston,41,0.0,Salem,61,2.0,1
1/10/2026,Charleston,31,0.0,Salem,70,1.0,1
1/10/2026,Charleston,41,0.0,Salem,11,0.0,1
1/10/2026,Charleston,60,0.0,Salem,31,0.0,1
1/10/2026,Charleston,61,3.0,Salem,11,0.0,1
1/10/2026,Charleston,61,0.0,Salem,11/70,2.0,1
1/10/2026,Charleston,41,3.0,Salem,0,0.0,1
1/10/2026,Charleston,31,0.0,Salem,11/11,0.0,1
1/10/2026,Charleston,0,0.0,Salem,61,0.0,1
1/10/2026,Charleston,0,0.0,Salem,61/61,2.0,1
1/10/2026,Charleston,60,0.0,Salem,31,3.0,1
1/10/2026,Charleston,41,0.0,Salem,60/11,0.0,1
1/10/2026,Charleston,11,0.0,Salem,60,3.0,1
1/10/2026,Charleston,0,0.0,Salem,0,0.0,1
1/10/2026,Charleston,0,0.0,Salem,31,0.0,1
1/10/2026,Charleston,61/0,0.0,Salem,11/70,1.0,1
1/10/2026,Charleston,41,0.0,Salem,0,0.0,1
1/10/2026,Charleston,60,2.0,Salem,41,0.0,1
1/10/2026,Charleston,60,2.0,Salem,41,0.0,1
1/10/2026,Charleston,60,3.0,Salem,70,2.0,1
1/10/2026,Charleston,0,0.0,Salem,0,0.0,1
1/10/2026,Charleston,61,2.0,Salem,70,2.0,1
1/10/2026,Charleston,0,0.0,Salem,0,0.0,1
1/10/2026,Charleston,61,3.0,Salem,31,0.0,1
1/10/2026,Charleston,61,0.0,Salem,31/11,0.0,1
1/10/2026,Charleston,0,0.0,Salem,41,0.0,1
1/10/2026,Charleston,31,0.0,Salem,,,1
1/10/2026,Charleston,,,Salem,0,0.0,2
1/10/2026,Charleston,60,2.0,Salem,0,0.0,2
1/10/2026,Charleston,61/70,1.0,Salem,60,2.0,2
1/10/2026,Charleston,61,2.0,Salem,0,0.0,2
1/10/2026,Charleston,70,1.0,Salem,31,0.0,2
1/10/2026,Charleston,61,2.0,Salem,11,0.0,2
1/10/2026,Charleston,41,0.0,Salem,70,3.0,2
1/10/2026,Charleston,41,2.0,Salem,60,2.0,2
1/10/2026,Charleston,61,0.0,Salem,31,0.0,2
1/10/2026,Charleston,60,3.0,Salem,60,0.0,2
1/10/2026,Charleston,61,0.0,Salem,0,0.0,2
1/10/2026,Charleston,70,2.0,Salem,31,2.0,2
1/10/2026,Charleston,60,2.0,Salem,70,2.0,2
1/10/2026,Charleston,0,0.0,Salem,11,0.0,2
1/10/2026,Charleston,0,0.0,Salem,70,1.0,2
1/10/2026,Charleston,110,1.0,Salem,,,2
1/10/2026,Charleston,/61,3.0,Salem,31,0.0,2
1/10/2026,Charleston,41,3.0,Salem,61,3.0,2
1/10/2026,Charleston,60,3.0,Salem,11/31,2.0,2
1/10/2026,Charleston,41,3.0,Salem,0,0.0,2
1/10/2026,Charleston,0,0.0,Salem,31,0.0,2
1/10/2026,Charleston,60,3.0,Salem,0,0.0,2
1/10/2026,Charleston,60,3.0,Salem,60,3.0,2
1/10/2026,Charleston,70,2.0,Salem,0,0.0,2
1/10/2026,Charleston,61,2.0,Salem,0,0.0,2
1/10/2026,Charleston,31,3.0,Salem,31,0.0,2
1/10/2026,Charleston,60,3.0,Salem,31,0.0,2
1/10/2026,Charleston,60,0.0,Salem,60,3.0,2
1/10/2026,Charleston,60,0.0,Salem,41,3.0,2
1/10/2026,Charleston,60,0.0,Salem,31,2.0,2
1/10/2026,Charleston,61,0.0,Salem,0,0.0,2
1/10/2026,Charleston,61,0.0,Salem,41,2.0,2
1/10/2026,Charleston,41/61,3.0,Salem,70,2.0,2
1/10/2026,Charleston,60/61,0.0,Salem,11/61,2.0,2
1/10/2026,Charleston,60,2.0,Salem,31/0,0.0,2
1/10/2026,Charleston,60,2.0,Salem,31/70,1.0,2
1/10/2026,Charleston,41,0.0,Salem,0,0.0,2
1/10/2026,Charleston,41,0.0,Salem,61,2.0,2
