Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/24/2026,Charleston,,,WVSU,0,0.0,1
1/24/2026,Charleston,40,2.0,WVSU,31,0.0,1
1/24/2026,Charleston,40,0.0,WVSU,31,2.0,1
1/24/2026,Charleston,60,0.0,WVSU,31,0.0,1
1/24/2026,Charleston,60,2.0,WVSU,31,3.0,1
1/24/2026,Charleston,60,2.0,WVSU,60,0.0,1
1/24/2026,Charleston,0,0.0,WVSU,0,0.0,1
1/24/2026,Charleston,60/61,2.0,WVSU,0,0.0,1
1/24/2026,Charleston,61,2.0,WVSU,31,0.0,1
1/24/2026,Charleston,70,2.0,WVSU,61,2.0,1
1/24/2026,Charleston,41,3.0,WVSU,31,0.0,1
1/24/2026,Charleston,41,3.0,WVSU,31/0,0.0,1
1/24/2026,Charleston,0,0.0,WVSU,11,2.0,1
1/24/2026,Charleston,31/41,0.0,WVSU,60,2.0,1
1/24/2026,Charleston,60,3.0,WVSU,41,3.0,1
1/24/2026,Charleston,60,2.0,WVSU,0,0.0,1
1/24/2026,Charleston,70,3.0,WVSU,61,2.0,1
1/24/2026,Charleston,11/70,2.0,WVSU,0,0.0,1
1/24/2026,Charleston,61,0.0,WVSU,0,0.0,1
1/24/2026,Charleston,60,2.0,WVSU,0,0.0,1
1/24/2026,Charleston,0,0.0,WVSU,41,0.0,1
1/24/2026,Charleston,60,2.0,WVSU,70,2.0,1
1/24/2026,Charleston,11,0.0,WVSU,61,2.0,1
1/24/2026,Charleston,70,1.0,WVSU,,,1
1/24/2026,Charleston,41/0,0.0,WVSU,70,2.0,1
1/24/2026,Charleston,60,0.0,WVSU,70,0.0,1
1/24/2026,Charleston,41,0.0,WVSU,61,2.0,1
1/24/2026,Charleston,31,2.0,WVSU,31,0.0,1
1/24/2026,Charleston,61,0.0,WVSU,31,0.0,1
1/24/2026,Charleston,0,0.0,WVSU,0,0.0,1
1/24/2026,Charleston,40,0.0,WVSU,11/61,2.0,1
1/24/2026,Charleston,60/0,0.0,WVSU,60,2.0,1
1/24/2026,Charleston,60,2.0,WVSU,61,3.0,1
1/24/2026,Charleston,60,3.0,WVSU,41,3.0,1
1/24/2026,Charleston,0,0.0,WVSU,0,0.0,1
1/24/2026,Charleston,10,0.0,WVSU,,,1
1/24/2026,Charleston,,,WVSU,31/70,2.0,2
1/24/2026,Charleston,60,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,41,3.0,WVSU,31,3.0,2
1/24/2026,Charleston,0,0.0,WVSU,41,0.0,2
1/24/2026,Charleston,70,3.0,WVSU,31,0.0,2
1/24/2026,Charleston,0,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,0,0.0,WVSU,41,3.0,2
1/24/2026,Charleston,0,0.0,WVSU,41,3.0,2
1/24/2026,Charleston,41,2.0,WVSU,70,2.0,2
1/24/2026,Charleston,41,3.0,WVSU,0,0.0,2
1/24/2026,Charleston,0,0.0,WVSU,60,2.0,2
1/24/2026,Charleston,41,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,60,2.0,WVSU,0,0.0,2
1/24/2026,Charleston,41,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,70,3.0,WVSU,31,0.0,2
1/24/2026,Charleston,31,2.0,WVSU,11/70,2.0,2
1/24/2026,Charleston,61,2.0,WVSU,70,1.0,2
1/24/2026,Charleston,0,0.0,WVSU,70,2.0,2
1/24/2026,Charleston,11,0.0,WVSU,41,0.0,2
1/24/2026,Charleston,0,0.0,WVSU,31,2.0,2
1/24/2026,Charleston,31,0.0,WVSU,61/70,1.0,2
1/24/2026,Charleston,0,0.0,WVSU,31/11,0.0,2
1/24/2026,Charleston,60,2.0,WVSU,11,0.0,2
1/24/2026,Charleston,41,0.0,WVSU,31,3.0,2
1/24/2026,Charleston,11/31/41,3.0,WVSU,61,2.0,2
1/24/2026,Charleston,0,0.0,WVSU,41,0.0,2
1/24/2026,Charleston,60,3.0,WVSU,70,1.0,2
1/24/2026,Charleston,70,2.0,WVSU,70,2.0,2
1/24/2026,Charleston,70,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,60,2.0,WVSU,11,2.0,2
1/24/2026,Charleston,41,3.0,WVSU,70,2.0,2
1/24/2026,Charleston,70,0.0,WVSU,,,2
1/24/2026,Charleston,/61,0.0,WVSU,0,0.0,2
1/24/2026,Charleston,70,2.0,WVSU,31,0.0,2
1/24/2026,Charleston,70,2.0,WVSU,70,1.0,2
1/24/2026,Charleston,70,2.0,WVSU,31,0.0,2
1/24/2026,Charleston,70,2.0,WVSU,0,0.0,2
