Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/14/2026,Charleston,,,Wesleyan,0,0.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,61,2.0,1
1/14/2026,Charleston,60,3.0,Wesleyan,41,3.0,1
1/14/2026,Charleston,41/41,3.0,Wesleyan,41/0,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,31/11,0.0,1
1/14/2026,Charleston,41,3.0,Wesleyan,41,2.0,1
1/14/2026,Charleston,41,3.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,61,3.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,31,0.0,1
1/14/2026,Charleston,41,3.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,60,2.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,31,0.0,Wesleyan,41,3.0,1
1/14/2026,Charleston,70,2.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,60,2.0,Wesleyan,31,0.0,1
1/14/2026,Charleston,60,0.0,Wesleyan,61/70,2.0,1
1/14/2026,Charleston,11/61,2.0,Wesleyan,60,2.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,70,1.0,1
1/14/2026,Charleston,61,0.0,Wesleyan,41,3.0,1
1/14/2026,Charleston,61,3.0,Wesleyan,41,0.0,1
1/14/2026,Charleston,60,3.0,Wesleyan,0,0.0,1
1/14/2026,Charleston,41/61/41/60,2.0,Wesleyan,31,0.0,1
1/14/2026,Charleston,60,2.0,Wesleyan,31,0.0,1
1/14/2026,Charleston,60,2.0,Wesleyan,41/11/31,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,41,0.0,1
1/14/2026,Charleston,60,2.0,Wesleyan,41,0.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,61/31,0.0,1
1/14/2026,Charleston,61/60,0.0,Wesleyan,41,0.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,61,2.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,31,0.0,1
1/14/2026,Charleston,60,0.0,Wesleyan,11,0.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,70,2.0,1
1/14/2026,Charleston,61,2.0,Wesleyan,11,2.0,1
1/14/2026,Charleston,0,0.0,Wesleyan,31,3.0,1
1/14/2026,Charleston,,,Wesleyan,61,2.0,2
1/14/2026,Charleston,31,0.0,Wesleyan,31,0.0,2
1/14/2026,Charleston,60,2.0,Wesleyan,70,1.0,2
1/14/2026,Charleston,61,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,60,2.0,Wesleyan,41,3.0,2
1/14/2026,Charleston,31/60,0.0,Wesleyan,31,0.0,2
1/14/2026,Charleston,60,2.0,Wesleyan,11,0.0,2
1/14/2026,Charleston,61,2.0,Wesleyan,41,0.0,2
1/14/2026,Charleston,30,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,31,3.0,Wesleyan,70,1.0,2
1/14/2026,Charleston,70,0.0,Wesleyan,11,0.0,2
1/14/2026,Charleston,41,3.0,Wesleyan,41,3.0,2
1/14/2026,Charleston,70,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,60,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,70,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,31/41,3.0,Wesleyan,70,1.0,2
1/14/2026,Charleston,41/60,2.0,Wesleyan,41,3.0,2
1/14/2026,Charleston,70,1.0,Wesleyan,,,2
1/14/2026,Charleston,/0,0.0,Wesleyan,31,0.0,2
1/14/2026,Charleston,0,0.0,Wesleyan,11,0.0,2
1/14/2026,Charleston,70,0.0,Wesleyan,,,2
1/14/2026,Charleston,/60,2.0,Wesleyan,41,3.0,2
1/14/2026,Charleston,61,2.0,Wesleyan,31,0.0,2
1/14/2026,Charleston,60,0.0,Wesleyan,70,2.0,2
1/14/2026,Charleston,0,0.0,Wesleyan,11,0.0,2
1/14/2026,Charleston,11,0.0,Wesleyan,11,0.0,2
1/14/2026,Charleston,61,2.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,60,2.0,Wesleyan,70,1.0,2
1/14/2026,Charleston,41/60,0.0,Wesleyan,41/70,3.0,2
1/14/2026,Charleston,41,0.0,Wesleyan,31/41,0.0,2
1/14/2026,Charleston,70,2.0,Wesleyan,70,2.0,2
1/14/2026,Charleston,61/11,0.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,11,0.0,Wesleyan,0,0.0,2
1/14/2026,Charleston,41,0.0,Wesleyan,31,2.0,2
1/14/2026,Charleston,61/61,2.0,Wesleyan,61,2.0,2
1/14/2026,Charleston,31,0.0,Wesleyan,31,2.0,2
