Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,Charleston,61,0.0,West Liberty,61,2.0,1
12/10/2025,Charleston,31,0.0,West Liberty,31,2.0,1
12/10/2025,Charleston,31,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,11,2.0,West Liberty,31,0.0,1
12/10/2025,Charleston,60,0.0,West Liberty,40,0.0,1
12/10/2025,Charleston,31,3.0,West Liberty,70,3.0,1
12/10/2025,Charleston,60/41,0.0,West Liberty,60,2.0,1
12/10/2025,Charleston,41,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,70,3.0,1
12/10/2025,Charleston,11,0.0,West Liberty,31,0.0,1
12/10/2025,Charleston,61,2.0,West Liberty,41/31,3.0,1
12/10/2025,Charleston,0,0.0,West Liberty,61,2.0,1
12/10/2025,Charleston,0,0.0,West Liberty,11,2.0,1
12/10/2025,Charleston,60,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,41,0.0,West Liberty,41,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,31,0.0,1
12/10/2025,Charleston,60,2.0,West Liberty,31,0.0,1
12/10/2025,Charleston,11/60,2.0,West Liberty,11,0.0,1
12/10/2025,Charleston,40,3.0,West Liberty,31,0.0,1
12/10/2025,Charleston,60,2.0,West Liberty,70,3.0,1
12/10/2025,Charleston,0,0.0,West Liberty,60,0.0,1
12/10/2025,Charleston,40,0.0,West Liberty,11,0.0,1
12/10/2025,Charleston,41/61,0.0,West Liberty,11/41,0.0,1
12/10/2025,Charleston,61,0.0,West Liberty,31,0.0,1
12/10/2025,Charleston,60,2.0,West Liberty,70,2.0,1
12/10/2025,Charleston,0,0.0,West Liberty,60,2.0,1
12/10/2025,Charleston,70,1.0,West Liberty,11,0.0,1
12/10/2025,Charleston,60,2.0,West Liberty,11,2.0,1
12/10/2025,Charleston,70,3.0,West Liberty,61,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,41,3.0,1
12/10/2025,Charleston,60/0,0.0,West Liberty,11,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,70,0.0,1
12/10/2025,Charleston,0,0.0,West Liberty,0,0.0,1
12/10/2025,Charleston,30,0.0,West Liberty,,,1
12/10/2025,Charleston,,,West Liberty,0,0.0,2
12/10/2025,Charleston,0,0.0,West Liberty,41/41,2.0,2
12/10/2025,Charleston,40/60,2.0,West Liberty,61/0,0.0,2
12/10/2025,Charleston,61,2.0,West Liberty,70,1.0,2
12/10/2025,Charleston,0,0.0,West Liberty,60,2.0,2
12/10/2025,Charleston,61,0.0,West Liberty,41,3.0,2
12/10/2025,Charleston,31/0,0.0,West Liberty,70,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,60,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,41,0.0,2
12/10/2025,Charleston,70,3.0,West Liberty,0,0.0,2
12/10/2025,Charleston,60,0.0,West Liberty,41,3.0,2
12/10/2025,Charleston,0,0.0,West Liberty,31,0.0,2
12/10/2025,Charleston,70,2.0,West Liberty,60,2.0,2
12/10/2025,Charleston,31,3.0,West Liberty,41/70,2.0,2
12/10/2025,Charleston,70,1.0,West Liberty,61,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,70,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,61,0.0,2
12/10/2025,Charleston,61,3.0,West Liberty,61,3.0,2
12/10/2025,Charleston,0,0.0,West Liberty,70,0.0,2
12/10/2025,Charleston,11,0.0,West Liberty,11/11,2.0,2
12/10/2025,Charleston,60,0.0,West Liberty,31,0.0,2
12/10/2025,Charleston,61,2.0,West Liberty,61,2.0,2
12/10/2025,Charleston,60,2.0,West Liberty,41,3.0,2
12/10/2025,Charleston,60/61,2.0,West Liberty,70,0.0,2
12/10/2025,Charleston,0,0.0,West Liberty,0,0.0,2
12/10/2025,Charleston,70,1.0,West Liberty,70,2.0,2
12/10/2025,Charleston,31/70,1.0,West Liberty,0,0.0,2
12/10/2025,Charleston,61/61,2.0,West Liberty,70,0.0,2
12/10/2025,Charleston,60/0,0.0,West Liberty,11,0.0,2
12/10/2025,Charleston,0,0.0,West Liberty,60,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,70,3.0,2
12/10/2025,Charleston,11/11,0.0,West Liberty,70,1.0,2
12/10/2025,Charleston,70,2.0,West Liberty,0,0.0,2
12/10/2025,Charleston,61/61,2.0,West Liberty,0,0.0,2
12/10/2025,Charleston,0,0.0,West Liberty,61,0.0,2
12/10/2025,Charleston,11,0.0,West Liberty,11/31,0.0,2
12/10/2025,Charleston,41,3.0,West Liberty,31/11,0.0,2
12/10/2025,Charleston,31,2.0,West Liberty,70,1.0,2
12/10/2025,Charleston,60,0.0,West Liberty,70,1.0,2
12/10/2025,Charleston,70,2.0,West Liberty,61,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,60,2.0,2
12/10/2025,Charleston,31,0.0,West Liberty,61,2.0,2
12/10/2025,Charleston,70,2.0,West Liberty,,,2
12/10/2025,Charleston,/70,2.0,West Liberty,70,2.0,2
12/10/2025,Charleston,0,0.0,West Liberty,,,2
