Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/28/2026,Charleston,,,Wheeling,60,3.0,1
1/28/2026,Charleston,41,0.0,Wheeling,31,0.0,1
1/28/2026,Charleston,60/60,2.0,Wheeling,41,0.0,1
1/28/2026,Charleston,60,2.0,Wheeling,0,0.0,1
1/28/2026,Charleston,0,0.0,Wheeling,60,2.0,1
1/28/2026,Charleston,41,2.0,Wheeling,11,0.0,1
1/28/2026,Charleston,31,0.0,Wheeling,41,0.0,1
1/28/2026,Charleston,61,3.0,Wheeling,70,2.0,1
1/28/2026,Charleston,41/61,0.0,Wheeling,11,0.0,1
1/28/2026,Charleston,61,2.0,Wheeling,41,3.0,1
1/28/2026,Charleston,60/60,0.0,Wheeling,11,0.0,1
1/28/2026,Charleston,61/60/60,2.0,Wheeling,41,3.0,1
1/28/2026,Charleston,40/41,3.0,Wheeling,11,0.0,1
1/28/2026,Charleston,60,0.0,Wheeling,61,0.0,1
1/28/2026,Charleston,70,3.0,Wheeling,41,3.0,1
1/28/2026,Charleston,31,0.0,Wheeling,31,0.0,1
1/28/2026,Charleston,11/61,2.0,Wheeling,0,0.0,1
1/28/2026,Charleston,41,3.0,Wheeling,31,2.0,1
1/28/2026,Charleston,31,3.0,Wheeling,70,1.0,1
1/28/2026,Charleston,0,0.0,Wheeling,11/61/70,1.0,1
1/28/2026,Charleston,41,3.0,Wheeling,41,3.0,1
1/28/2026,Charleston,11,0.0,Wheeling,61,2.0,1
1/28/2026,Charleston,31,0.0,Wheeling,31/60,3.0,1
1/28/2026,Charleston,41,3.0,Wheeling,70,2.0,1
1/28/2026,Charleston,70,1.0,Wheeling,41,3.0,1
1/28/2026,Charleston,60,2.0,Wheeling,31,2.0,1
1/28/2026,Charleston,0,0.0,Wheeling,0,0.0,1
1/28/2026,Charleston,0,0.0,Wheeling,70,2.0,1
1/28/2026,Charleston,70,1.0,Wheeling,,,1
1/28/2026,Charleston,/61,2.0,Wheeling,0,0.0,1
1/28/2026,Charleston,11,2.0,Wheeling,31,2.0,1
1/28/2026,Charleston,0,0.0,Wheeling,31,0.0,1
1/28/2026,Charleston,41/60/40,0.0,Wheeling,31/41,2.0,1
1/28/2026,Charleston,,,Wheeling,41,3.0,2
1/28/2026,Charleston,31/60,2.0,Wheeling,31,2.0,2
1/28/2026,Charleston,60,0.0,Wheeling,61,0.0,2
1/28/2026,Charleston,41,3.0,Wheeling,61,2.0,2
1/28/2026,Charleston,31,0.0,Wheeling,0,0.0,2
1/28/2026,Charleston,60,2.0,Wheeling,41,3.0,2
1/28/2026,Charleston,70,1.0,Wheeling,70,1.0,2
1/28/2026,Charleston,61,2.0,Wheeling,41,0.0,2
1/28/2026,Charleston,0,0.0,Wheeling,0,0.0,2
1/28/2026,Charleston,31/61,2.0,Wheeling,70,2.0,2
1/28/2026,Charleston,41,0.0,Wheeling,31,0.0,2
1/28/2026,Charleston,0,0.0,Wheeling,0,0.0,2
1/28/2026,Charleston,11,0.0,Wheeling,41,0.0,2
1/28/2026,Charleston,0,0.0,Wheeling,11/11,0.0,2
1/28/2026,Charleston,61,0.0,Wheeling,31,0.0,2
1/28/2026,Charleston,61,3.0,Wheeling,70,1.0,2
1/28/2026,Charleston,60,2.0,Wheeling,31,0.0,2
1/28/2026,Charleston,70,2.0,Wheeling,30,0.0,2
1/28/2026,Charleston,31/70,1.0,Wheeling,61,2.0,2
1/28/2026,Charleston,60,2.0,Wheeling,31,2.0,2
1/28/2026,Charleston,0,0.0,Wheeling,61,2.0,2
1/28/2026,Charleston,40,3.0,Wheeling,70,2.0,2
1/28/2026,Charleston,41,3.0,Wheeling,41,0.0,2
1/28/2026,Charleston,61/70,2.0,Wheeling,70,2.0,2
1/28/2026,Charleston,60,2.0,Wheeling,11,0.0,2
1/28/2026,Charleston,11/11/70,2.0,Wheeling,11,0.0,2
1/28/2026,Charleston,0,0.0,Wheeling,11/70,2.0,2
1/28/2026,Charleston,41,3.0,Wheeling,41,0.0,2
1/28/2026,Charleston,41,3.0,Wheeling,61,3.0,2
1/28/2026,Charleston,0,0.0,Wheeling,70,2.0,2
1/28/2026,Charleston,41,0.0,Wheeling,70,2.0,2
1/28/2026,Charleston,70,1.0,Wheeling,31/60,2.0,2
1/28/2026,Charleston,41/70,1.0,Wheeling,,,2
1/28/2026,Charleston,/60,2.0,Wheeling,70,3.0,2
1/28/2026,Charleston,60,2.0,Wheeling,61,0.0,2
1/28/2026,Charleston,70,1.0,Wheeling,31,0.0,2
