Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,Concord,41,2.0,D&E,40,0.0,1
1/10/2026,Concord,41,3.0,D&E,31,3.0,1
1/10/2026,Concord,70,2.0,D&E,31/11,0.0,1
1/10/2026,Concord,0,0.0,D&E,61,2.0,1
1/10/2026,Concord,41,0.0,D&E,31/41,2.0,1
1/10/2026,Concord,40,3.0,D&E,31,0.0,1
1/10/2026,Concord,61,0.0,D&E,41,0.0,1
1/10/2026,Concord,61,0.0,D&E,41,0.0,1
1/10/2026,Concord,60,0.0,D&E,11,0.0,1
1/10/2026,Concord,70,1.0,D&E,11/11,2.0,1
1/10/2026,Concord,41,3.0,D&E,61,0.0,1
1/10/2026,Concord,41,2.0,D&E,11/0,0.0,1
1/10/2026,Concord,60,2.0,D&E,70,2.0,1
1/10/2026,Concord,41,0.0,D&E,41/11/61,2.0,1
1/10/2026,Concord,40,0.0,D&E,41,0.0,1
1/10/2026,Concord,31,0.0,D&E,60,2.0,1
1/10/2026,Concord,11/60,0.0,D&E,0,0.0,1
1/10/2026,Concord,60,2.0,D&E,41/11/31,3.0,1
1/10/2026,Concord,0,0.0,D&E,61,2.0,1
1/10/2026,Concord,41,3.0,D&E,0,0.0,1
1/10/2026,Concord,70,2.0,D&E,31,0.0,1
1/10/2026,Concord,41,0.0,D&E,31,3.0,1
1/10/2026,Concord,41,2.0,D&E,31,0.0,1
1/10/2026,Concord,31,0.0,D&E,41,3.0,1
1/10/2026,Concord,41,3.0,D&E,11/61,2.0,1
1/10/2026,Concord,70,0.0,D&E,0,0.0,1
1/10/2026,Concord,40,0.0,D&E,31,0.0,1
1/10/2026,Concord,11,0.0,D&E,60,3.0,1
1/10/2026,Concord,70,3.0,D&E,41,0.0,1
1/10/2026,Concord,41,3.0,D&E,11,2.0,1
1/10/2026,Concord,30,0.0,D&E,0,0.0,1
1/10/2026,Concord,31,0.0,D&E,31,2.0,1
1/10/2026,Concord,60/60,0.0,D&E,0,0.0,1
1/10/2026,Concord,41,2.0,D&E,11/61,2.0,1
1/10/2026,Concord,41,0.0,D&E,40,0.0,1
1/10/2026,Concord,70,1.0,D&E,41,2.0,1
1/10/2026,Concord,60,2.0,D&E,60,2.0,1
1/10/2026,Concord,10,0.0,D&E,,,1
1/10/2026,Concord,,,D&E,0,0.0,2
1/10/2026,Concord,11,0.0,D&E,70,2.0,2
1/10/2026,Concord,31,0.0,D&E,41,2.0,2
1/10/2026,Concord,40/11,0.0,D&E,31,0.0,2
1/10/2026,Concord,70,3.0,D&E,0,0.0,2
1/10/2026,Concord,70,3.0,D&E,61,0.0,2
1/10/2026,Concord,61,3.0,D&E,61,0.0,2
1/10/2026,Concord,70,2.0,D&E,31,0.0,2
1/10/2026,Concord,70,2.0,D&E,0,0.0,2
1/10/2026,Concord,0,0.0,D&E,61,2.0,2
1/10/2026,Concord,0,0.0,D&E,41,3.0,2
1/10/2026,Concord,61,2.0,D&E,60,2.0,2
1/10/2026,Concord,61,0.0,D&E,30,2.0,2
1/10/2026,Concord,11,0.0,D&E,0,0.0,2
1/10/2026,Concord,61,2.0,D&E,31/70,1.0,2
1/10/2026,Concord,31,0.0,D&E,70,2.0,2
1/10/2026,Concord,0,0.0,D&E,11,0.0,2
1/10/2026,Concord,0,0.0,D&E,11/61,2.0,2
1/10/2026,Concord,11/61,2.0,D&E,11/70,1.0,2
1/10/2026,Concord,70,1.0,D&E,31,0.0,2
1/10/2026,Concord,41/70,2.0,D&E,31,0.0,2
1/10/2026,Concord,60,2.0,D&E,11,0.0,2
1/10/2026,Concord,61,2.0,D&E,30,2.0,2
1/10/2026,Concord,70,2.0,D&E,31,0.0,2
1/10/2026,Concord,0,0.0,D&E,31,2.0,2
1/10/2026,Concord,31,0.0,D&E,60/61,0.0,2
1/10/2026,Concord,31,0.0,D&E,61/60,2.0,2
1/10/2026,Concord,0,0.0,D&E,70,1.0,2
1/10/2026,Concord,41,0.0,D&E,0,0.0,2
1/10/2026,Concord,41,0.0,D&E,61,2.0,2
1/10/2026,Concord,60,3.0,D&E,0,0.0,2
1/10/2026,Concord,0,0.0,D&E,60,2.0,2
1/10/2026,Concord,41,0.0,D&E,0,0.0,2
1/10/2026,Concord,60,2.0,D&E,0,0.0,2
1/10/2026,Concord,60,2.0,D&E,31,2.0,2
1/10/2026,Concord,41/41,0.0,D&E,70,2.0,2
1/10/2026,Concord,70,2.0,D&E,61,2.0,2
1/10/2026,Concord,11,0.0,D&E,61,2.0,2
1/10/2026,Concord,31,2.0,D&E,70,2.0,2
1/10/2026,Concord,31,0.0,D&E,70,2.0,2
1/10/2026,Concord,31,0.0,D&E,70,1.0,2
1/10/2026,Concord,31,3.0,D&E,70,1.0,2
