Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/9/2026,Concord,11/11,0.0,Fairmont,41/60,2.0,1
2/9/2026,Concord,11,0.0,Fairmont,60,2.0,1
2/9/2026,Concord,0,0.0,Fairmont,60,2.0,1
2/9/2026,Concord,0,0.0,Fairmont,70,2.0,1
2/9/2026,Concord,11/40,3.0,Fairmont,41,2.0,1
2/9/2026,Concord,0,0.0,Fairmont,60,2.0,1
2/9/2026,Concord,31,0.0,Fairmont,61,2.0,1
2/9/2026,Concord,11,0.0,Fairmont,31,0.0,1
2/9/2026,Concord,0,0.0,Fairmont,61,2.0,1
2/9/2026,Concord,41,2.0,Fairmont,0,0.0,1
2/9/2026,Concord,41,3.0,Fairmont,11,0.0,1
2/9/2026,Concord,31,3.0,Fairmont,41,0.0,1
2/9/2026,Concord,31,0.0,Fairmont,31,0.0,1
2/9/2026,Concord,31,0.0,Fairmont,61,2.0,1
2/9/2026,Concord,70,2.0,Fairmont,41,3.0,1
2/9/2026,Concord,31,0.0,Fairmont,41,2.0,1
2/9/2026,Concord,41,3.0,Fairmont,31,0.0,1
2/9/2026,Concord,31,0.0,Fairmont,41,2.0,1
2/9/2026,Concord,31,0.0,Fairmont,110,2.0,1
2/9/2026,Concord,11/11,0.0,Fairmont,31,2.0,1
2/9/2026,Concord,0,0.0,Fairmont,31,3.0,1
2/9/2026,Concord,41,0.0,Fairmont,0,0.0,1
2/9/2026,Concord,60,2.0,Fairmont,41,0.0,1
2/9/2026,Concord,11/60/60,0.0,Fairmont,31,0.0,1
2/9/2026,Concord,31/70,2.0,Fairmont,0,0.0,1
2/9/2026,Concord,41,3.0,Fairmont,70,3.0,1
2/9/2026,Concord,31,0.0,Fairmont,41,0.0,1
2/9/2026,Concord,61,0.0,Fairmont,41/41,0.0,1
2/9/2026,Concord,31/31/31/61/60,2.0,Fairmont,11,0.0,1
2/9/2026,Concord,70,1.0,Fairmont,11,0.0,1
2/9/2026,Concord,60,0.0,Fairmont,11,0.0,1
2/9/2026,Concord,60,2.0,Fairmont,31,0.0,1
2/9/2026,Concord,40,0.0,Fairmont,,,1
2/9/2026,Concord,,,Fairmont,31,0.0,2
2/9/2026,Concord,40,2.0,Fairmont,41,0.0,2
2/9/2026,Concord,61,2.0,Fairmont,0,0.0,2
2/9/2026,Concord,70,2.0,Fairmont,60,2.0,2
2/9/2026,Concord,41,3.0,Fairmont,61,2.0,2
2/9/2026,Concord,41,0.0,Fairmont,61,2.0,2
2/9/2026,Concord,0,0.0,Fairmont,61,2.0,2
2/9/2026,Concord,11/0,0.0,Fairmont,40,0.0,2
2/9/2026,Concord,40/70,3.0,Fairmont,41,0.0,2
2/9/2026,Concord,41,0.0,Fairmont,31,0.0,2
2/9/2026,Concord,31/0,0.0,Fairmont,61,2.0,2
2/9/2026,Concord,70,2.0,Fairmont,70,1.0,2
2/9/2026,Concord,41/0,0.0,Fairmont,31/61,0.0,2
2/9/2026,Concord,0,0.0,Fairmont,31,0.0,2
2/9/2026,Concord,41,3.0,Fairmont,40/70,2.0,2
2/9/2026,Concord,,,Fairmont,70,2.0,2
2/9/2026,Concord,60/70,1.0,Fairmont,70,2.0,2
2/9/2026,Concord,61,2.0,Fairmont,70,2.0,2
2/9/2026,Concord,31,2.0,Fairmont,61,2.0,2
2/9/2026,Concord,70,2.0,Fairmont,31/60,2.0,2
2/9/2026,Concord,70,0.0,Fairmont,61,2.0,2
2/9/2026,Concord,0,0.0,Fairmont,60/60,2.0,2
2/9/2026,Concord,60/70,2.0,Fairmont,70,1.0,2
2/9/2026,Concord,0,0.0,Fairmont,70,1.0,2
2/9/2026,Concord,70,2.0,Fairmont,60,2.0,2
2/9/2026,Concord,61,2.0,Fairmont,70,0.0,2
2/9/2026,Concord,70,2.0,Fairmont,70,1.0,2
2/9/2026,Concord,11,0.0,Fairmont,41,2.0,2
2/9/2026,Concord,70,2.0,Fairmont,31/41,0.0,2
2/9/2026,Concord,11/41/0,0.0,Fairmont,0,0.0,2
2/9/2026,Concord,61,2.0,Fairmont,41,3.0,2
2/9/2026,Concord,41,0.0,Fairmont,70,1.0,2
2/9/2026,Concord,31/60,2.0,Fairmont,61/61,2.0,2
2/9/2026,Concord,70,2.0,Fairmont,70,2.0,2
2/9/2026,Concord,31,0.0,Fairmont,70,1.0,2
2/9/2026,Concord,70,3.0,Fairmont,70,1.0,2
2/9/2026,Concord,61/41,0.0,Fairmont,70,1.0,2
2/9/2026,Concord,60,2.0,Fairmont,,,2
