Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,Concord,0,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,0,0.0,Frostburg,60,2.0,1
12/10/2025,Concord,31/61,0.0,Frostburg,41,3.0,1
12/10/2025,Concord,31,2.0,Frostburg,70,2.0,1
12/10/2025,Concord,61,2.0,Frostburg,61,2.0,1
12/10/2025,Concord,41,0.0,Frostburg,11,0.0,1
12/10/2025,Concord,70,3.0,Frostburg,31,0.0,1
12/10/2025,Concord,60,2.0,Frostburg,70,2.0,1
12/10/2025,Concord,,,Frostburg,/70,2.0,1
12/10/2025,Concord,0,0.0,Frostburg,61,0.0,1
12/10/2025,Concord,61/31,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,41,2.0,Frostburg,61,2.0,1
12/10/2025,Concord,41,2.0,Frostburg,11,2.0,1
12/10/2025,Concord,41,3.0,Frostburg,11,0.0,1
12/10/2025,Concord,60,2.0,Frostburg,30,3.0,1
12/10/2025,Concord,61,0.0,Frostburg,11,0.0,1
12/10/2025,Concord,31/0,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,70,1.0,Frostburg,41,3.0,1
12/10/2025,Concord,0,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,11/31,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,0,0.0,Frostburg,31,0.0,1
12/10/2025,Concord,11/11,2.0,Frostburg,11,0.0,1
12/10/2025,Concord,41,3.0,Frostburg,31,3.0,1
12/10/2025,Concord,41,0.0,Frostburg,61,2.0,1
12/10/2025,Concord,41,2.0,Frostburg,31,2.0,1
12/10/2025,Concord,70,1.0,Frostburg,70,2.0,1
12/10/2025,Concord,61,2.0,Frostburg,61/61,2.0,1
12/10/2025,Concord,41/61,3.0,Frostburg,31,0.0,1
12/10/2025,Concord,70,2.0,Frostburg,61,2.0,1
12/10/2025,Concord,11,0.0,Frostburg,70,2.0,1
12/10/2025,Concord,31,0.0,Frostburg,11/61,0.0,1
12/10/2025,Concord,70,1.0,Frostburg,31,3.0,1
12/10/2025,Concord,31,2.0,Frostburg,31,0.0,1
12/10/2025,Concord,61,2.0,Frostburg,61,2.0,1
12/10/2025,Concord,61,0.0,Frostburg,11,0.0,1
12/10/2025,Concord,31,2.0,Frostburg,,,1
12/10/2025,Concord,60,2.0,Frostburg,31,0.0,2
12/10/2025,Concord,11,0.0,Frostburg,61,0.0,2
12/10/2025,Concord,41,3.0,Frostburg,70,2.0,2
12/10/2025,Concord,61,2.0,Frostburg,31/61/11,0.0,2
12/10/2025,Concord,60,2.0,Frostburg,11,0.0,2
12/10/2025,Concord,31/61,2.0,Frostburg,61,2.0,2
12/10/2025,Concord,41/41,2.0,Frostburg,61,2.0,2
12/10/2025,Concord,31,0.0,Frostburg,61/41,3.0,2
12/10/2025,Concord,31,0.0,Frostburg,11,0.0,2
12/10/2025,Concord,0,0.0,Frostburg,61,2.0,2
12/10/2025,Concord,61,0.0,Frostburg,31,0.0,2
12/10/2025,Concord,31,2.0,Frostburg,61,2.0,2
12/10/2025,Concord,60/61,2.0,Frostburg,61,2.0,2
12/10/2025,Concord,61,3.0,Frostburg,61,3.0,2
12/10/2025,Concord,31/70,3.0,Frostburg,31,0.0,2
12/10/2025,Concord,60,2.0,Frostburg,0,0.0,2
12/10/2025,Concord,60,0.0,Frostburg,0,0.0,2
12/10/2025,Concord,41,0.0,Frostburg,0,0.0,2
12/10/2025,Concord,0,0.0,Frostburg,41,0.0,2
12/10/2025,Concord,41,3.0,Frostburg,0,0.0,2
12/10/2025,Concord,41,3.0,Frostburg,31,0.0,2
12/10/2025,Concord,11,0.0,Frostburg,70,0.0,2
12/10/2025,Concord,70,1.0,Frostburg,60,0.0,2
12/10/2025,Concord,60,2.0,Frostburg,70,1.0,2
12/10/2025,Concord,40,2.0,Frostburg,31,0.0,2
12/10/2025,Concord,31/60,3.0,Frostburg,31/31,3.0,2
12/10/2025,Concord,70,2.0,Frostburg,31,0.0,2
12/10/2025,Concord,60,2.0,Frostburg,31/31,0.0,2
12/10/2025,Concord,11/61,3.0,Frostburg,60,2.0,2
12/10/2025,Concord,61,2.0,Frostburg,40/31,3.0,2
12/10/2025,Concord,31,0.0,Frostburg,31,2.0,2
12/10/2025,Concord,31,0.0,Frostburg,70,2.0,2
12/10/2025,Concord,61,2.0,Frostburg,41,3.0,2
12/10/2025,Concord,61/61,2.0,Frostburg,70,2.0,2
12/10/2025,Concord,70,1.0,Frostburg,0,0.0,2
12/10/2025,Concord,0,0.0,Frostburg,60,2.0,2
12/10/2025,Concord,0,0.0,Frostburg,60,2.0,2
12/10/2025,Concord,31/11/31,3.0,Frostburg,31,0.0,2
