Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/24/2026,Concord,,,Glenville,0,0.0,1
1/24/2026,Concord,60,2.0,Glenville,61,2.0,1
1/24/2026,Concord,60,2.0,Glenville,31,0.0,1
1/24/2026,Concord,41,3.0,Glenville,31,0.0,1
1/24/2026,Concord,70,2.0,Glenville,70,1.0,1
1/24/2026,Concord,61,2.0,Glenville,70,2.0,1
1/24/2026,Concord,60,2.0,Glenville,61,2.0,1
1/24/2026,Concord,0,0.0,Glenville,60,2.0,1
1/24/2026,Concord,60,2.0,Glenville,40,3.0,1
1/24/2026,Concord,61,2.0,Glenville,41,3.0,1
1/24/2026,Concord,0,0.0,Glenville,11,0.0,1
1/24/2026,Concord,41,0.0,Glenville,41,0.0,1
1/24/2026,Concord,61,2.0,Glenville,41,0.0,1
1/24/2026,Concord,0,0.0,Glenville,11,0.0,1
1/24/2026,Concord,0,0.0,Glenville,31,2.0,1
1/24/2026,Concord,61,2.0,Glenville,61,2.0,1
1/24/2026,Concord,41/40,0.0,Glenville,31,0.0,1
1/24/2026,Concord,41,0.0,Glenville,31,2.0,1
1/24/2026,Concord,41,0.0,Glenville,41,3.0,1
1/24/2026,Concord,70,3.0,Glenville,61,2.0,1
1/24/2026,Concord,31,0.0,Glenville,0,0.0,1
1/24/2026,Concord,0,0.0,Glenville,61,2.0,1
1/24/2026,Concord,31,2.0,Glenville,70,2.0,1
1/24/2026,Concord,70,1.0,Glenville,0,0.0,1
1/24/2026,Concord,11,0.0,Glenville,0,0.0,1
1/24/2026,Concord,31/11,0.0,Glenville,60,2.0,1
1/24/2026,Concord,0,0.0,Glenville,11/60,2.0,1
1/24/2026,Concord,41,3.0,Glenville,61,2.0,1
1/24/2026,Concord,40,3.0,Glenville,31/61,0.0,1
1/24/2026,Concord,31,0.0,Glenville,70,2.0,1
1/24/2026,Concord,40/61,2.0,Glenville,31,2.0,1
1/24/2026,Concord,61,2.0,Glenville,11,0.0,1
1/24/2026,Concord,31/41,0.0,Glenville,31,0.0,1
1/24/2026,Concord,41,3.0,Glenville,11,0.0,1
1/24/2026,Concord,0,0.0,Glenville,31,0.0,1
1/24/2026,Concord,41,0.0,Glenville,70,2.0,1
1/24/2026,Concord,31,0.0,Glenville,61,2.0,1
1/24/2026,Concord,61,2.0,Glenville,11/60,2.0,1
1/24/2026,Concord,110,2.0,Glenville,31,2.0,1
1/24/2026,Concord,61,0.0,Glenville,31/40,0.0,1
1/24/2026,Concord,70,1.0,Glenville,0,0.0,1
1/24/2026,Concord,0,0.0,Glenville,11,0.0,1
1/24/2026,Concord,70,2.0,Glenville,0,0.0,1
1/24/2026,Concord,31,2.0,Glenville,,,1
1/24/2026,Concord,,,Glenville,41,0.0,2
1/24/2026,Concord,31,0.0,Glenville,31/60,2.0,2
1/24/2026,Concord,41,3.0,Glenville,41,3.0,2
1/24/2026,Concord,41,0.0,Glenville,70,2.0,2
1/24/2026,Concord,41/60,2.0,Glenville,41,2.0,2
1/24/2026,Concord,70,2.0,Glenville,0,0.0,2
1/24/2026,Concord,31/60,2.0,Glenville,31,0.0,2
1/24/2026,Concord,0,0.0,Glenville,60,2.0,2
1/24/2026,Concord,11/31,0.0,Glenville,31,0.0,2
1/24/2026,Concord,31,0.0,Glenville,31,0.0,2
1/24/2026,Concord,31/40/61,3.0,Glenville,31,0.0,2
1/24/2026,Concord,60,2.0,Glenville,31,3.0,2
1/24/2026,Concord,41,3.0,Glenville,31,3.0,2
1/24/2026,Concord,0,0.0,Glenville,31,2.0,2
1/24/2026,Concord,31,0.0,Glenville,70,0.0,2
1/24/2026,Concord,31,0.0,Glenville,60,2.0,2
1/24/2026,Concord,0,0.0,Glenville,31,0.0,2
1/24/2026,Concord,0,0.0,Glenville,11/60,2.0,2
1/24/2026,Concord,0,0.0,Glenville,61,2.0,2
1/24/2026,Concord,,,Glenville,70,1.0,2
1/24/2026,Concord,70,2.0,Glenville,61,2.0,2
1/24/2026,Concord,41,0.0,Glenville,0,0.0,2
1/24/2026,Concord,0,0.0,Glenville,41/61,2.0,2
1/24/2026,Concord,40,0.0,Glenville,41,3.0,2
1/24/2026,Concord,41,2.0,Glenville,40/70,1.0,2
1/24/2026,Concord,31,2.0,Glenville,41,2.0,2
1/24/2026,Concord,11/61,2.0,Glenville,70,2.0,2
1/24/2026,Concord,31,2.0,Glenville,31,0.0,2
1/24/2026,Concord,70,1.0,Glenville,31,0.0,2
1/24/2026,Concord,31,2.0,Glenville,61/61,2.0,2
1/24/2026,Concord,41,3.0,Glenville,41/60,2.0,2
1/24/2026,Concord,41,3.0,Glenville,70,2.0,2
1/24/2026,Concord,70,1.0,Glenville,31,2.0,2
1/24/2026,Concord,41,3.0,Glenville,31,2.0,2
1/24/2026,Concord,31,0.0,Glenville,60,2.0,2
1/24/2026,Concord,11,0.0,Glenville,60,3.0,2
1/24/2026,Concord,31,0.0,Glenville,70,2.0,2
1/24/2026,Concord,60,0.0,Glenville,0,0.0,2
1/24/2026,Concord,0,0.0,Glenville,70,2.0,2
1/24/2026,Concord,70,2.0,Glenville,70,1.0,2
1/24/2026,Concord,31,0.0,Glenville,0,0.0,2
1/24/2026,Concord,70,3.0,Glenville,70,1.0,2
1/24/2026,Concord,,,Glenville,70,2.0,2
1/24/2026,Concord,41/70,2.0,Glenville,70,1.0,2
1/24/2026,Concord,11,2.0,Glenville,70,2.0,2
1/24/2026,Concord,60,2.0,Glenville,0,0.0,2
