Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/3/2026,Concord,,,Salem,31,0.0,1
1/3/2026,Concord,41,3.0,Salem,0,0.0,1
1/3/2026,Concord,31,2.0,Salem,31,0.0,1
1/3/2026,Concord,41,3.0,Salem,41,3.0,1
1/3/2026,Concord,70,2.0,Salem,31,0.0,1
1/3/2026,Concord,41,3.0,Salem,0,0.0,1
1/3/2026,Concord,31,3.0,Salem,0,0.0,1
1/3/2026,Concord,11/61,0.0,Salem,60,2.0,1
1/3/2026,Concord,70,2.0,Salem,70,2.0,1
1/3/2026,Concord,60,2.0,Salem,11/0,0.0,1
1/3/2026,Concord,0,0.0,Salem,60,0.0,1
1/3/2026,Concord,61,0.0,Salem,61,0.0,1
1/3/2026,Concord,61,0.0,Salem,70,1.0,1
1/3/2026,Concord,70,1.0,Salem,61,2.0,1
1/3/2026,Concord,31/41,0.0,Salem,0,0.0,1
1/3/2026,Concord,61,3.0,Salem,11,0.0,1
1/3/2026,Concord,61,2.0,Salem,11/11,0.0,1
1/3/2026,Concord,40/41/41,0.0,Salem,31/11,0.0,1
1/3/2026,Concord,41/61,3.0,Salem,70,3.0,1
1/3/2026,Concord,0,0.0,Salem,30/61,2.0,1
1/3/2026,Concord,61,2.0,Salem,60,2.0,1
1/3/2026,Concord,70,2.0,Salem,0,0.0,1
1/3/2026,Concord,61/70,3.0,Salem,31,0.0,1
1/3/2026,Concord,31,2.0,Salem,31,0.0,1
1/3/2026,Concord,60,0.0,Salem,11,0.0,1
1/3/2026,Concord,11/31,0.0,Salem,0,0.0,1
1/3/2026,Concord,60,0.0,Salem,0,0.0,1
1/3/2026,Concord,0,0.0,Salem,60,2.0,1
1/3/2026,Concord,11,0.0,Salem,61,2.0,1
1/3/2026,Concord,0,0.0,Salem,11/61,2.0,1
1/3/2026,Concord,31,0.0,Salem,70,2.0,1
1/3/2026,Concord,0,0.0,Salem,0,0.0,1
1/3/2026,Concord,0,0.0,Salem,61,2.0,1
1/3/2026,Concord,31,0.0,Salem,31,0.0,1
1/3/2026,Concord,61/61,2.0,Salem,61,0.0,1
1/3/2026,Concord,60,2.0,Salem,0,0.0,1
1/3/2026,Concord,70,2.0,Salem,,,1
1/3/2026,Concord,70,2.0,Salem,31,0.0,1
1/3/2026,Concord,60,0.0,Salem,61,0.0,1
1/3/2026,Concord,61,0.0,Salem,41,3.0,1
1/3/2026,Concord,31,0.0,Salem,,,1
1/3/2026,Concord,41,3.0,Salem,31,0.0,2
1/3/2026,Concord,0,0.0,Salem,11,0.0,2
1/3/2026,Concord,31/61,2.0,Salem,61,2.0,2
1/3/2026,Concord,11/61,2.0,Salem,41,3.0,2
1/3/2026,Concord,60,3.0,Salem,31,2.0,2
1/3/2026,Concord,60,2.0,Salem,31,2.0,2
1/3/2026,Concord,70,2.0,Salem,60,2.0,2
1/3/2026,Concord,41/61,3.0,Salem,0,0.0,2
1/3/2026,Concord,0,0.0,Salem,61,2.0,2
1/3/2026,Concord,61,2.0,Salem,61,0.0,2
1/3/2026,Concord,41,0.0,Salem,41,0.0,2
1/3/2026,Concord,60,2.0,Salem,70,1.0,2
1/3/2026,Concord,0,0.0,Salem,41,0.0,2
1/3/2026,Concord,61/61/60,3.0,Salem,31,0.0,2
1/3/2026,Concord,41,3.0,Salem,70,1.0,2
1/3/2026,Concord,,,Salem,/61,2.0,2
1/3/2026,Concord,41,0.0,Salem,0,0.0,2
1/3/2026,Concord,30,0.0,Salem,11,0.0,2
1/3/2026,Concord,70,2.0,Salem,31,2.0,2
1/3/2026,Concord,61,3.0,Salem,11,0.0,2
1/3/2026,Concord,60,3.0,Salem,0,0.0,2
1/3/2026,Concord,0,0.0,Salem,30,0.0,2
1/3/2026,Concord,41,2.0,Salem,11,0.0,2
1/3/2026,Concord,0,0.0,Salem,41,3.0,2
1/3/2026,Concord,41/61,0.0,Salem,70,3.0,2
1/3/2026,Concord,0,0.0,Salem,0,0.0,2
1/3/2026,Concord,0,0.0,Salem,61,0.0,2
1/3/2026,Concord,11/60,2.0,Salem,11,0.0,2
1/3/2026,Concord,41,3.0,Salem,60,2.0,2
1/3/2026,Concord,0,0.0,Salem,0,0.0,2
1/3/2026,Concord,70,2.0,Salem,0,0.0,2
1/3/2026,Concord,60,2.0,Salem,70,3.0,2
1/3/2026,Concord,31,3.0,Salem,31,0.0,2
1/3/2026,Concord,40,0.0,Salem,60,2.0,2
1/3/2026,Concord,0,0.0,Salem,41,0.0,2
1/3/2026,Concord,30,2.0,Salem,60,2.0,2
1/3/2026,Concord,31,0.0,Salem,61,2.0,2
1/3/2026,Concord,41/41,0.0,Salem,70,1.0,2
1/3/2026,Concord,31,0.0,Salem,31,2.0,2
1/3/2026,Concord,31,0.0,Salem,0,0.0,2
1/3/2026,Concord,60/70,1.0,Salem,61,2.0,2
1/3/2026,Concord,0,0.0,Salem,60,2.0,2
1/3/2026,Concord,41/70,3.0,Salem,60,2.0,2
