Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/11/2026,Concord,31,0.0,Wesleyan,0,0.0,1
2/11/2026,Concord,41,3.0,Wesleyan,61,0.0,1
2/11/2026,Concord,31,0.0,Wesleyan,60,2.0,1
2/11/2026,Concord,41/60/61,2.0,Wesleyan,70,1.0,1
2/11/2026,Concord,60,3.0,Wesleyan,41/41,0.0,1
2/11/2026,Concord,41/31,0.0,Wesleyan,11/31,2.0,1
2/11/2026,Concord,70,3.0,Wesleyan,0,0.0,1
2/11/2026,Concord,70,2.0,Wesleyan,0,0.0,1
2/11/2026,Concord,60,0.0,Wesleyan,60,2.0,1
2/11/2026,Concord,61,2.0,Wesleyan,31,0.0,1
2/11/2026,Concord,70,2.0,Wesleyan,31,0.0,1
2/11/2026,Concord,41,3.0,Wesleyan,31,0.0,1
2/11/2026,Concord,40,0.0,Wesleyan,41,3.0,1
2/11/2026,Concord,31,0.0,Wesleyan,60,2.0,1
2/11/2026,Concord,61,0.0,Wesleyan,61,0.0,1
2/11/2026,Concord,70,2.0,Wesleyan,41,0.0,1
2/11/2026,Concord,60,2.0,Wesleyan,60,2.0,1
2/11/2026,Concord,61,0.0,Wesleyan,31,0.0,1
2/11/2026,Concord,70,3.0,Wesleyan,31,0.0,1
2/11/2026,Concord,41,2.0,Wesleyan,60,2.0,1
2/11/2026,Concord,61/70,2.0,Wesleyan,61,2.0,1
2/11/2026,Concord,0,0.0,Wesleyan,40,3.0,1
2/11/2026,Concord,41/60,2.0,Wesleyan,11,0.0,1
2/11/2026,Concord,11/31,0.0,Wesleyan,70,1.0,1
2/11/2026,Concord,31,3.0,Wesleyan,31,0.0,1
2/11/2026,Concord,41,0.0,Wesleyan,11,0.0,1
2/11/2026,Concord,11/60,2.0,Wesleyan,70,2.0,1
2/11/2026,Concord,60,2.0,Wesleyan,70,2.0,1
2/11/2026,Concord,11/70,2.0,Wesleyan,41,3.0,1
2/11/2026,Concord,41,3.0,Wesleyan,31,0.0,1
2/11/2026,Concord,0,0.0,Wesleyan,11,0.0,1
2/11/2026,Concord,41,0.0,Wesleyan,70,1.0,1
2/11/2026,Concord,60,2.0,Wesleyan,70,2.0,1
2/11/2026,Concord,61,2.0,Wesleyan,61,0.0,1
2/11/2026,Concord,60/70,1.0,Wesleyan,0,0.0,1
2/11/2026,Concord,0,0.0,Wesleyan,,,1
2/11/2026,Concord,,,Wesleyan,40,0.0,2
2/11/2026,Concord,60,3.0,Wesleyan,41,3.0,2
2/11/2026,Concord,60,2.0,Wesleyan,31,0.0,2
2/11/2026,Concord,70,1.0,Wesleyan,41/31,2.0,2
2/11/2026,Concord,60,3.0,Wesleyan,40,2.0,2
2/11/2026,Concord,41,0.0,Wesleyan,60,2.0,2
2/11/2026,Concord,0,0.0,Wesleyan,60,2.0,2
2/11/2026,Concord,0,0.0,Wesleyan,60,2.0,2
2/11/2026,Concord,60,2.0,Wesleyan,40,0.0,2
2/11/2026,Concord,41,0.0,Wesleyan,70,2.0,2
2/11/2026,Concord,11/11,0.0,Wesleyan,70,1.0,2
2/11/2026,Concord,41/61,2.0,Wesleyan,11,0.0,2
2/11/2026,Concord,61,0.0,Wesleyan,0,0.0,2
2/11/2026,Concord,60,0.0,Wesleyan,11/61,0.0,2
2/11/2026,Concord,70,1.0,Wesleyan,61,0.0,2
2/11/2026,Concord,31/41,2.0,Wesleyan,40/11/0,0.0,2
2/11/2026,Concord,31/61,2.0,Wesleyan,60,0.0,2
2/11/2026,Concord,40,2.0,Wesleyan,30,0.0,2
2/11/2026,Concord,31/61,2.0,Wesleyan,11/0,0.0,2
2/11/2026,Concord,0,0.0,Wesleyan,11,0.0,2
2/11/2026,Concord,0,0.0,Wesleyan,60/31,0.0,2
2/11/2026,Concord,60,2.0,Wesleyan,41,0.0,2
2/11/2026,Concord,41,3.0,Wesleyan,61,2.0,2
2/11/2026,Concord,0,0.0,Wesleyan,70,1.0,2
2/11/2026,Concord,0,0.0,Wesleyan,30/61,2.0,2
2/11/2026,Concord,60,0.0,Wesleyan,60,2.0,2
2/11/2026,Concord,61,2.0,Wesleyan,61,2.0,2
2/11/2026,Concord,41,3.0,Wesleyan,0,0.0,2
2/11/2026,Concord,31,0.0,Wesleyan,31,0.0,2
2/11/2026,Concord,70,1.0,Wesleyan,70,2.0,2
2/11/2026,Concord,41,0.0,Wesleyan,31,0.0,2
2/11/2026,Concord,11,0.0,Wesleyan,60,2.0,2
2/11/2026,Concord,70,1.0,Wesleyan,31,2.0,2
2/11/2026,Concord,60,0.0,Wesleyan,61,2.0,2
2/11/2026,Concord,31,3.0,Wesleyan,31,0.0,2
2/11/2026,Concord,0,0.0,Wesleyan,31,0.0,2
2/11/2026,Concord,60,2.0,Wesleyan,60,2.0,2
