Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,Concord,,,West Liberty,60,3.0,1
1/17/2026,Concord,0,0.0,West Liberty,31/31,0.0,1
1/17/2026,Concord,31,3.0,West Liberty,40,3.0,1
1/17/2026,Concord,11/0,0.0,West Liberty,60,2.0,1
1/17/2026,Concord,60,2.0,West Liberty,61,2.0,1
1/17/2026,Concord,61,2.0,West Liberty,41,0.0,1
1/17/2026,Concord,0,0.0,West Liberty,60,2.0,1
1/17/2026,Concord,41,3.0,West Liberty,0,0.0,1
1/17/2026,Concord,31/70,1.0,West Liberty,11,2.0,1
1/17/2026,Concord,0,0.0,West Liberty,0,0.0,1
1/17/2026,Concord,40,0.0,West Liberty,60,0.0,1
1/17/2026,Concord,41,0.0,West Liberty,60,2.0,1
1/17/2026,Concord,30,0.0,West Liberty,40/11,0.0,1
1/17/2026,Concord,70,2.0,West Liberty,11/11,0.0,1
1/17/2026,Concord,41,0.0,West Liberty,41,0.0,1
1/17/2026,Concord,70,2.0,West Liberty,60,2.0,1
1/17/2026,Concord,31,0.0,West Liberty,11/41/60,2.0,1
1/17/2026,Concord,0,0.0,West Liberty,60,2.0,1
1/17/2026,Concord,0,0.0,West Liberty,41/31/0,0.0,1
1/17/2026,Concord,11,0.0,West Liberty,61,2.0,1
1/17/2026,Concord,41,0.0,West Liberty,61,0.0,1
1/17/2026,Concord,60,2.0,West Liberty,11,2.0,1
1/17/2026,Concord,61,2.0,West Liberty,60,2.0,1
1/17/2026,Concord,60,2.0,West Liberty,41,3.0,1
1/17/2026,Concord,31/61,0.0,West Liberty,61,2.0,1
1/17/2026,Concord,70,2.0,West Liberty,11,0.0,1
1/17/2026,Concord,31,0.0,West Liberty,31,0.0,1
1/17/2026,Concord,40/61,2.0,West Liberty,31,2.0,1
1/17/2026,Concord,41,3.0,West Liberty,0,0.0,1
1/17/2026,Concord,60,0.0,West Liberty,60,2.0,1
1/17/2026,Concord,0,0.0,West Liberty,0,0.0,1
1/17/2026,Concord,60,2.0,West Liberty,31,0.0,1
1/17/2026,Concord,41,2.0,West Liberty,70,3.0,1
1/17/2026,Concord,40,3.0,West Liberty,41,0.0,1
1/17/2026,Concord,70,2.0,West Liberty,60,0.0,1
1/17/2026,Concord,70,1.0,West Liberty,0,0.0,1
1/17/2026,Concord,31,0.0,West Liberty,,,1
1/17/2026,Concord,,,West Liberty,61,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,70,2.0,2
1/17/2026,Concord,61/61,0.0,West Liberty,31/61,3.0,2
1/17/2026,Concord,11,0.0,West Liberty,60,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,61,2.0,2
1/17/2026,Concord,70,2.0,West Liberty,60,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,70,0.0,2
1/17/2026,Concord,41,0.0,West Liberty,11/61,0.0,2
1/17/2026,Concord,70,2.0,West Liberty,41,3.0,2
1/17/2026,Concord,61,2.0,West Liberty,61,3.0,2
1/17/2026,Concord,60,0.0,West Liberty,70,2.0,2
1/17/2026,Concord,41,3.0,West Liberty,61,2.0,2
1/17/2026,Concord,11/60,2.0,West Liberty,31,0.0,2
1/17/2026,Concord,11,2.0,West Liberty,40,3.0,2
1/17/2026,Concord,0,0.0,West Liberty,11,0.0,2
1/17/2026,Concord,41,0.0,West Liberty,0,0.0,2
1/17/2026,Concord,30,0.0,West Liberty,61,2.0,2
1/17/2026,Concord,11,2.0,West Liberty,60,2.0,2
1/17/2026,Concord,70,2.0,West Liberty,110,4.0,2
1/17/2026,Concord,0,0.0,West Liberty,11,0.0,2
1/17/2026,Concord,0,0.0,West Liberty,11/61,3.0,2
1/17/2026,Concord,60,0.0,West Liberty,11,0.0,2
1/17/2026,Concord,60,0.0,West Liberty,61,2.0,2
1/17/2026,Concord,40/41,2.0,West Liberty,31,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,31,2.0,2
1/17/2026,Concord,61,2.0,West Liberty,60,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,61,0.0,2
1/17/2026,Concord,31,0.0,West Liberty,41/41/61/61,0.0,2
1/17/2026,Concord,41,3.0,West Liberty,11,2.0,2
1/17/2026,Concord,60,2.0,West Liberty,70,0.0,2
1/17/2026,Concord,,,West Liberty,/31,2.0,2
1/17/2026,Concord,41,0.0,West Liberty,0,0.0,2
1/17/2026,Concord,70,2.0,West Liberty,41,3.0,2
1/17/2026,Concord,61/31,0.0,West Liberty,70,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,0,0.0,2
1/17/2026,Concord,41,2.0,West Liberty,70,2.0,2
1/17/2026,Concord,0,0.0,West Liberty,60,2.0,2
1/17/2026,Concord,61,0.0,West Liberty,11,2.0,2
1/17/2026,Concord,70,0.0,West Liberty,61,2.0,2
1/17/2026,Concord,41/41/11/70,2.0,West Liberty,,,2
