Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/18/2026,Concord,,,Wheeling,60,2.0,1
2/18/2026,Concord,31,0.0,Wheeling,41,0.0,1
2/18/2026,Concord,61/61,3.0,Wheeling,31,2.0,1
2/18/2026,Concord,31,0.0,Wheeling,60,0.0,1
2/18/2026,Concord,0,0.0,Wheeling,70,2.0,1
2/18/2026,Concord,41,0.0,Wheeling,31,0.0,1
2/18/2026,Concord,31,0.0,Wheeling,31,0.0,1
2/18/2026,Concord,0,0.0,Wheeling,60,2.0,1
2/18/2026,Concord,31,0.0,Wheeling,11,0.0,1
2/18/2026,Concord,70,2.0,Wheeling,31/60,2.0,1
2/18/2026,Concord,31,0.0,Wheeling,31/61,2.0,1
2/18/2026,Concord,31/41,0.0,Wheeling,31,0.0,1
2/18/2026,Concord,40,0.0,Wheeling,0,0.0,1
2/18/2026,Concord,41,3.0,Wheeling,31,0.0,1
2/18/2026,Concord,11,0.0,Wheeling,30,0.0,1
2/18/2026,Concord,31,2.0,Wheeling,11/70,1.0,1
2/18/2026,Concord,0,0.0,Wheeling,70,0.0,1
2/18/2026,Concord,70,2.0,Wheeling,0,0.0,1
2/18/2026,Concord,0,0.0,Wheeling,41/11/70,1.0,1
2/18/2026,Concord,61,2.0,Wheeling,11,0.0,1
2/18/2026,Concord,11,0.0,Wheeling,41,3.0,1
2/18/2026,Concord,0,0.0,Wheeling,61,2.0,1
2/18/2026,Concord,60,2.0,Wheeling,70,2.0,1
2/18/2026,Concord,41,3.0,Wheeling,31,3.0,1
2/18/2026,Concord,70,1.0,Wheeling,31,0.0,1
2/18/2026,Concord,70,0.0,Wheeling,31,0.0,1
2/18/2026,Concord,70,2.0,Wheeling,31,0.0,1
2/18/2026,Concord,11/61,2.0,Wheeling,60,2.0,1
2/18/2026,Concord,41,0.0,Wheeling,61,2.0,1
2/18/2026,Concord,60,2.0,Wheeling,60,2.0,1
2/18/2026,Concord,31/61,0.0,Wheeling,61,2.0,1
2/18/2026,Concord,31,0.0,Wheeling,70,1.0,1
2/18/2026,Concord,61/31,2.0,Wheeling,0,0.0,1
2/18/2026,Concord,0,0.0,Wheeling,60,2.0,1
2/18/2026,Concord,61,2.0,Wheeling,31,0.0,1
2/18/2026,Concord,70,2.0,Wheeling,31,0.0,1
2/18/2026,Concord,0,0.0,Wheeling,11,0.0,1
2/18/2026,Concord,61,2.0,Wheeling,11,0.0,2
2/18/2026,Concord,0,0.0,Wheeling,60,2.0,2
2/18/2026,Concord,41/0,0.0,Wheeling,60,2.0,2
2/18/2026,Concord,0,0.0,Wheeling,41,2.0,2
2/18/2026,Concord,70,1.0,Wheeling,61,2.0,2
2/18/2026,Concord,61/61,2.0,Wheeling,31/41/0,0.0,2
2/18/2026,Concord,0,0.0,Wheeling,31/31/11,0.0,2
2/18/2026,Concord,61,2.0,Wheeling,31,2.0,2
2/18/2026,Concord,41,3.0,Wheeling,0,0.0,2
2/18/2026,Concord,70,2.0,Wheeling,41,0.0,2
2/18/2026,Concord,61,2.0,Wheeling,70,3.0,2
2/18/2026,Concord,31/11/0,0.0,Wheeling,31,2.0,2
2/18/2026,Concord,70,1.0,Wheeling,61,2.0,2
2/18/2026,Concord,31,0.0,Wheeling,31,2.0,2
2/18/2026,Concord,41,0.0,Wheeling,31,0.0,2
2/18/2026,Concord,70,1.0,Wheeling,41,0.0,2
2/18/2026,Concord,41,2.0,Wheeling,31,2.0,2
2/18/2026,Concord,11,0.0,Wheeling,0,0.0,2
2/18/2026,Concord,61,2.0,Wheeling,31,2.0,2
2/18/2026,Concord,70,1.0,Wheeling,31/41,3.0,2
2/18/2026,Concord,61/60,2.0,Wheeling,31,2.0,2
2/18/2026,Concord,40,0.0,Wheeling,70,1.0,2
2/18/2026,Concord,70,2.0,Wheeling,70,2.0,2
2/18/2026,Concord,70,2.0,Wheeling,40,2.0,2
2/18/2026,Concord,70,3.0,Wheeling,31,3.0,2
2/18/2026,Concord,0,0.0,Wheeling,31,0.0,2
2/18/2026,Concord,41,3.0,Wheeling,70,0.0,2
2/18/2026,Concord,41,0.0,Wheeling,0,0.0,2
2/18/2026,Concord,60,2.0,Wheeling,31,0.0,2
2/18/2026,Concord,40,0.0,Wheeling,31,0.0,2
2/18/2026,Concord,60,2.0,Wheeling,11/31,0.0,2
2/18/2026,Concord,31,0.0,Wheeling,61,2.0,2
2/18/2026,Concord,70,2.0,Wheeling,31,2.0,2
2/18/2026,Concord,0,0.0,Wheeling,70,2.0,2
2/18/2026,Concord,0,0.0,Wheeling,0,0.0,2
2/18/2026,Concord,31,0.0,Wheeling,,,2
