Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,D&E,31/11,0.0,Charleston,41,3.0,1
1/17/2026,D&E,41,3.0,Charleston,61,2.0,1
1/17/2026,D&E,41,0.0,Charleston,61/41,0.0,1
1/17/2026,D&E,41/0,0.0,Charleston,31,0.0,1
1/17/2026,D&E,41,3.0,Charleston,70,1.0,1
1/17/2026,D&E,70,2.0,Charleston,60,2.0,1
1/17/2026,D&E,70,2.0,Charleston,60,0.0,1
1/17/2026,D&E,11/0,0.0,Charleston,70,2.0,1
1/17/2026,D&E,11/31,3.0,Charleston,41,3.0,1
1/17/2026,D&E,11,2.0,Charleston,70,0.0,1
1/17/2026,D&E,,,Charleston,/11,0.0,1
1/17/2026,D&E,31,0.0,Charleston,60,0.0,1
1/17/2026,D&E,0,0.0,Charleston,70,1.0,1
1/17/2026,D&E,31/11/60,2.0,Charleston,60,2.0,1
1/17/2026,D&E,41,3.0,Charleston,0,0.0,1
1/17/2026,D&E,61,0.0,Charleston,0,0.0,1
1/17/2026,D&E,61,2.0,Charleston,41,2.0,1
1/17/2026,D&E,60,2.0,Charleston,41/41,2.0,1
1/17/2026,D&E,0,0.0,Charleston,61/31,0.0,1
1/17/2026,D&E,70,1.0,Charleston,61,2.0,1
1/17/2026,D&E,11,2.0,Charleston,41,0.0,1
1/17/2026,D&E,61,0.0,Charleston,41/61,2.0,1
1/17/2026,D&E,60,2.0,Charleston,41,0.0,1
1/17/2026,D&E,0,0.0,Charleston,61,2.0,1
1/17/2026,D&E,70,0.0,Charleston,60/70,2.0,1
1/17/2026,D&E,70,2.0,Charleston,70,1.0,1
1/17/2026,D&E,,,Charleston,/60,2.0,1
1/17/2026,D&E,0,0.0,Charleston,61,0.0,1
1/17/2026,D&E,60,2.0,Charleston,61,2.0,1
1/17/2026,D&E,11,0.0,Charleston,61,2.0,1
1/17/2026,D&E,70,0.0,Charleston,0,0.0,1
1/17/2026,D&E,70,3.0,Charleston,0,0.0,1
1/17/2026,D&E,61,2.0,Charleston,40,3.0,1
1/17/2026,D&E,41,2.0,Charleston,41,3.0,1
1/17/2026,D&E,61,0.0,Charleston,40,0.0,1
1/17/2026,D&E,70,2.0,Charleston,41,0.0,1
1/17/2026,D&E,,,Charleston,11,0.0,2
1/17/2026,D&E,70,2.0,Charleston,11,0.0,2
1/17/2026,D&E,31,2.0,Charleston,41,2.0,2
1/17/2026,D&E,31,3.0,Charleston,60,2.0,2
1/17/2026,D&E,41,0.0,Charleston,11/61,2.0,2
1/17/2026,D&E,41,3.0,Charleston,41,0.0,2
1/17/2026,D&E,0,0.0,Charleston,0,0.0,2
1/17/2026,D&E,11,2.0,Charleston,61,3.0,2
1/17/2026,D&E,60,2.0,Charleston,41,0.0,2
1/17/2026,D&E,0,0.0,Charleston,60,2.0,2
1/17/2026,D&E,31,0.0,Charleston,60,2.0,2
1/17/2026,D&E,31,0.0,Charleston,40,3.0,2
1/17/2026,D&E,0,0.0,Charleston,11,2.0,2
1/17/2026,D&E,0,0.0,Charleston,11,0.0,2
1/17/2026,D&E,70,2.0,Charleston,31,0.0,2
1/17/2026,D&E,41,3.0,Charleston,70,0.0,2
1/17/2026,D&E,,,Charleston,/41,0.0,2
1/17/2026,D&E,11/31,0.0,Charleston,31,3.0,2
1/17/2026,D&E,31,0.0,Charleston,61,0.0,2
1/17/2026,D&E,0,0.0,Charleston,60,3.0,2
1/17/2026,D&E,0,0.0,Charleston,0,0.0,2
1/17/2026,D&E,60/70,0.0,Charleston,31,3.0,2
1/17/2026,D&E,41,0.0,Charleston,41,3.0,2
1/17/2026,D&E,40,2.0,Charleston,41,3.0,2
1/17/2026,D&E,31,0.0,Charleston,0,0.0,2
1/17/2026,D&E,11/41,0.0,Charleston,41,0.0,2
1/17/2026,D&E,70,1.0,Charleston,31/61,0.0,2
1/17/2026,D&E,0,0.0,Charleston,0,0.0,2
1/17/2026,D&E,70,2.0,Charleston,0,0.0,2
1/17/2026,D&E,41/0,0.0,Charleston,60,2.0,2
1/17/2026,D&E,31,2.0,Charleston,0,0.0,2
1/17/2026,D&E,61,2.0,Charleston,70,0.0,2
1/17/2026,D&E,0,0.0,Charleston,61,2.0,2
1/17/2026,D&E,70,2.0,Charleston,31,2.0,2
1/17/2026,D&E,70,1.0,Charleston,70,2.0,2
1/17/2026,D&E,70,2.0,Charleston,70,2.0,2
1/17/2026,D&E,31,2.0,Charleston,70,1.0,2
1/17/2026,D&E,70,2.0,Charleston,70,1.0,2
1/17/2026,D&E,31,3.0,Charleston,70,1.0,2
1/17/2026,D&E,31/70,2.0,Charleston,70,1.0,2
1/17/2026,D&E,41/11/70,2.0,Charleston,70,1.0,2
1/17/2026,D&E,,,Charleston,70,1.0,2
1/17/2026,D&E,10,0.0,Charleston,,,2
