Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,D&E,31,0.0,Concord,31,0.0,1
2/14/2026,D&E,60,2.0,Concord,61,2.0,1
2/14/2026,D&E,60,2.0,Concord,31,0.0,1
2/14/2026,D&E,60,2.0,Concord,61,0.0,1
2/14/2026,D&E,41,3.0,Concord,11,0.0,1
2/14/2026,D&E,60,0.0,Concord,0,0.0,1
2/14/2026,D&E,0,0.0,Concord,61/60,2.0,1
2/14/2026,D&E,31/31,0.0,Concord,0,0.0,1
2/14/2026,D&E,70,2.0,Concord,31/70,1.0,1
2/14/2026,D&E,11,0.0,Concord,11/31,2.0,1
2/14/2026,D&E,60,2.0,Concord,0,0.0,1
2/14/2026,D&E,41,0.0,Concord,31,2.0,1
2/14/2026,D&E,31,0.0,Concord,0,0.0,1
2/14/2026,D&E,61,2.0,Concord,70,1.0,1
2/14/2026,D&E,,,Concord,60,0.0,1
2/14/2026,D&E,31/60/31,2.0,Concord,70,2.0,1
2/14/2026,D&E,60,2.0,Concord,41/60,2.0,1
2/14/2026,D&E,41/60/70,2.0,Concord,0,0.0,1
2/14/2026,D&E,61,2.0,Concord,11,0.0,1
2/14/2026,D&E,0,0.0,Concord,40,3.0,1
2/14/2026,D&E,31,0.0,Concord,11,0.0,1
2/14/2026,D&E,41,0.0,Concord,11,2.0,1
2/14/2026,D&E,0,0.0,Concord,60,2.0,1
2/14/2026,D&E,0,0.0,Concord,40,0.0,1
2/14/2026,D&E,0,0.0,Concord,41,2.0,1
2/14/2026,D&E,41,2.0,Concord,31,3.0,1
2/14/2026,D&E,60,0.0,Concord,11,0.0,1
2/14/2026,D&E,61,2.0,Concord,0,0.0,1
2/14/2026,D&E,70,3.0,Concord,61,0.0,1
2/14/2026,D&E,0,0.0,Concord,11/60,2.0,1
2/14/2026,D&E,41,3.0,Concord,41,2.0,1
2/14/2026,D&E,60,2.0,Concord,11/60,2.0,1
2/14/2026,D&E,41/31,0.0,Concord,41/31,0.0,1
2/14/2026,D&E,61,2.0,Concord,30,0.0,1
2/14/2026,D&E,41,2.0,Concord,61,2.0,1
2/14/2026,D&E,10,0.0,Concord,,,1
2/14/2026,D&E,,,Concord,60/70,2.0,2
2/14/2026,D&E,60,0.0,Concord,70,2.0,2
2/14/2026,D&E,11,0.0,Concord,11,0.0,2
2/14/2026,D&E,11/0,0.0,Concord,61,2.0,2
2/14/2026,D&E,61,2.0,Concord,70,2.0,2
2/14/2026,D&E,,,Concord,/61,2.0,2
2/14/2026,D&E,70,1.0,Concord,41,3.0,2
2/14/2026,D&E,60,2.0,Concord,41,0.0,2
2/14/2026,D&E,31,0.0,Concord,0,0.0,2
2/14/2026,D&E,31,0.0,Concord,31,2.0,2
2/14/2026,D&E,41,2.0,Concord,61,2.0,2
2/14/2026,D&E,31,0.0,Concord,41,0.0,2
2/14/2026,D&E,61,3.0,Concord,60,2.0,2
2/14/2026,D&E,31,2.0,Concord,31,2.0,2
2/14/2026,D&E,40,3.0,Concord,31,0.0,2
2/14/2026,D&E,0,0.0,Concord,61,2.0,2
2/14/2026,D&E,61,3.0,Concord,70,1.0,2
2/14/2026,D&E,11,0.0,Concord,0,0.0,2
2/14/2026,D&E,60,2.0,Concord,70,2.0,2
2/14/2026,D&E,11,0.0,Concord,61/60,0.0,2
2/14/2026,D&E,41,0.0,Concord,61,2.0,2
2/14/2026,D&E,41,0.0,Concord,11/60,2.0,2
2/14/2026,D&E,0,0.0,Concord,41,3.0,2
2/14/2026,D&E,60/11,0.0,Concord,31/11,0.0,2
2/14/2026,D&E,61,2.0,Concord,0,0.0,2
2/14/2026,D&E,0,0.0,Concord,41,0.0,2
2/14/2026,D&E,31,0.0,Concord,41,2.0,2
2/14/2026,D&E,31,2.0,Concord,41,0.0,2
2/14/2026,D&E,41,2.0,Concord,11/70,1.0,2
2/14/2026,D&E,61,3.0,Concord,11,0.0,2
2/14/2026,D&E,11,0.0,Concord,60,2.0,2
2/14/2026,D&E,70,2.0,Concord,70,1.0,2
2/14/2026,D&E,0,0.0,Concord,0,0.0,2
2/14/2026,D&E,41,0.0,Concord,70,1.0,2
2/14/2026,D&E,70,2.0,Concord,70,1.0,2
2/14/2026,D&E,31,0.0,Concord,,,2
