Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,D&E,,,Fairmont,31,2.0,1
12/3/2025,D&E,41,0.0,Fairmont,0,0.0,1
12/3/2025,D&E,11/60,3.0,Fairmont,31/31/41,3.0,1
12/3/2025,D&E,61,0.0,Fairmont,70,2.0,1
12/3/2025,D&E,11,2.0,Fairmont,31,3.0,1
12/3/2025,D&E,41/70,2.0,Fairmont,31/41,3.0,1
12/3/2025,D&E,11,0.0,Fairmont,110,2.0,1
12/3/2025,D&E,0,0.0,Fairmont,31,0.0,1
12/3/2025,D&E,0,0.0,Fairmont,41/60,3.0,1
12/3/2025,D&E,70,2.0,Fairmont,0,0.0,1
12/3/2025,D&E,31/31/60,2.0,Fairmont,11,0.0,1
12/3/2025,D&E,11,0.0,Fairmont,41,0.0,1
12/3/2025,D&E,0,0.0,Fairmont,41,0.0,1
12/3/2025,D&E,70,2.0,Fairmont,41,2.0,1
12/3/2025,D&E,31/41,0.0,Fairmont,41,0.0,1
12/3/2025,D&E,31,0.0,Fairmont,0,0.0,1
12/3/2025,D&E,11,0.0,Fairmont,31,3.0,1
12/3/2025,D&E,70,2.0,Fairmont,0,0.0,1
12/3/2025,D&E,61,2.0,Fairmont,0,0.0,1
12/3/2025,D&E,60,2.0,Fairmont,0,0.0,1
12/3/2025,D&E,31,0.0,Fairmont,41,2.0,1
12/3/2025,D&E,0,0.0,Fairmont,31,2.0,1
12/3/2025,D&E,31/61,2.0,Fairmont,61,2.0,1
12/3/2025,D&E,40,3.0,Fairmont,41,2.0,1
12/3/2025,D&E,31,0.0,Fairmont,11,2.0,1
12/3/2025,D&E,61,2.0,Fairmont,30,0.0,1
12/3/2025,D&E,60,3.0,Fairmont,0,0.0,1
12/3/2025,D&E,70,3.0,Fairmont,31,0.0,1
12/3/2025,D&E,41,0.0,Fairmont,0,0.0,1
12/3/2025,D&E,41,3.0,Fairmont,11,0.0,1
12/3/2025,D&E,31,0.0,Fairmont,41,0.0,1
12/3/2025,D&E,0,0.0,Fairmont,61,2.0,1
12/3/2025,D&E,31,0.0,Fairmont,70,2.0,1
12/3/2025,D&E,41,0.0,Fairmont,70,0.0,1
12/3/2025,D&E,11,2.0,Fairmont,70,1.0,1
12/3/2025,D&E,0,0.0,Fairmont,0,0.0,1
12/3/2025,D&E,61,0.0,Fairmont,61,2.0,1
12/3/2025,D&E,11,0.0,Fairmont,,,1
12/3/2025,D&E,41,3.0,Fairmont,61,0.0,2
12/3/2025,D&E,31/61/60,2.0,Fairmont,61,2.0,2
12/3/2025,D&E,61,2.0,Fairmont,41,2.0,2
12/3/2025,D&E,41,3.0,Fairmont,60,3.0,2
12/3/2025,D&E,31,0.0,Fairmont,41,2.0,2
12/3/2025,D&E,0,0.0,Fairmont,0,0.0,2
12/3/2025,D&E,70,2.0,Fairmont,61,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,0,0.0,2
12/3/2025,D&E,41,3.0,Fairmont,60,2.0,2
12/3/2025,D&E,60,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,31/41/0,0.0,Fairmont,41,3.0,2
12/3/2025,D&E,0,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,60,3.0,Fairmont,31,0.0,2
12/3/2025,D&E,61,3.0,Fairmont,11,0.0,2
12/3/2025,D&E,61/0,0.0,Fairmont,0,0.0,2
12/3/2025,D&E,0,0.0,Fairmont,31/60,2.0,2
12/3/2025,D&E,70,2.0,Fairmont,11/31,0.0,2
12/3/2025,D&E,0,0.0,Fairmont,0,0.0,2
12/3/2025,D&E,0,0.0,Fairmont,61,2.0,2
12/3/2025,D&E,31,2.0,Fairmont,41/70,1.0,2
12/3/2025,D&E,,,Fairmont,/0,0.0,2
12/3/2025,D&E,31,3.0,Fairmont,70,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,61,0.0,Fairmont,61,2.0,2
12/3/2025,D&E,31/70,1.0,Fairmont,70,1.0,2
12/3/2025,D&E,,,Fairmont,/41,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,70,1.0,2
12/3/2025,D&E,,,Fairmont,/0,0.0,2
12/3/2025,D&E,0,0.0,Fairmont,11,0.0,2
12/3/2025,D&E,11,0.0,Fairmont,0,0.0,2
12/3/2025,D&E,60,3.0,Fairmont,41,3.0,2
12/3/2025,D&E,31,2.0,Fairmont,70,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,70,1.0,Fairmont,61,3.0,2
12/3/2025,D&E,61,2.0,Fairmont,30,0.0,2
12/3/2025,D&E,60,2.0,Fairmont,70,1.0,2
12/3/2025,D&E,,,Fairmont,/0,0.0,2
12/3/2025,D&E,41,0.0,Fairmont,70,1.0,2
12/3/2025,D&E,31/70,0.0,Fairmont,,,2
12/3/2025,D&E,/31/11/70,1.0,Fairmont,70,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,31,0.0,Fairmont,60,2.0,2
12/3/2025,D&E,31/60,2.0,Fairmont,,,2
