Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,D&E,,,Frostburg,31/70,2.0,1
12/6/2025,D&E,40/60,0.0,Frostburg,60,2.0,1
12/6/2025,D&E,70,3.0,Frostburg,70,1.0,1
12/6/2025,D&E,,,Frostburg,/61,0.0,1
12/6/2025,D&E,41,2.0,Frostburg,31,3.0,1
12/6/2025,D&E,61,0.0,Frostburg,41,0.0,1
12/6/2025,D&E,31,2.0,Frostburg,11,0.0,1
12/6/2025,D&E,61,2.0,Frostburg,0,0.0,1
12/6/2025,D&E,11/31,3.0,Frostburg,11,0.0,1
12/6/2025,D&E,70,2.0,Frostburg,,,1
12/6/2025,D&E,70,2.0,Frostburg,,,1
12/6/2025,D&E,0,0.0,Frostburg,31,0.0,1
12/6/2025,D&E,31/31,0.0,Frostburg,11,0.0,1
12/6/2025,D&E,70,2.0,Frostburg,31/60,2.0,1
12/6/2025,D&E,60,2.0,Frostburg,70,2.0,1
12/6/2025,D&E,0,0.0,Frostburg,11,2.0,1
12/6/2025,D&E,60,3.0,Frostburg,31,0.0,1
12/6/2025,D&E,41,0.0,Frostburg,31,2.0,1
12/6/2025,D&E,0,0.0,Frostburg,60,3.0,1
12/6/2025,D&E,60,2.0,Frostburg,40,0.0,1
12/6/2025,D&E,40/60,2.0,Frostburg,70,3.0,1
12/6/2025,D&E,0,0.0,Frostburg,11,2.0,1
12/6/2025,D&E,31/60/30/60,2.0,Frostburg,11/60,0.0,1
12/6/2025,D&E,41,0.0,Frostburg,61,2.0,1
12/6/2025,D&E,61/11,0.0,Frostburg,41,3.0,1
12/6/2025,D&E,61,0.0,Frostburg,70,2.0,1
12/6/2025,D&E,70,0.0,Frostburg,41,3.0,1
12/6/2025,D&E,0,0.0,Frostburg,60,2.0,1
12/6/2025,D&E,31/40,2.0,Frostburg,41,0.0,1
12/6/2025,D&E,60,0.0,Frostburg,70,2.0,1
12/6/2025,D&E,70,1.0,Frostburg,61,0.0,1
12/6/2025,D&E,70,2.0,Frostburg,11,2.0,1
12/6/2025,D&E,60,2.0,Frostburg,40,3.0,1
12/6/2025,D&E,0,0.0,Frostburg,31,3.0,1
12/6/2025,D&E,31,2.0,Frostburg,70,1.0,1
12/6/2025,D&E,60,2.0,Frostburg,31/70,0.0,1
12/6/2025,D&E,70,2.0,Frostburg,0,0.0,1
12/6/2025,D&E,11/31,3.0,Frostburg,30,2.0,1
12/6/2025,D&E,60,0.0,Frostburg,70,2.0,1
12/6/2025,D&E,60,2.0,Frostburg,61,2.0,1
12/6/2025,D&E,70,1.0,Frostburg,70,1.0,1
12/6/2025,D&E,60,2.0,Frostburg,11,2.0,1
12/6/2025,D&E,61,3.0,Frostburg,31/31,0.0,1
12/6/2025,D&E,70,2.0,Frostburg,0,0.0,1
12/6/2025,D&E,60,2.0,Frostburg,31,2.0,1
12/6/2025,D&E,,,Frostburg,11/61/61/11/11,0.0,2
12/6/2025,D&E,11/60,2.0,Frostburg,61,2.0,2
12/6/2025,D&E,11/60,2.0,Frostburg,61,0.0,2
12/6/2025,D&E,60,2.0,Frostburg,70,1.0,2
12/6/2025,D&E,0,0.0,Frostburg,31,0.0,2
12/6/2025,D&E,60,2.0,Frostburg,41,3.0,2
12/6/2025,D&E,60,0.0,Frostburg,61,2.0,2
12/6/2025,D&E,31,3.0,Frostburg,0,0.0,2
12/6/2025,D&E,61/31/60,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,41,3.0,Frostburg,0,0.0,2
12/6/2025,D&E,31,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,70,3.0,Frostburg,31,0.0,2
12/6/2025,D&E,61,2.0,Frostburg,41,0.0,2
12/6/2025,D&E,60,3.0,Frostburg,31,0.0,2
12/6/2025,D&E,11,0.0,Frostburg,31,2.0,2
12/6/2025,D&E,70,1.0,Frostburg,70,1.0,2
12/6/2025,D&E,0,0.0,Frostburg,0,0.0,2
12/6/2025,D&E,61,0.0,Frostburg,0,0.0,2
12/6/2025,D&E,70,1.0,Frostburg,,,2
12/6/2025,D&E,61,2.0,Frostburg,41,0.0,2
12/6/2025,D&E,61,0.0,Frostburg,60,2.0,2
12/6/2025,D&E,60,0.0,Frostburg,41,0.0,2
12/6/2025,D&E,70,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,0,0.0,Frostburg,70,2.0,2
12/6/2025,D&E,0,0.0,Frostburg,60,2.0,2
12/6/2025,D&E,30,0.0,Frostburg,0,0.0,2
12/6/2025,D&E,31,0.0,Frostburg,70,2.0,2
12/6/2025,D&E,60,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,70,3.0,Frostburg,41/31,0.0,2
12/6/2025,D&E,41,0.0,Frostburg,70,2.0,2
12/6/2025,D&E,31/61,2.0,Frostburg,70,2.0,2
12/6/2025,D&E,70,0.0,Frostburg,,,2
12/6/2025,D&E,/41,2.0,Frostburg,31,0.0,2
12/6/2025,D&E,70,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,61,2.0,Frostburg,61,2.0,2
12/6/2025,D&E,31,0.0,Frostburg,70,2.0,2
12/6/2025,D&E,61,0.0,Frostburg,70,0.0,2
12/6/2025,D&E,61,2.0,Frostburg,40,0.0,2
12/6/2025,D&E,0,0.0,Frostburg,41/61,2.0,2
12/6/2025,D&E,0,0.0,Frostburg,0,0.0,2
12/6/2025,D&E,0,0.0,Frostburg,70,1.0,2
12/6/2025,D&E,61/31,2.0,Frostburg,60,2.0,2
12/6/2025,D&E,11/0,0.0,Frostburg,30/61,2.0,2
12/6/2025,D&E,60,2.0,Frostburg,0,0.0,2
12/6/2025,D&E,0,0.0,Frostburg,31/60,2.0,2
