Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/7/2026,D&E,,,Glenville,31,0.0,1
1/7/2026,D&E,31,2.0,Glenville,0,0.0,1
1/7/2026,D&E,31,3.0,Glenville,31,0.0,1
1/7/2026,D&E,60,0.0,Glenville,0,0.0,1
1/7/2026,D&E,60,3.0,Glenville,41/60,2.0,1
1/7/2026,D&E,60,0.0,Glenville,70,0.0,1
1/7/2026,D&E,41,3.0,Glenville,0,0.0,1
1/7/2026,D&E,61/41,0.0,Glenville,61,3.0,1
1/7/2026,D&E,31,0.0,Glenville,60,2.0,1
1/7/2026,D&E,40,2.0,Glenville,41,3.0,1
1/7/2026,D&E,11/61,2.0,Glenville,61,3.0,1
1/7/2026,D&E,0,0.0,Glenville,61/61,2.0,1
1/7/2026,D&E,0,0.0,Glenville,31,2.0,1
1/7/2026,D&E,61,0.0,Glenville,31/41,0.0,1
1/7/2026,D&E,41,3.0,Glenville,11,0.0,1
1/7/2026,D&E,41,3.0,Glenville,60/0,0.0,1
1/7/2026,D&E,11,2.0,Glenville,70,2.0,1
1/7/2026,D&E,0,0.0,Glenville,61,2.0,1
1/7/2026,D&E,0,0.0,Glenville,41,3.0,1
1/7/2026,D&E,31,0.0,Glenville,60,2.0,1
1/7/2026,D&E,0,0.0,Glenville,0,0.0,1
1/7/2026,D&E,41,0.0,Glenville,31,0.0,1
1/7/2026,D&E,41,3.0,Glenville,31,2.0,1
1/7/2026,D&E,40,3.0,Glenville,40,0.0,1
1/7/2026,D&E,61,2.0,Glenville,31,0.0,1
1/7/2026,D&E,0,0.0,Glenville,61,0.0,1
1/7/2026,D&E,40,0.0,Glenville,11/31,0.0,1
1/7/2026,D&E,70,1.0,Glenville,41,0.0,1
1/7/2026,D&E,31,0.0,Glenville,0,0.0,1
1/7/2026,D&E,60,0.0,Glenville,41,0.0,1
1/7/2026,D&E,61/0,0.0,Glenville,61,2.0,1
1/7/2026,D&E,31/31,3.0,Glenville,61,3.0,1
1/7/2026,D&E,70,1.0,Glenville,61/61,2.0,1
1/7/2026,D&E,60/60/31,3.0,Glenville,61,2.0,1
1/7/2026,D&E,31/0,0.0,Glenville,41,0.0,1
1/7/2026,D&E,30,3.0,Glenville,31,0.0,1
1/7/2026,D&E,,,Glenville,31,3.0,2
1/7/2026,D&E,31,0.0,Glenville,0,0.0,2
1/7/2026,D&E,60,2.0,Glenville,31/31,0.0,2
1/7/2026,D&E,41,2.0,Glenville,41,0.0,2
1/7/2026,D&E,0,0.0,Glenville,61,2.0,2
1/7/2026,D&E,41,0.0,Glenville,31,2.0,2
1/7/2026,D&E,11,0.0,Glenville,70,3.0,2
1/7/2026,D&E,70,2.0,Glenville,70,3.0,2
1/7/2026,D&E,60,3.0,Glenville,70,2.0,2
1/7/2026,D&E,31/61/0,0.0,Glenville,61/0,0.0,2
1/7/2026,D&E,41,0.0,Glenville,41,0.0,2
1/7/2026,D&E,31,0.0,Glenville,41,3.0,2
1/7/2026,D&E,61,2.0,Glenville,31,0.0,2
1/7/2026,D&E,60,0.0,Glenville,41,2.0,2
1/7/2026,D&E,0,0.0,Glenville,31/61,2.0,2
1/7/2026,D&E,31,0.0,Glenville,31/0,0.0,2
1/7/2026,D&E,60,2.0,Glenville,31,0.0,2
1/7/2026,D&E,31,3.0,Glenville,31,0.0,2
1/7/2026,D&E,31,3.0,Glenville,41/61,2.0,2
1/7/2026,D&E,0,0.0,Glenville,31,3.0,2
1/7/2026,D&E,41,0.0,Glenville,0,0.0,2
1/7/2026,D&E,60,2.0,Glenville,0,0.0,2
1/7/2026,D&E,31,0.0,Glenville,40,3.0,2
1/7/2026,D&E,31,0.0,Glenville,31,3.0,2
1/7/2026,D&E,0,0.0,Glenville,61,0.0,2
1/7/2026,D&E,60,3.0,Glenville,61,2.0,2
1/7/2026,D&E,41,0.0,Glenville,70,2.0,2
1/7/2026,D&E,41/31,0.0,Glenville,31,2.0,2
1/7/2026,D&E,61,2.0,Glenville,11/70,2.0,2
1/7/2026,D&E,70,2.0,Glenville,70,1.0,2
1/7/2026,D&E,0,0.0,Glenville,60,0.0,2
1/7/2026,D&E,70,2.0,Glenville,70,1.0,2
1/7/2026,D&E,70,2.0,Glenville,61,2.0,2
1/7/2026,D&E,11/61,3.0,Glenville,31/11/0,0.0,2
1/7/2026,D&E,110,2.0,Glenville,11,2.0,2
1/7/2026,D&E,0,0.0,Glenville,11,0.0,2
1/7/2026,D&E,31/70,1.0,Glenville,70,2.0,2
1/7/2026,D&E,31,3.0,Glenville,70,2.0,2
1/7/2026,D&E,61,0.0,Glenville,70,2.0,2
1/7/2026,D&E,31,3.0,Glenville,70,1.0,2
1/7/2026,D&E,31,0.0,Glenville,,,2
