Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,D&E,31,0.0,Salem,31/0,0.0,1
12/10/2025,D&E,31/31,2.0,Salem,0,0.0,1
12/10/2025,D&E,61,3.0,Salem,0,0.0,1
12/10/2025,D&E,0,0.0,Salem,0,0.0,1
12/10/2025,D&E,11/31,3.0,Salem,61,0.0,1
12/10/2025,D&E,11,0.0,Salem,0,0.0,1
12/10/2025,D&E,11/31,0.0,Salem,31/61,0.0,1
12/10/2025,D&E,31,0.0,Salem,61,2.0,1
12/10/2025,D&E,60,2.0,Salem,31,0.0,1
12/10/2025,D&E,70,0.0,Salem,,,1
12/10/2025,D&E,/41,3.0,Salem,31,0.0,1
12/10/2025,D&E,0,0.0,Salem,0,0.0,1
12/10/2025,D&E,11,0.0,Salem,70,2.0,1
12/10/2025,D&E,0,0.0,Salem,0,0.0,1
12/10/2025,D&E,70,3.0,Salem,31,0.0,1
12/10/2025,D&E,61,2.0,Salem,30,0.0,1
12/10/2025,D&E,11,0.0,Salem,0,0.0,1
12/10/2025,D&E,61,2.0,Salem,70,2.0,1
12/10/2025,D&E,0,0.0,Salem,61,0.0,1
12/10/2025,D&E,31,0.0,Salem,0,0.0,1
12/10/2025,D&E,61/0,0.0,Salem,61/70,2.0,1
12/10/2025,D&E,41,0.0,Salem,11,0.0,1
12/10/2025,D&E,70,1.0,Salem,0,0.0,1
12/10/2025,D&E,110,4.0,Salem,0,0.0,1
12/10/2025,D&E,60,2.0,Salem,0,0.0,1
12/10/2025,D&E,70,2.0,Salem,31,0.0,1
12/10/2025,D&E,31,0.0,Salem,0,0.0,1
12/10/2025,D&E,31,0.0,Salem,41,0.0,1
12/10/2025,D&E,11,0.0,Salem,41,3.0,1
12/10/2025,D&E,41,0.0,Salem,41,0.0,1
12/10/2025,D&E,31,0.0,Salem,70,1.0,1
12/10/2025,D&E,41,3.0,Salem,41,0.0,1
12/10/2025,D&E,0,0.0,Salem,11/11/61/11/61,2.0,1
12/10/2025,D&E,0,0.0,Salem,61,0.0,1
12/10/2025,D&E,0,0.0,Salem,41,0.0,1
12/10/2025,D&E,0,0.0,Salem,11/11,0.0,1
12/10/2025,D&E,41,0.0,Salem,0,0.0,1
12/10/2025,D&E,31,2.0,Salem,31,0.0,1
12/10/2025,D&E,41,3.0,Salem,41/31,3.0,1
12/10/2025,D&E,41,0.0,Salem,40,0.0,1
12/10/2025,D&E,11,0.0,Salem,0,0.0,1
12/10/2025,D&E,31,0.0,Salem,,,1
12/10/2025,D&E,,,Salem,0,0.0,2
12/10/2025,D&E,11/11/61/31,2.0,Salem,61,2.0,2
12/10/2025,D&E,11/0,0.0,Salem,11,0.0,2
12/10/2025,D&E,61,2.0,Salem,60,2.0,2
12/10/2025,D&E,60,0.0,Salem,60,2.0,2
12/10/2025,D&E,11,0.0,Salem,61,2.0,2
12/10/2025,D&E,31,0.0,Salem,60,2.0,2
12/10/2025,D&E,11,0.0,Salem,31/31,2.0,2
12/10/2025,D&E,31/60,3.0,Salem,61,2.0,2
12/10/2025,D&E,61,3.0,Salem,31/41,3.0,2
12/10/2025,D&E,41,0.0,Salem,61,2.0,2
12/10/2025,D&E,31/70,2.0,Salem,60,2.0,2
12/10/2025,D&E,60,3.0,Salem,0,0.0,2
12/10/2025,D&E,0,0.0,Salem,61,0.0,2
12/10/2025,D&E,31,2.0,Salem,0,0.0,2
12/10/2025,D&E,0,0.0,Salem,31,0.0,2
12/10/2025,D&E,61,0.0,Salem,61,2.0,2
12/10/2025,D&E,41/60,2.0,Salem,61,2.0,2
12/10/2025,D&E,31,2.0,Salem,0,0.0,2
12/10/2025,D&E,0,0.0,Salem,61,0.0,2
12/10/2025,D&E,61,0.0,Salem,41,0.0,2
12/10/2025,D&E,61,0.0,Salem,11/31,0.0,2
12/10/2025,D&E,70,1.0,Salem,0,0.0,2
12/10/2025,D&E,61,0.0,Salem,0,0.0,2
12/10/2025,D&E,70,2.0,Salem,0,0.0,2
12/10/2025,D&E,41,3.0,Salem,0,0.0,2
12/10/2025,D&E,60,2.0,Salem,60,3.0,2
12/10/2025,D&E,0,0.0,Salem,31,3.0,2
12/10/2025,D&E,60,2.0,Salem,31,2.0,2
12/10/2025,D&E,0,0.0,Salem,31/70,2.0,2
12/10/2025,D&E,70,2.0,Salem,0,0.0,2
12/10/2025,D&E,11,0.0,Salem,30,0.0,2
12/10/2025,D&E,60,2.0,Salem,70,1.0,2
12/10/2025,D&E,31/60/0,0.0,Salem,61,0.0,2
12/10/2025,D&E,61,0.0,Salem,70,2.0,2
12/10/2025,D&E,61,2.0,Salem,31/70,0.0,2
12/10/2025,D&E,0,0.0,Salem,31,3.0,2
