Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/18/2026,D&E,11,0.0,WVSU,11,0.0,1
2/18/2026,D&E,41,3.0,WVSU,31/60,0.0,1
2/18/2026,D&E,0,0.0,WVSU,31,0.0,1
2/18/2026,D&E,0,0.0,WVSU,70,2.0,1
2/18/2026,D&E,41,3.0,WVSU,31,0.0,1
2/18/2026,D&E,60,0.0,WVSU,0,0.0,1
2/18/2026,D&E,60,2.0,WVSU,31,3.0,1
2/18/2026,D&E,41,0.0,WVSU,31,0.0,1
2/18/2026,D&E,0,0.0,WVSU,61,2.0,1
2/18/2026,D&E,31,0.0,WVSU,40,0.0,1
2/18/2026,D&E,70,2.0,WVSU,110,3.0,1
2/18/2026,D&E,31,0.0,WVSU,11,0.0,1
2/18/2026,D&E,40/41,0.0,WVSU,31,0.0,1
2/18/2026,D&E,0,0.0,WVSU,31,0.0,1
2/18/2026,D&E,31,0.0,WVSU,11,0.0,1
2/18/2026,D&E,70,2.0,WVSU,40,3.0,1
2/18/2026,D&E,60,2.0,WVSU,11/61/31,0.0,1
2/18/2026,D&E,61,2.0,WVSU,0,0.0,1
2/18/2026,D&E,41/70,3.0,WVSU,70,2.0,1
2/18/2026,D&E,11/61,2.0,WVSU,31,0.0,1
2/18/2026,D&E,61,2.0,WVSU,70,2.0,1
2/18/2026,D&E,11,0.0,WVSU,11,0.0,1
2/18/2026,D&E,61,0.0,WVSU,41,0.0,1
2/18/2026,D&E,31,3.0,WVSU,41/60,2.0,1
2/18/2026,D&E,0,0.0,WVSU,11,0.0,1
2/18/2026,D&E,70,1.0,WVSU,31,0.0,1
2/18/2026,D&E,61,0.0,WVSU,41,3.0,1
2/18/2026,D&E,31/60,2.0,WVSU,60,2.0,1
2/18/2026,D&E,40,0.0,WVSU,0,0.0,1
2/18/2026,D&E,70,2.0,WVSU,60/31,0.0,1
2/18/2026,D&E,60,0.0,WVSU,41,3.0,1
2/18/2026,D&E,41,0.0,WVSU,61,0.0,1
2/18/2026,D&E,0,0.0,WVSU,60,2.0,1
2/18/2026,D&E,41,3.0,WVSU,31,0.0,1
2/18/2026,D&E,60,2.0,WVSU,70,3.0,1
2/18/2026,D&E,11,2.0,WVSU,41,2.0,1
2/18/2026,D&E,61,0.0,WVSU,0,0.0,1
2/18/2026,D&E,31,0.0,WVSU,0,0.0,1
2/18/2026,D&E,70,2.0,WVSU,60,2.0,1
2/18/2026,D&E,40,0.0,WVSU,31,0.0,1
2/18/2026,D&E,41,0.0,WVSU,0,0.0,2
2/18/2026,D&E,31,0.0,WVSU,31,2.0,2
2/18/2026,D&E,11/60,2.0,WVSU,31,0.0,2
2/18/2026,D&E,31,0.0,WVSU,40,0.0,2
2/18/2026,D&E,31,0.0,WVSU,31,2.0,2
2/18/2026,D&E,31,2.0,WVSU,31/41,3.0,2
2/18/2026,D&E,0,0.0,WVSU,11,0.0,2
2/18/2026,D&E,41/31/11,0.0,WVSU,31/31,0.0,2
2/18/2026,D&E,70,3.0,WVSU,41,0.0,2
2/18/2026,D&E,31/41,3.0,WVSU,0,0.0,2
2/18/2026,D&E,40,0.0,WVSU,70,1.0,2
2/18/2026,D&E,41,3.0,WVSU,11/61,2.0,2
2/18/2026,D&E,61,2.0,WVSU,11/61,2.0,2
2/18/2026,D&E,61/61,2.0,WVSU,11,0.0,2
2/18/2026,D&E,60,0.0,WVSU,0,0.0,2
2/18/2026,D&E,41/61,2.0,WVSU,60,2.0,2
2/18/2026,D&E,41,3.0,WVSU,61,2.0,2
2/18/2026,D&E,60,2.0,WVSU,41,3.0,2
2/18/2026,D&E,30,2.0,WVSU,31,0.0,2
2/18/2026,D&E,61,0.0,WVSU,31,0.0,2
2/18/2026,D&E,41,3.0,WVSU,61,2.0,2
2/18/2026,D&E,0,0.0,WVSU,0,0.0,2
2/18/2026,D&E,31,0.0,WVSU,61,3.0,2
2/18/2026,D&E,70,1.0,WVSU,70,1.0,2
2/18/2026,D&E,41,3.0,WVSU,31/11,2.0,2
2/18/2026,D&E,41,3.0,WVSU,61,2.0,2
2/18/2026,D&E,61,2.0,WVSU,41,0.0,2
2/18/2026,D&E,70,1.0,WVSU,31,0.0,2
2/18/2026,D&E,31,0.0,WVSU,31,0.0,2
2/18/2026,D&E,70,2.0,WVSU,61,0.0,2
2/18/2026,D&E,70,1.0,WVSU,,,2
2/18/2026,D&E,/60,3.0,WVSU,41/41,2.0,2
2/18/2026,D&E,30,3.0,WVSU,31,0.0,2
2/18/2026,D&E,0,0.0,WVSU,60/60,2.0,2
2/18/2026,D&E,31,0.0,WVSU,70,1.0,2
2/18/2026,D&E,0,0.0,WVSU,,,2
