Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/28/2026,D&E,,,Wesleyan,41,0.0,1
2/28/2026,D&E,0,0.0,Wesleyan,30,0.0,1
2/28/2026,D&E,0,0.0,Wesleyan,40,0.0,1
2/28/2026,D&E,70,1.0,Wesleyan,41/40,0.0,1
2/28/2026,D&E,61,3.0,Wesleyan,60,3.0,1
2/28/2026,D&E,31,0.0,Wesleyan,31,0.0,1
2/28/2026,D&E,41,3.0,Wesleyan,61,2.0,1
2/28/2026,D&E,31,0.0,Wesleyan,31,0.0,1
2/28/2026,D&E,70,2.0,Wesleyan,61,3.0,1
2/28/2026,D&E,31,3.0,Wesleyan,41,3.0,1
2/28/2026,D&E,31,0.0,Wesleyan,0,0.0,1
2/28/2026,D&E,70,2.0,Wesleyan,31,0.0,1
2/28/2026,D&E,11,0.0,Wesleyan,0,0.0,1
2/28/2026,D&E,70,1.0,Wesleyan,40,3.0,1
2/28/2026,D&E,60,0.0,Wesleyan,60,2.0,1
2/28/2026,D&E,61,0.0,Wesleyan,41,3.0,1
2/28/2026,D&E,0,0.0,Wesleyan,40,0.0,1
2/28/2026,D&E,60,2.0,Wesleyan,41,3.0,1
2/28/2026,D&E,70,2.0,Wesleyan,0,0.0,1
2/28/2026,D&E,31/61,2.0,Wesleyan,31,3.0,1
2/28/2026,D&E,31,3.0,Wesleyan,30,2.0,1
2/28/2026,D&E,60,2.0,Wesleyan,31,0.0,1
2/28/2026,D&E,31,3.0,Wesleyan,61/41,0.0,1
2/28/2026,D&E,31,2.0,Wesleyan,31,0.0,1
2/28/2026,D&E,0,0.0,Wesleyan,70,2.0,1
2/28/2026,D&E,0,0.0,Wesleyan,70,3.0,1
2/28/2026,D&E,60,2.0,Wesleyan,60,2.0,1
2/28/2026,D&E,30,2.0,Wesleyan,31,0.0,1
2/28/2026,D&E,60,2.0,Wesleyan,41,3.0,1
2/28/2026,D&E,31,0.0,Wesleyan,11,0.0,1
2/28/2026,D&E,61,0.0,Wesleyan,41,3.0,1
2/28/2026,D&E,60,2.0,Wesleyan,0,0.0,1
2/28/2026,D&E,60,2.0,Wesleyan,61,0.0,1
2/28/2026,D&E,60,3.0,Wesleyan,40,3.0,1
2/28/2026,D&E,11,0.0,Wesleyan,30,0.0,1
2/28/2026,D&E,60,2.0,Wesleyan,31,0.0,1
2/28/2026,D&E,60,2.0,Wesleyan,30,3.0,1
2/28/2026,D&E,70,1.0,Wesleyan,41,3.0,1
2/28/2026,D&E,31,0.0,Wesleyan,31,0.0,1
2/28/2026,D&E,61,0.0,Wesleyan,,,1
2/28/2026,D&E,60,3.0,Wesleyan,0,0.0,2
2/28/2026,D&E,41,0.0,Wesleyan,41/61,0.0,2
2/28/2026,D&E,61,3.0,Wesleyan,60,2.0,2
2/28/2026,D&E,31,2.0,Wesleyan,41,0.0,2
2/28/2026,D&E,41,0.0,Wesleyan,41,0.0,2
2/28/2026,D&E,40,3.0,Wesleyan,31,0.0,2
2/28/2026,D&E,41/11,2.0,Wesleyan,40,3.0,2
2/28/2026,D&E,61/60,2.0,Wesleyan,31,0.0,2
2/28/2026,D&E,0,0.0,Wesleyan,70,3.0,2
2/28/2026,D&E,70,3.0,Wesleyan,0,0.0,2
2/28/2026,D&E,61,2.0,Wesleyan,41,2.0,2
2/28/2026,D&E,70,1.0,Wesleyan,60,0.0,2
2/28/2026,D&E,41,3.0,Wesleyan,0,0.0,2
2/28/2026,D&E,60,2.0,Wesleyan,31,0.0,2
2/28/2026,D&E,41,0.0,Wesleyan,30,2.0,2
2/28/2026,D&E,31,0.0,Wesleyan,70,1.0,2
2/28/2026,D&E,31/61,2.0,Wesleyan,41,3.0,2
2/28/2026,D&E,0,0.0,Wesleyan,31,3.0,2
2/28/2026,D&E,61,2.0,Wesleyan,31,3.0,2
2/28/2026,D&E,31,3.0,Wesleyan,40,3.0,2
2/28/2026,D&E,41,0.0,Wesleyan,31,0.0,2
2/28/2026,D&E,0,0.0,Wesleyan,70,2.0,2
2/28/2026,D&E,11,0.0,Wesleyan,70,2.0,2
2/28/2026,D&E,31/61,0.0,Wesleyan,31/61,2.0,2
2/28/2026,D&E,41,0.0,Wesleyan,0,0.0,2
2/28/2026,D&E,70,2.0,Wesleyan,61,2.0,2
2/28/2026,D&E,41,3.0,Wesleyan,31,0.0,2
2/28/2026,D&E,31,2.0,Wesleyan,11,0.0,2
2/28/2026,D&E,31/60,3.0,Wesleyan,40,2.0,2
2/28/2026,D&E,61,2.0,Wesleyan,40,0.0,2
2/28/2026,D&E,31,3.0,Wesleyan,41,0.0,2
2/28/2026,D&E,61/60,2.0,Wesleyan,31,0.0,2
2/28/2026,D&E,60,2.0,Wesleyan,41/70,2.0,2
2/28/2026,D&E,60,2.0,Wesleyan,61,2.0,2
2/28/2026,D&E,60,2.0,Wesleyan,31,0.0,2
2/28/2026,D&E,40,0.0,Wesleyan,60,2.0,2
2/28/2026,D&E,31,0.0,Wesleyan,,,2
