Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/3/2026,D&E,,,West Liberty,0,0.0,1
1/3/2026,D&E,11,0.0,West Liberty,41/60,0.0,1
1/3/2026,D&E,60,3.0,West Liberty,60,2.0,1
1/3/2026,D&E,70,2.0,West Liberty,61,2.0,1
1/3/2026,D&E,60,3.0,West Liberty,31,0.0,1
1/3/2026,D&E,0,0.0,West Liberty,61,2.0,1
1/3/2026,D&E,60,3.0,West Liberty,31/41,0.0,1
1/3/2026,D&E,60,2.0,West Liberty,0,0.0,1
1/3/2026,D&E,41,3.0,West Liberty,61,2.0,1
1/3/2026,D&E,61/70,2.0,West Liberty,0,0.0,1
1/3/2026,D&E,41,0.0,West Liberty,61,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,60,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,70,0.0,1
1/3/2026,D&E,0,0.0,West Liberty,40,0.0,1
1/3/2026,D&E,31,2.0,West Liberty,61,2.0,1
1/3/2026,D&E,11/31,0.0,West Liberty,40,2.0,1
1/3/2026,D&E,41,3.0,West Liberty,41,3.0,1
1/3/2026,D&E,70,2.0,West Liberty,31/60,3.0,1
1/3/2026,D&E,0,0.0,West Liberty,60,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,60,2.0,1
1/3/2026,D&E,41,0.0,West Liberty,31,0.0,1
1/3/2026,D&E,70,3.0,West Liberty,61,2.0,1
1/3/2026,D&E,31/61,2.0,West Liberty,70,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,0,0.0,1
1/3/2026,D&E,31,2.0,West Liberty,61,2.0,1
1/3/2026,D&E,11/11,0.0,West Liberty,70,1.0,1
1/3/2026,D&E,60,0.0,West Liberty,61,0.0,1
1/3/2026,D&E,41,0.0,West Liberty,31,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,60,2.0,1
1/3/2026,D&E,70,3.0,West Liberty,0,0.0,1
1/3/2026,D&E,70,1.0,West Liberty,70,2.0,1
1/3/2026,D&E,61,2.0,West Liberty,60,2.0,1
1/3/2026,D&E,60/31,2.0,West Liberty,70,2.0,1
1/3/2026,D&E,0,0.0,West Liberty,11/60/30,0.0,1
1/3/2026,D&E,11/70,1.0,West Liberty,31/40/41,0.0,1
1/3/2026,D&E,11,2.0,West Liberty,70,2.0,1
1/3/2026,D&E,61,0.0,West Liberty,40,3.0,1
1/3/2026,D&E,70,3.0,West Liberty,41,3.0,1
1/3/2026,D&E,60,0.0,West Liberty,60/61,0.0,1
1/3/2026,D&E,60,0.0,West Liberty,41,3.0,1
1/3/2026,D&E,31/41,2.0,West Liberty,0,0.0,1
1/3/2026,D&E,0,0.0,West Liberty,31,3.0,1
1/3/2026,D&E,31/31,2.0,West Liberty,41,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,61,2.0,2
1/3/2026,D&E,31,0.0,West Liberty,0,0.0,2
1/3/2026,D&E,11,0.0,West Liberty,0,0.0,2
1/3/2026,D&E,11,0.0,West Liberty,0,0.0,2
1/3/2026,D&E,61/31,0.0,West Liberty,70,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,60,0.0,2
1/3/2026,D&E,60,0.0,West Liberty,70,2.0,2
1/3/2026,D&E,61,3.0,West Liberty,31/41/60,2.0,2
1/3/2026,D&E,61,2.0,West Liberty,61,2.0,2
1/3/2026,D&E,31,0.0,West Liberty,70,2.0,2
1/3/2026,D&E,60,2.0,West Liberty,60,2.0,2
1/3/2026,D&E,70,3.0,West Liberty,61,2.0,2
1/3/2026,D&E,11/11,2.0,West Liberty,31,2.0,2
1/3/2026,D&E,61,2.0,West Liberty,41,3.0,2
1/3/2026,D&E,70,1.0,West Liberty,0,0.0,2
1/3/2026,D&E,60,2.0,West Liberty,61,0.0,2
1/3/2026,D&E,60,2.0,West Liberty,70,2.0,2
1/3/2026,D&E,41,3.0,West Liberty,0,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,11,0.0,2
1/3/2026,D&E,70,0.0,West Liberty,11,2.0,2
1/3/2026,D&E,61,2.0,West Liberty,11,0.0,2
1/3/2026,D&E,60/60,2.0,West Liberty,41,3.0,2
1/3/2026,D&E,70,1.0,West Liberty,70,0.0,2
1/3/2026,D&E,61,0.0,West Liberty,70,2.0,2
1/3/2026,D&E,60,2.0,West Liberty,61,2.0,2
1/3/2026,D&E,31,2.0,West Liberty,61,0.0,2
1/3/2026,D&E,11,0.0,West Liberty,61,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,70,1.0,2
1/3/2026,D&E,70,2.0,West Liberty,61,2.0,2
1/3/2026,D&E,70,2.0,West Liberty,0,0.0,2
1/3/2026,D&E,11,0.0,West Liberty,70,1.0,2
1/3/2026,D&E,61,2.0,West Liberty,11,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,11,0.0,2
1/3/2026,D&E,31,0.0,West Liberty,0,0.0,2
1/3/2026,D&E,0,0.0,West Liberty,61,2.0,2
1/3/2026,D&E,41,0.0,West Liberty,11,2.0,2
1/3/2026,D&E,41,0.0,West Liberty,70,2.0,2
1/3/2026,D&E,61,0.0,West Liberty,31,0.0,2
1/3/2026,D&E,70,3.0,West Liberty,0,0.0,2
1/3/2026,D&E,70,3.0,West Liberty,70,1.0,2
1/3/2026,D&E,60,2.0,West Liberty,70,2.0,2
1/3/2026,D&E,61,2.0,West Liberty,70,1.0,2
1/3/2026,D&E,31,0.0,West Liberty,0,0.0,2
1/3/2026,D&E,60,0.0,West Liberty,,,2
