Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/7/2026,D&E,,,Wheeling,0,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,11,0.0,1
2/7/2026,D&E,61,2.0,Wheeling,0,0.0,1
2/7/2026,D&E,61,2.0,Wheeling,40,3.0,1
2/7/2026,D&E,41,0.0,Wheeling,31,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,70,3.0,1
2/7/2026,D&E,31,0.0,Wheeling,0,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,31,2.0,1
2/7/2026,D&E,41,0.0,Wheeling,41,0.0,1
2/7/2026,D&E,11,0.0,Wheeling,31,0.0,1
2/7/2026,D&E,61,2.0,Wheeling,0,0.0,1
2/7/2026,D&E,31,2.0,Wheeling,0,0.0,1
2/7/2026,D&E,31/11,0.0,Wheeling,60,0.0,1
2/7/2026,D&E,60,0.0,Wheeling,41,2.0,1
2/7/2026,D&E,31,2.0,Wheeling,31,0.0,1
2/7/2026,D&E,11/70,1.0,Wheeling,0,0.0,1
2/7/2026,D&E,31,3.0,Wheeling,60,2.0,1
2/7/2026,D&E,61,2.0,Wheeling,31/31/41,0.0,1
2/7/2026,D&E,60,2.0,Wheeling,60/11,2.0,1
2/7/2026,D&E,70,0.0,Wheeling,11/60,2.0,1
2/7/2026,D&E,61,2.0,Wheeling,31/31,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,41,0.0,1
2/7/2026,D&E,61,2.0,Wheeling,41,0.0,1
2/7/2026,D&E,41/60,3.0,Wheeling,0,0.0,1
2/7/2026,D&E,60,2.0,Wheeling,41/61,0.0,1
2/7/2026,D&E,31,3.0,Wheeling,41,2.0,1
2/7/2026,D&E,41,0.0,Wheeling,0,0.0,1
2/7/2026,D&E,70,3.0,Wheeling,60,2.0,1
2/7/2026,D&E,60,2.0,Wheeling,40,3.0,1
2/7/2026,D&E,31,0.0,Wheeling,41,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,61,2.0,1
2/7/2026,D&E,41,2.0,Wheeling,60,2.0,1
2/7/2026,D&E,0,0.0,Wheeling,40,3.0,1
2/7/2026,D&E,31,0.0,Wheeling,70,2.0,1
2/7/2026,D&E,0,0.0,Wheeling,60,2.0,1
2/7/2026,D&E,40,0.0,Wheeling,11,0.0,1
2/7/2026,D&E,0,0.0,Wheeling,40,0.0,1
2/7/2026,D&E,10,3.0,Wheeling,,,1
2/7/2026,D&E,0,0.0,Wheeling,41/60,2.0,2
2/7/2026,D&E,0,0.0,Wheeling,60/30,2.0,2
2/7/2026,D&E,31,0.0,Wheeling,70,2.0,2
2/7/2026,D&E,0,0.0,Wheeling,60,2.0,2
2/7/2026,D&E,0,0.0,Wheeling,60,2.0,2
2/7/2026,D&E,60,2.0,Wheeling,11,2.0,2
2/7/2026,D&E,70,1.0,Wheeling,61,2.0,2
2/7/2026,D&E,60,2.0,Wheeling,31/61,0.0,2
2/7/2026,D&E,60,2.0,Wheeling,70,2.0,2
2/7/2026,D&E,60/60,2.0,Wheeling,41/11,0.0,2
2/7/2026,D&E,41,0.0,Wheeling,31,3.0,2
2/7/2026,D&E,61,2.0,Wheeling,60,2.0,2
2/7/2026,D&E,41/31,0.0,Wheeling,31,0.0,2
2/7/2026,D&E,41/41,2.0,Wheeling,41,0.0,2
2/7/2026,D&E,60,2.0,Wheeling,31,0.0,2
2/7/2026,D&E,70,2.0,Wheeling,41,3.0,2
2/7/2026,D&E,41,0.0,Wheeling,31,2.0,2
2/7/2026,D&E,70,2.0,Wheeling,41,2.0,2
2/7/2026,D&E,0,0.0,Wheeling,60,3.0,2
2/7/2026,D&E,41,0.0,Wheeling,0,0.0,2
2/7/2026,D&E,41,0.0,Wheeling,30,0.0,2
2/7/2026,D&E,61,2.0,Wheeling,110,3.0,2
2/7/2026,D&E,61,0.0,Wheeling,11/0,0.0,2
2/7/2026,D&E,31/11,0.0,Wheeling,60,2.0,2
2/7/2026,D&E,31,0.0,Wheeling,0,0.0,2
2/7/2026,D&E,11,0.0,Wheeling,70,1.0,2
2/7/2026,D&E,70,0.0,Wheeling,,,2
2/7/2026,D&E,/60/61,2.0,Wheeling,30,3.0,2
2/7/2026,D&E,41/11/61,3.0,Wheeling,61,0.0,2
2/7/2026,D&E,41,0.0,Wheeling,70,2.0,2
2/7/2026,D&E,30,0.0,Wheeling,41/70,1.0,2
2/7/2026,D&E,70,1.0,Wheeling,31/11,0.0,2
2/7/2026,D&E,31/70,1.0,Wheeling,41,3.0,2
2/7/2026,D&E,61,2.0,Wheeling,60,3.0,2
2/7/2026,D&E,61,2.0,Wheeling,41,0.0,2
2/7/2026,D&E,60,2.0,Wheeling,70,0.0,2
2/7/2026,D&E,70,0.0,Wheeling,,,2
