Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
3/7/2026,Fairmont,31,0.0,Concord,41,3.0,1
3/7/2026,Fairmont,0,0.0,Concord,30,0.0,1
3/7/2026,Fairmont,31/11/60,2.0,Concord,41,3.0,1
3/7/2026,Fairmont,0,0.0,Concord,11,0.0,1
3/7/2026,Fairmont,70,1.0,Concord,70,2.0,1
3/7/2026,Fairmont,0,0.0,Concord,41/31,2.0,1
3/7/2026,Fairmont,41,3.0,Concord,31/60,2.0,1
3/7/2026,Fairmont,0,0.0,Concord,60/11/61/11,0.0,1
3/7/2026,Fairmont,61,2.0,Concord,70,2.0,1
3/7/2026,Fairmont,11,0.0,Concord,40,0.0,1
3/7/2026,Fairmont,11/61,2.0,Concord,40,0.0,1
3/7/2026,Fairmont,31/31,0.0,Concord,31,0.0,1
3/7/2026,Fairmont,70,1.0,Concord,,,1
3/7/2026,Fairmont,/60,2.0,Concord,0,0.0,1
3/7/2026,Fairmont,70,2.0,Concord,,,1
3/7/2026,Fairmont,41,3.0,Concord,41,0.0,1
3/7/2026,Fairmont,41/61,2.0,Concord,31,2.0,1
3/7/2026,Fairmont,70,1.0,Concord,60,0.0,1
3/7/2026,Fairmont,0,0.0,Concord,70,1.0,1
3/7/2026,Fairmont,0,0.0,Concord,31,0.0,1
3/7/2026,Fairmont,41/11,0.0,Concord,60,0.0,1
3/7/2026,Fairmont,61,2.0,Concord,41,0.0,1
3/7/2026,Fairmont,41/61/60,2.0,Concord,31/60,0.0,1
3/7/2026,Fairmont,61,2.0,Concord,11,0.0,1
3/7/2026,Fairmont,60,2.0,Concord,11/60,2.0,1
3/7/2026,Fairmont,30,3.0,Concord,70,2.0,1
3/7/2026,Fairmont,41,3.0,Concord,31,2.0,1
3/7/2026,Fairmont,70,2.0,Concord,0,0.0,1
3/7/2026,Fairmont,41,3.0,Concord,70,0.0,1
3/7/2026,Fairmont,0,0.0,Concord,41,0.0,1
3/7/2026,Fairmont,31,0.0,Concord,31,2.0,1
3/7/2026,Fairmont,41,0.0,Concord,11/11/61,2.0,1
3/7/2026,Fairmont,41/30,0.0,Concord,,,1
3/7/2026,Fairmont,,,Concord,60,3.0,2
3/7/2026,Fairmont,11,2.0,Concord,40,2.0,2
3/7/2026,Fairmont,40,3.0,Concord,11/41,3.0,2
3/7/2026,Fairmont,31,2.0,Concord,41,3.0,2
3/7/2026,Fairmont,0,0.0,Concord,31,0.0,2
3/7/2026,Fairmont,41,0.0,Concord,31,2.0,2
3/7/2026,Fairmont,31/41/11,0.0,Concord,41,0.0,2
3/7/2026,Fairmont,31,0.0,Concord,11/11,0.0,2
3/7/2026,Fairmont,70,2.0,Concord,11,2.0,2
3/7/2026,Fairmont,41,2.0,Concord,31,2.0,2
3/7/2026,Fairmont,60,2.0,Concord,0,0.0,2
3/7/2026,Fairmont,41,3.0,Concord,31,0.0,2
3/7/2026,Fairmont,60,0.0,Concord,70,1.0,2
3/7/2026,Fairmont,61,2.0,Concord,40,3.0,2
3/7/2026,Fairmont,31,3.0,Concord,61,2.0,2
3/7/2026,Fairmont,41/40,3.0,Concord,61,0.0,2
3/7/2026,Fairmont,40,0.0,Concord,70,2.0,2
3/7/2026,Fairmont,0,0.0,Concord,11/41,0.0,2
3/7/2026,Fairmont,70,2.0,Concord,70,3.0,2
3/7/2026,Fairmont,31,0.0,Concord,31,2.0,2
3/7/2026,Fairmont,41,3.0,Concord,60,0.0,2
3/7/2026,Fairmont,41,0.0,Concord,70,2.0,2
3/7/2026,Fairmont,,,Concord,70,1.0,2
3/7/2026,Fairmont,40,3.0,Concord,0,0.0,2
3/7/2026,Fairmont,70,0.0,Concord,60,0.0,2
3/7/2026,Fairmont,70,2.0,Concord,,,2
3/7/2026,Fairmont,70,0.0,Concord,61,2.0,2
3/7/2026,Fairmont,70,2.0,Concord,41,3.0,2
3/7/2026,Fairmont,41,3.0,Concord,11,2.0,2
3/7/2026,Fairmont,60,2.0,Concord,41,3.0,2
3/7/2026,Fairmont,11,2.0,Concord,31,0.0,2
3/7/2026,Fairmont,41,2.0,Concord,70,2.0,2
3/7/2026,Fairmont,70,2.0,Concord,41,0.0,2
3/7/2026,Fairmont,70,2.0,Concord,61,0.0,2
3/7/2026,Fairmont,70,1.0,Concord,61,2.0,2
3/7/2026,Fairmont,70,1.0,Concord,60,0.0,2
3/7/2026,Fairmont,0,0.0,Concord,,,2
