Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,Fairmont,31,0.0,D&E,0,0.0,1
1/21/2026,Fairmont,41,3.0,D&E,31,0.0,1
1/21/2026,Fairmont,61/60,2.0,D&E,60,3.0,1
1/21/2026,Fairmont,41,3.0,D&E,41,0.0,1
1/21/2026,Fairmont,41,0.0,D&E,0,0.0,1
1/21/2026,Fairmont,11,2.0,D&E,31,0.0,1
1/21/2026,Fairmont,41,3.0,D&E,41/41,3.0,1
1/21/2026,Fairmont,31,0.0,D&E,11/31,3.0,1
1/21/2026,Fairmont,61,2.0,D&E,61,2.0,1
1/21/2026,Fairmont,40,3.0,D&E,31/11,0.0,1
1/21/2026,Fairmont,0,0.0,D&E,41,3.0,1
1/21/2026,Fairmont,41,2.0,D&E,40,0.0,1
1/21/2026,Fairmont,31,3.0,D&E,41,0.0,1
1/21/2026,Fairmont,70,1.0,D&E,31,0.0,1
1/21/2026,Fairmont,41,3.0,D&E,31/60,2.0,1
1/21/2026,Fairmont,60,0.0,D&E,0,0.0,1
1/21/2026,Fairmont,41,0.0,D&E,31,0.0,1
1/21/2026,Fairmont,31/41,0.0,D&E,11,0.0,1
1/21/2026,Fairmont,31,0.0,D&E,61,2.0,1
1/21/2026,Fairmont,41/60/31,2.0,D&E,60,2.0,1
1/21/2026,Fairmont,31,0.0,D&E,0,0.0,1
1/21/2026,Fairmont,11,0.0,D&E,0,0.0,1
1/21/2026,Fairmont,70,2.0,D&E,40,3.0,1
1/21/2026,Fairmont,61,2.0,D&E,31,2.0,1
1/21/2026,Fairmont,30/60,2.0,D&E,41,3.0,1
1/21/2026,Fairmont,31,0.0,D&E,11/61/41,3.0,1
1/21/2026,Fairmont,61,2.0,D&E,31/40,3.0,1
1/21/2026,Fairmont,61,0.0,D&E,31,0.0,1
1/21/2026,Fairmont,31,0.0,D&E,41,0.0,1
1/21/2026,Fairmont,0,0.0,D&E,30,0.0,1
1/21/2026,Fairmont,41/31,0.0,D&E,41,3.0,1
1/21/2026,Fairmont,61/61,2.0,D&E,41,0.0,1
1/21/2026,Fairmont,70,3.0,D&E,31/70,2.0,1
1/21/2026,Fairmont,61,2.0,D&E,0,0.0,1
1/21/2026,Fairmont,11/70,0.0,D&E,11,0.0,1
1/21/2026,Fairmont,,,D&E,31,0.0,2
1/21/2026,Fairmont,11/41,0.0,D&E,41,0.0,2
1/21/2026,Fairmont,0,0.0,D&E,31,0.0,2
1/21/2026,Fairmont,41,2.0,D&E,0,0.0,2
1/21/2026,Fairmont,61,0.0,D&E,60,2.0,2
1/21/2026,Fairmont,41/31,2.0,D&E,0,0.0,2
1/21/2026,Fairmont,31,3.0,D&E,41,0.0,2
1/21/2026,Fairmont,0,0.0,D&E,31,2.0,2
1/21/2026,Fairmont,40/11,0.0,D&E,11,2.0,2
1/21/2026,Fairmont,41,3.0,D&E,41,3.0,2
1/21/2026,Fairmont,41/11,2.0,D&E,60,3.0,2
1/21/2026,Fairmont,0,0.0,D&E,11,0.0,2
1/21/2026,Fairmont,70,2.0,D&E,70,2.0,2
1/21/2026,Fairmont,41,0.0,D&E,41,3.0,2
1/21/2026,Fairmont,0,0.0,D&E,31,3.0,2
1/21/2026,Fairmont,61,2.0,D&E,60,2.0,2
1/21/2026,Fairmont,41,3.0,D&E,31,2.0,2
1/21/2026,Fairmont,40/110,4.0,D&E,0,0.0,2
1/21/2026,Fairmont,0,0.0,D&E,60,2.0,2
1/21/2026,Fairmont,41,3.0,D&E,41,0.0,2
1/21/2026,Fairmont,60,2.0,D&E,11,0.0,2
1/21/2026,Fairmont,11/11/70,3.0,D&E,41,0.0,2
1/21/2026,Fairmont,31/61,2.0,D&E,31/70,3.0,2
1/21/2026,Fairmont,31/60,0.0,D&E,31/31,0.0,2
1/21/2026,Fairmont,61,2.0,D&E,40/11,0.0,2
1/21/2026,Fairmont,70,2.0,D&E,41,0.0,2
1/21/2026,Fairmont,60,3.0,D&E,70,2.0,2
1/21/2026,Fairmont,61,2.0,D&E,60,2.0,2
1/21/2026,Fairmont,41,0.0,D&E,31,0.0,2
1/21/2026,Fairmont,41/61,2.0,D&E,0,0.0,2
1/21/2026,Fairmont,60,2.0,D&E,31,0.0,2
