Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
3/6/2026,Fairmont,,,Frostburg,11,0.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,41,0.0,Frostburg,40,0.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,41/41,2.0,1
3/6/2026,Fairmont,31,0.0,Frostburg,61,2.0,1
3/6/2026,Fairmont,61,0.0,Frostburg,61,3.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,0,0.0,1
3/6/2026,Fairmont,70,2.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,11,0.0,1
3/6/2026,Fairmont,61,0.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,11,0.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,11,2.0,Frostburg,11/61,2.0,1
3/6/2026,Fairmont,41/31,3.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,41,0.0,Frostburg,41/61,0.0,1
3/6/2026,Fairmont,60,2.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,61,2.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,41/0,0.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,40,3.0,1
3/6/2026,Fairmont,31,0.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,11,2.0,Frostburg,41,3.0,1
3/6/2026,Fairmont,60/61,2.0,Frostburg,0,0.0,1
3/6/2026,Fairmont,61,2.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,31,0.0,Frostburg,41,3.0,1
3/6/2026,Fairmont,70,1.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,41,0.0,Frostburg,11/0,0.0,1
3/6/2026,Fairmont,60,2.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,41,2.0,Frostburg,41,0.0,1
3/6/2026,Fairmont,11,0.0,Frostburg,11/41,2.0,1
3/6/2026,Fairmont,61,2.0,Frostburg,61,2.0,1
3/6/2026,Fairmont,61/61,2.0,Frostburg,31,0.0,1
3/6/2026,Fairmont,30,2.0,Frostburg,41,3.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,60,2.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,11/11,0.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,0,0.0,1
3/6/2026,Fairmont,31/70,0.0,Frostburg,70,3.0,1
3/6/2026,Fairmont,0,0.0,Frostburg,31,3.0,1
3/6/2026,Fairmont,40,2.0,Frostburg,41,0.0,2
3/6/2026,Fairmont,31/60,3.0,Frostburg,31,2.0,2
3/6/2026,Fairmont,61,2.0,Frostburg,41,3.0,2
3/6/2026,Fairmont,60,2.0,Frostburg,70,2.0,2
3/6/2026,Fairmont,31/60,2.0,Frostburg,0,0.0,2
3/6/2026,Fairmont,60,2.0,Frostburg,61,2.0,2
3/6/2026,Fairmont,41,3.0,Frostburg,40,3.0,2
3/6/2026,Fairmont,61,2.0,Frostburg,61,2.0,2
3/6/2026,Fairmont,31,0.0,Frostburg,0,0.0,2
3/6/2026,Fairmont,11,0.0,Frostburg,31,3.0,2
3/6/2026,Fairmont,61,0.0,Frostburg,60,2.0,2
3/6/2026,Fairmont,31/60,2.0,Frostburg,0,0.0,2
3/6/2026,Fairmont,70,2.0,Frostburg,11/40,3.0,2
3/6/2026,Fairmont,41,0.0,Frostburg,31,0.0,2
3/6/2026,Fairmont,11,0.0,Frostburg,60,2.0,2
3/6/2026,Fairmont,31,2.0,Frostburg,11,0.0,2
3/6/2026,Fairmont,60,2.0,Frostburg,31,0.0,2
3/6/2026,Fairmont,31,2.0,Frostburg,70,2.0,2
3/6/2026,Fairmont,70,2.0,Frostburg,11/61,2.0,2
3/6/2026,Fairmont,61,2.0,Frostburg,31,0.0,2
3/6/2026,Fairmont,61,2.0,Frostburg,31,0.0,2
3/6/2026,Fairmont,41,0.0,Frostburg,70,0.0,2
3/6/2026,Fairmont,41,2.0,Frostburg,31,0.0,2
3/6/2026,Fairmont,60,2.0,Frostburg,31,2.0,2
3/6/2026,Fairmont,61,2.0,Frostburg,41,0.0,2
3/6/2026,Fairmont,41,3.0,Frostburg,11/70,2.0,2
3/6/2026,Fairmont,11,0.0,Frostburg,41,3.0,2
3/6/2026,Fairmont,30,2.0,Frostburg,40,0.0,2
3/6/2026,Fairmont,60,2.0,Frostburg,61,2.0,2
3/6/2026,Fairmont,31,2.0,Frostburg,70,2.0,2
3/6/2026,Fairmont,60/30,0.0,Frostburg,31,3.0,2
3/6/2026,Fairmont,70,2.0,Frostburg,60,2.0,2
3/6/2026,Fairmont,70,0.0,Frostburg,61,0.0,2
3/6/2026,Fairmont,70,1.0,Frostburg,,,2
