Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/31/2026,Fairmont,,,Glenville,41,3.0,1
1/31/2026,Fairmont,31,0.0,Glenville,41,0.0,1
1/31/2026,Fairmont,60,2.0,Glenville,31,3.0,1
1/31/2026,Fairmont,40,3.0,Glenville,31,0.0,1
1/31/2026,Fairmont,31,3.0,Glenville,0,0.0,1
1/31/2026,Fairmont,30/41,0.0,Glenville,41,3.0,1
1/31/2026,Fairmont,31,0.0,Glenville,60,0.0,1
1/31/2026,Fairmont,61,0.0,Glenville,70,3.0,1
1/31/2026,Fairmont,31,2.0,Glenville,70,1.0,1
1/31/2026,Fairmont,0,0.0,Glenville,31/61,2.0,1
1/31/2026,Fairmont,60,0.0,Glenville,61,2.0,1
1/31/2026,Fairmont,40,3.0,Glenville,31,0.0,1
1/31/2026,Fairmont,0,0.0,Glenville,11/31,0.0,1
1/31/2026,Fairmont,61,3.0,Glenville,60,3.0,1
1/31/2026,Fairmont,0,0.0,Glenville,11/41,3.0,1
1/31/2026,Fairmont,31,0.0,Glenville,31,0.0,1
1/31/2026,Fairmont,70,1.0,Glenville,0,0.0,1
1/31/2026,Fairmont,41,2.0,Glenville,70,2.0,1
1/31/2026,Fairmont,0,0.0,Glenville,0,0.0,1
1/31/2026,Fairmont,40,0.0,Glenville,60,2.0,1
1/31/2026,Fairmont,61/0,0.0,Glenville,61,2.0,1
1/31/2026,Fairmont,31,0.0,Glenville,40,0.0,1
1/31/2026,Fairmont,31,3.0,Glenville,41,3.0,1
1/31/2026,Fairmont,0,0.0,Glenville,30,0.0,1
1/31/2026,Fairmont,31,0.0,Glenville,40/41,3.0,1
1/31/2026,Fairmont,41,0.0,Glenville,41,0.0,1
1/31/2026,Fairmont,41,3.0,Glenville,0,0.0,1
1/31/2026,Fairmont,70,2.0,Glenville,11,0.0,1
1/31/2026,Fairmont,0,0.0,Glenville,0,0.0,1
1/31/2026,Fairmont,40,0.0,Glenville,41,0.0,1
1/31/2026,Fairmont,41,2.0,Glenville,30/70,1.0,1
1/31/2026,Fairmont,41,0.0,Glenville,31,2.0,1
1/31/2026,Fairmont,31,0.0,Glenville,31,3.0,1
1/31/2026,Fairmont,41,0.0,Glenville,31/70,2.0,1
1/31/2026,Fairmont,41,0.0,Glenville,11/31/70,2.0,1
1/31/2026,Fairmont,41,2.0,Glenville,11,0.0,1
1/31/2026,Fairmont,31,3.0,Glenville,,,1
1/31/2026,Fairmont,70,1.0,Glenville,41,3.0,2
1/31/2026,Fairmont,41,3.0,Glenville,31,2.0,2
1/31/2026,Fairmont,40,3.0,Glenville,31,0.0,2
1/31/2026,Fairmont,0,0.0,Glenville,31,2.0,2
1/31/2026,Fairmont,31/60,3.0,Glenville,0,0.0,2
1/31/2026,Fairmont,70,2.0,Glenville,61,0.0,2
1/31/2026,Fairmont,31,3.0,Glenville,70,1.0,2
1/31/2026,Fairmont,11/31,0.0,Glenville,11,0.0,2
1/31/2026,Fairmont,31,3.0,Glenville,61,2.0,2
1/31/2026,Fairmont,61,2.0,Glenville,31,3.0,2
1/31/2026,Fairmont,0,0.0,Glenville,41,3.0,2
1/31/2026,Fairmont,11/61,2.0,Glenville,31,3.0,2
1/31/2026,Fairmont,70,2.0,Glenville,41,3.0,2
1/31/2026,Fairmont,41,3.0,Glenville,11/41,3.0,2
1/31/2026,Fairmont,61,0.0,Glenville,11,2.0,2
1/31/2026,Fairmont,70,2.0,Glenville,0,0.0,2
1/31/2026,Fairmont,70,1.0,Glenville,11,0.0,2
1/31/2026,Fairmont,40/61,2.0,Glenville,0,0.0,2
1/31/2026,Fairmont,31,0.0,Glenville,0,0.0,2
1/31/2026,Fairmont,11/60,2.0,Glenville,70,0.0,2
1/31/2026,Fairmont,70,2.0,Glenville,30,2.0,2
1/31/2026,Fairmont,61/61,2.0,Glenville,41,0.0,2
1/31/2026,Fairmont,41,3.0,Glenville,70,1.0,2
1/31/2026,Fairmont,41,2.0,Glenville,40,0.0,2
1/31/2026,Fairmont,31,3.0,Glenville,31,3.0,2
1/31/2026,Fairmont,110,3.0,Glenville,0,0.0,2
1/31/2026,Fairmont,31,3.0,Glenville,31,0.0,2
1/31/2026,Fairmont,70,1.0,Glenville,110,1.0,2
1/31/2026,Fairmont,30,2.0,Glenville,40,0.0,2
1/31/2026,Fairmont,61,2.0,Glenville,31,0.0,2
1/31/2026,Fairmont,31,3.0,Glenville,70,1.0,2
1/31/2026,Fairmont,70,1.0,Glenville,70,1.0,2
1/31/2026,Fairmont,0,0.0,Glenville,61,0.0,2
1/31/2026,Fairmont,70,2.0,Glenville,31,0.0,2
1/31/2026,Fairmont,60,2.0,Glenville,70,2.0,2
1/31/2026,Fairmont,60,2.0,Glenville,31,3.0,2
