Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/14/2026,Fairmont,11,2.0,Point Park,31,0.0,1
1/14/2026,Fairmont,31,0.0,Point Park,31/11,2.0,1
1/14/2026,Fairmont,61,3.0,Point Park,0,0.0,1
1/14/2026,Fairmont,31,3.0,Point Park,60,2.0,1
1/14/2026,Fairmont,60,0.0,Point Park,31/61,0.0,1
1/14/2026,Fairmont,60,2.0,Point Park,41,0.0,1
1/14/2026,Fairmont,41,3.0,Point Park,41,3.0,1
1/14/2026,Fairmont,31/60,2.0,Point Park,0,0.0,1
1/14/2026,Fairmont,61/11/61,2.0,Point Park,11/41,0.0,1
1/14/2026,Fairmont,31,3.0,Point Park,31,2.0,1
1/14/2026,Fairmont,70,2.0,Point Park,11,0.0,1
1/14/2026,Fairmont,0,0.0,Point Park,61,0.0,1
1/14/2026,Fairmont,60,2.0,Point Park,31,0.0,1
1/14/2026,Fairmont,31/11/0,0.0,Point Park,41,0.0,1
1/14/2026,Fairmont,60,3.0,Point Park,11,0.0,1
1/14/2026,Fairmont,31,0.0,Point Park,0,0.0,1
1/14/2026,Fairmont,41,3.0,Point Park,0,0.0,1
1/14/2026,Fairmont,11,0.0,Point Park,0,0.0,1
1/14/2026,Fairmont,30,2.0,Point Park,0,0.0,1
1/14/2026,Fairmont,41,0.0,Point Park,61,2.0,1
1/14/2026,Fairmont,41,3.0,Point Park,70,2.0,1
1/14/2026,Fairmont,41,0.0,Point Park,41,3.0,1
1/14/2026,Fairmont,70,1.0,Point Park,41,3.0,1
1/14/2026,Fairmont,0,0.0,Point Park,60,2.0,1
1/14/2026,Fairmont,31,0.0,Point Park,11/11,0.0,1
1/14/2026,Fairmont,41,0.0,Point Park,61,0.0,1
1/14/2026,Fairmont,70,1.0,Point Park,11/31,3.0,1
1/14/2026,Fairmont,41,3.0,Point Park,31/70,1.0,1
1/14/2026,Fairmont,41,3.0,Point Park,11,0.0,1
1/14/2026,Fairmont,41,3.0,Point Park,31,0.0,1
1/14/2026,Fairmont,60,2.0,Point Park,0,0.0,1
1/14/2026,Fairmont,0,0.0,Point Park,11,0.0,1
1/14/2026,Fairmont,61/60,3.0,Point Park,,,1
1/14/2026,Fairmont,11/40,2.0,Point Park,60,3.0,2
1/14/2026,Fairmont,60,2.0,Point Park,0,0.0,2
1/14/2026,Fairmont,60,2.0,Point Park,61,2.0,2
1/14/2026,Fairmont,61,2.0,Point Park,31,0.0,2
1/14/2026,Fairmont,60,2.0,Point Park,31,0.0,2
1/14/2026,Fairmont,60,2.0,Point Park,31,0.0,2
1/14/2026,Fairmont,31,3.0,Point Park,31/70,2.0,2
1/14/2026,Fairmont,70,2.0,Point Park,41,3.0,2
1/14/2026,Fairmont,31,0.0,Point Park,41,0.0,2
1/14/2026,Fairmont,0,0.0,Point Park,11,0.0,2
1/14/2026,Fairmont,41/41,3.0,Point Park,41,0.0,2
1/14/2026,Fairmont,70,2.0,Point Park,31,0.0,2
1/14/2026,Fairmont,70,1.0,Point Park,11/0,0.0,2
1/14/2026,Fairmont,31/70,2.0,Point Park,0,0.0,2
1/14/2026,Fairmont,31/31,0.0,Point Park,0,0.0,2
1/14/2026,Fairmont,60,2.0,Point Park,31,2.0,2
1/14/2026,Fairmont,31/11,0.0,Point Park,41,2.0,2
1/14/2026,Fairmont,41,3.0,Point Park,0,0.0,2
1/14/2026,Fairmont,61,2.0,Point Park,31,0.0,2
1/14/2026,Fairmont,70,1.0,Point Park,31,2.0,2
1/14/2026,Fairmont,0,0.0,Point Park,60,0.0,2
1/14/2026,Fairmont,11,0.0,Point Park,11/31,2.0,2
1/14/2026,Fairmont,31,0.0,Point Park,0,0.0,2
1/14/2026,Fairmont,41,2.0,Point Park,70,3.0,2
1/14/2026,Fairmont,61,2.0,Point Park,31,2.0,2
1/14/2026,Fairmont,61/70,1.0,Point Park,40,0.0,2
1/14/2026,Fairmont,40,2.0,Point Park,41/60,0.0,2
1/14/2026,Fairmont,11/0,0.0,Point Park,30,2.0,2
1/14/2026,Fairmont,41,3.0,Point Park,31,2.0,2
1/14/2026,Fairmont,60,0.0,Point Park,70,2.0,2
1/14/2026,Fairmont,0,0.0,Point Park,31/60,3.0,2
1/14/2026,Fairmont,41,3.0,Point Park,31,0.0,2
