Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/21/2026,Fairmont,0,0.0,Salem,41,0.0,1
2/21/2026,Fairmont,61,2.0,Salem,11,0.0,1
2/21/2026,Fairmont,41,2.0,Salem,41/31/11,0.0,1
2/21/2026,Fairmont,70,2.0,Salem,,,1
2/21/2026,Fairmont,/41,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,11/11,0.0,1
2/21/2026,Fairmont,60,3.0,Salem,11/0,0.0,1
2/21/2026,Fairmont,31,3.0,Salem,41,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,11/41,0.0,1
2/21/2026,Fairmont,61,2.0,Salem,0,0.0,1
2/21/2026,Fairmont,41,3.0,Salem,11,0.0,1
2/21/2026,Fairmont,41/61,2.0,Salem,31,0.0,1
2/21/2026,Fairmont,11/60,3.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,0,0.0,1
2/21/2026,Fairmont,41,0.0,Salem,11/70,2.0,1
2/21/2026,Fairmont,0,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,0,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,61/0,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,61,0.0,Salem,41,3.0,1
2/21/2026,Fairmont,31,0.0,Salem,31,2.0,1
2/21/2026,Fairmont,31/70,3.0,Salem,31,3.0,1
2/21/2026,Fairmont,70,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,61,2.0,1
2/21/2026,Fairmont,60,2.0,Salem,31,0.0,1
2/21/2026,Fairmont,0,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,41,0.0,1
2/21/2026,Fairmont,41,2.0,Salem,70,1.0,1
2/21/2026,Fairmont,41/61,0.0,Salem,61,2.0,1
2/21/2026,Fairmont,0,0.0,Salem,11,0.0,1
2/21/2026,Fairmont,60/61/60,2.0,Salem,70,2.0,1
2/21/2026,Fairmont,0,0.0,Salem,0,0.0,1
2/21/2026,Fairmont,0,0.0,Salem,31,2.0,1
2/21/2026,Fairmont,0,0.0,Salem,41,0.0,1
2/21/2026,Fairmont,41,3.0,Salem,0,0.0,1
2/21/2026,Fairmont,0,0.0,Salem,31,0.0,1
2/21/2026,Fairmont,30/70,3.0,Salem,0,0.0,1
2/21/2026,Fairmont,60,2.0,Salem,0,0.0,1
2/21/2026,Fairmont,61,0.0,Salem,11,0.0,1
2/21/2026,Fairmont,41,0.0,Salem,70,0.0,1
2/21/2026,Fairmont,70,0.0,Salem,61,0.0,1
2/21/2026,Fairmont,0,0.0,Salem,31,2.0,1
2/21/2026,Fairmont,,,Salem,0,0.0,2
2/21/2026,Fairmont,31,0.0,Salem,11/41,3.0,2
2/21/2026,Fairmont,61,2.0,Salem,70,1.0,2
2/21/2026,Fairmont,41/41/11/41,3.0,Salem,70,3.0,2
2/21/2026,Fairmont,11/61,2.0,Salem,0,0.0,2
2/21/2026,Fairmont,60,2.0,Salem,70,2.0,2
2/21/2026,Fairmont,41/60,2.0,Salem,70,3.0,2
2/21/2026,Fairmont,70,1.0,Salem,41,0.0,2
2/21/2026,Fairmont,41,2.0,Salem,0,0.0,2
2/21/2026,Fairmont,41,3.0,Salem,41,3.0,2
2/21/2026,Fairmont,11,0.0,Salem,41,3.0,2
2/21/2026,Fairmont,31/11,2.0,Salem,61,2.0,2
2/21/2026,Fairmont,60,2.0,Salem,0,0.0,2
2/21/2026,Fairmont,11,2.0,Salem,31/31,2.0,2
2/21/2026,Fairmont,0,0.0,Salem,0,0.0,2
2/21/2026,Fairmont,60,2.0,Salem,31,0.0,2
2/21/2026,Fairmont,40,2.0,Salem,0,0.0,2
2/21/2026,Fairmont,41,3.0,Salem,70,2.0,2
2/21/2026,Fairmont,31,0.0,Salem,40,3.0,2
2/21/2026,Fairmont,40,0.0,Salem,31,3.0,2
2/21/2026,Fairmont,41,3.0,Salem,0,0.0,2
2/21/2026,Fairmont,61,3.0,Salem,70,0.0,2
2/21/2026,Fairmont,70,0.0,Salem,0,0.0,2
2/21/2026,Fairmont,60,2.0,Salem,61,2.0,2
2/21/2026,Fairmont,61,2.0,Salem,61,3.0,2
2/21/2026,Fairmont,0,0.0,Salem,11,0.0,2
2/21/2026,Fairmont,11/60,0.0,Salem,40,0.0,2
2/21/2026,Fairmont,60,0.0,Salem,60,2.0,2
2/21/2026,Fairmont,41/41,3.0,Salem,70,2.0,2
2/21/2026,Fairmont,41/61,2.0,Salem,31,0.0,2
2/21/2026,Fairmont,41/61,2.0,Salem,30,0.0,2
2/21/2026,Fairmont,61,2.0,Salem,0,0.0,2
2/21/2026,Fairmont,60,2.0,Salem,70,2.0,2
2/21/2026,Fairmont,41,0.0,Salem,61,2.0,2
2/21/2026,Fairmont,31,0.0,Salem,31,0.0,2
2/21/2026,Fairmont,41,0.0,Salem,31/31,2.0,2
