Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,Fairmont,,,Wesleyan,0,0.0,1
12/6/2025,Fairmont,61,2.0,Wesleyan,31,2.0,1
12/6/2025,Fairmont,31/60,2.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,70,1.0,Wesleyan,11,2.0,1
12/6/2025,Fairmont,60,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,60,3.0,Wesleyan,41,0.0,1
12/6/2025,Fairmont,41/60,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,60,2.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,70,1.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,70,1.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,31,3.0,Wesleyan,70,1.0,1
12/6/2025,Fairmont,,,Wesleyan,11,0.0,1
12/6/2025,Fairmont,41,0.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,0,0.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,41/60,2.0,Wesleyan,61,0.0,1
12/6/2025,Fairmont,61,0.0,Wesleyan,61,2.0,1
12/6/2025,Fairmont,61,2.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,31,0.0,Wesleyan,11,0.0,1
12/6/2025,Fairmont,60,2.0,Wesleyan,61,0.0,1
12/6/2025,Fairmont,0,0.0,Wesleyan,31,2.0,1
12/6/2025,Fairmont,70,1.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,60/60,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,60,0.0,Wesleyan,31/31/31/70,0.0,1
12/6/2025,Fairmont,31,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,70,2.0,Wesleyan,31,3.0,1
12/6/2025,Fairmont,31/70,1.0,Wesleyan,,,1
12/6/2025,Fairmont,/70,1.0,Wesleyan,11/31,0.0,1
12/6/2025,Fairmont,0,0.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,70,1.0,Wesleyan,,,1
12/6/2025,Fairmont,/60,2.0,Wesleyan,11/31/70,0.0,1
12/6/2025,Fairmont,11/70,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,61,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,41/61/61,2.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,70,2.0,Wesleyan,60/31/60,2.0,1
12/6/2025,Fairmont,41,0.0,Wesleyan,41,0.0,1
12/6/2025,Fairmont,110,3.0,Wesleyan,31,0.0,1
12/6/2025,Fairmont,0,0.0,Wesleyan,31/11,0.0,1
12/6/2025,Fairmont,61,3.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,60,2.0,Wesleyan,0,0.0,1
12/6/2025,Fairmont,60,2.0,Wesleyan,30,2.0,1
12/6/2025,Fairmont,41/0,0.0,Wesleyan,70,1.0,1
12/6/2025,Fairmont,11/60,0.0,Wesleyan,31,3.0,1
12/6/2025,Fairmont,31,2.0,Wesleyan,,,1
12/6/2025,Fairmont,60,2.0,Wesleyan,61,0.0,2
12/6/2025,Fairmont,31,0.0,Wesleyan,61,2.0,2
12/6/2025,Fairmont,31/41,2.0,Wesleyan,11/31,0.0,2
12/6/2025,Fairmont,31,0.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,0,0.0,Wesleyan,31,3.0,2
12/6/2025,Fairmont,0,0.0,Wesleyan,60,2.0,2
12/6/2025,Fairmont,60/11,0.0,Wesleyan,31,0.0,2
12/6/2025,Fairmont,41,0.0,Wesleyan,31,3.0,2
12/6/2025,Fairmont,61,0.0,Wesleyan,31,0.0,2
12/6/2025,Fairmont,61,3.0,Wesleyan,41,0.0,2
12/6/2025,Fairmont,60,2.0,Wesleyan,31/11,0.0,2
12/6/2025,Fairmont,41,0.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,41/0,0.0,Wesleyan,41,2.0,2
12/6/2025,Fairmont,40/40,3.0,Wesleyan,30,2.0,2
12/6/2025,Fairmont,41,3.0,Wesleyan,60,2.0,2
12/6/2025,Fairmont,41,3.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,60,2.0,Wesleyan,70,0.0,2
12/6/2025,Fairmont,60,2.0,Wesleyan,11,2.0,2
12/6/2025,Fairmont,31/61,3.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,60,3.0,Wesleyan,61/61,0.0,2
12/6/2025,Fairmont,70,1.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,61/60,2.0,Wesleyan,41,3.0,2
12/6/2025,Fairmont,60,0.0,Wesleyan,41,3.0,2
12/6/2025,Fairmont,41,3.0,Wesleyan,31,3.0,2
12/6/2025,Fairmont,41,3.0,Wesleyan,31,0.0,2
12/6/2025,Fairmont,41,0.0,Wesleyan,11/61,0.0,2
12/6/2025,Fairmont,61,3.0,Wesleyan,70,1.0,2
12/6/2025,Fairmont,11,0.0,Wesleyan,41,0.0,2
12/6/2025,Fairmont,41,0.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,70,2.0,Wesleyan,31,0.0,2
12/6/2025,Fairmont,31/0,0.0,Wesleyan,31/61,2.0,2
12/6/2025,Fairmont,11,0.0,Wesleyan,41,2.0,2
12/6/2025,Fairmont,31,3.0,Wesleyan,0,0.0,2
12/6/2025,Fairmont,60,2.0,Wesleyan,61,0.0,2
12/6/2025,Fairmont,31,0.0,Wesleyan,40/60,2.0,2
