Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,Fairmont,31,2.0,West Liberty,31,0.0,1
1/10/2026,Fairmont,60,3.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,61,2.0,1
1/10/2026,Fairmont,61,0.0,West Liberty,41,3.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,31,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,31,3.0,West Liberty,61,3.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,31,2.0,1
1/10/2026,Fairmont,41,3.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,41,0.0,West Liberty,70,1.0,1
1/10/2026,Fairmont,61,2.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,61,3.0,West Liberty,61,3.0,1
1/10/2026,Fairmont,41,3.0,West Liberty,61,2.0,1
1/10/2026,Fairmont,41/70,2.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,31,0.0,West Liberty,31,2.0,1
1/10/2026,Fairmont,40/41,3.0,West Liberty,70,1.0,1
1/10/2026,Fairmont,41,0.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,61,2.0,West Liberty,11,0.0,1
1/10/2026,Fairmont,41,0.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,11,0.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,70,1.0,1
1/10/2026,Fairmont,,,West Liberty,/0,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,61,2.0,1
1/10/2026,Fairmont,61,2.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,70,1.0,West Liberty,,,1
1/10/2026,Fairmont,41/0,0.0,West Liberty,61,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,61,2.0,1
1/10/2026,Fairmont,31,0.0,West Liberty,11,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,0,0.0,1
1/10/2026,Fairmont,11/60,2.0,West Liberty,11,2.0,1
1/10/2026,Fairmont,41,0.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,11,0.0,1
1/10/2026,Fairmont,60,0.0,West Liberty,41,3.0,1
1/10/2026,Fairmont,70,0.0,West Liberty,31,0.0,1
1/10/2026,Fairmont,41,0.0,West Liberty,41,0.0,1
1/10/2026,Fairmont,31,0.0,West Liberty,11,2.0,1
1/10/2026,Fairmont,40,0.0,West Liberty,70,2.0,1
1/10/2026,Fairmont,0,0.0,West Liberty,60,2.0,1
