Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/11/2026,Fairmont,70,1.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,41,3.0,Wheeling,41,0.0,1
2/11/2026,Fairmont,0,0.0,Wheeling,41,0.0,1
2/11/2026,Fairmont,40,0.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,61,2.0,Wheeling,30,0.0,1
2/11/2026,Fairmont,60,0.0,Wheeling,61,2.0,1
2/11/2026,Fairmont,61,2.0,Wheeling,31/41,0.0,1
2/11/2026,Fairmont,70,1.0,Wheeling,,,1
2/11/2026,Fairmont,/41/61,2.0,Wheeling,11,0.0,1
2/11/2026,Fairmont,31,0.0,Wheeling,70,0.0,1
2/11/2026,Fairmont,41,0.0,Wheeling,70,2.0,1
2/11/2026,Fairmont,40,3.0,Wheeling,61,2.0,1
2/11/2026,Fairmont,61,0.0,Wheeling,31,2.0,1
2/11/2026,Fairmont,41,3.0,Wheeling,41,0.0,1
2/11/2026,Fairmont,41,3.0,Wheeling,31/60,2.0,1
2/11/2026,Fairmont,0,0.0,Wheeling,60,0.0,1
2/11/2026,Fairmont,60,0.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,31,0.0,Wheeling,41,3.0,1
2/11/2026,Fairmont,41,0.0,Wheeling,41/11/61,2.0,1
2/11/2026,Fairmont,70,3.0,Wheeling,31,2.0,1
2/11/2026,Fairmont,70,1.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,11,2.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,41,3.0,Wheeling,11,0.0,1
2/11/2026,Fairmont,11,0.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,30,0.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,40,0.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,11/31,3.0,Wheeling,61,2.0,1
2/11/2026,Fairmont,0,0.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,40,0.0,Wheeling,41/60,2.0,1
2/11/2026,Fairmont,31,0.0,Wheeling,40,0.0,1
2/11/2026,Fairmont,60,2.0,Wheeling,61/60,2.0,1
2/11/2026,Fairmont,41,3.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,61,2.0,Wheeling,70,1.0,1
2/11/2026,Fairmont,60,0.0,Wheeling,0,0.0,1
2/11/2026,Fairmont,0,0.0,Wheeling,61/70,0.0,1
2/11/2026,Fairmont,41,2.0,Wheeling,61,2.0,1
2/11/2026,Fairmont,31,0.0,Wheeling,31,0.0,1
2/11/2026,Fairmont,0,0.0,Wheeling,60,2.0,2
2/11/2026,Fairmont,41/41/41,0.0,Wheeling,41,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,61,2.0,2
2/11/2026,Fairmont,31,2.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,60,2.0,Wheeling,41,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,31,3.0,2
2/11/2026,Fairmont,41,0.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,41,2.0,Wheeling,11,0.0,2
2/11/2026,Fairmont,40,0.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,11,0.0,2
2/11/2026,Fairmont,70,0.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,41,2.0,2
2/11/2026,Fairmont,31,0.0,Wheeling,60,0.0,2
2/11/2026,Fairmont,41,3.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,61,0.0,Wheeling,70,1.0,2
2/11/2026,Fairmont,,,Wheeling,/31,2.0,2
2/11/2026,Fairmont,11/70,2.0,Wheeling,70,2.0,2
2/11/2026,Fairmont,70,1.0,Wheeling,30,0.0,2
2/11/2026,Fairmont,41,3.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,70,1.0,Wheeling,,,2
2/11/2026,Fairmont,70,2.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,41,3.0,Wheeling,41,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,11,0.0,Wheeling,70,0.0,2
2/11/2026,Fairmont,40/41,3.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,40,0.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,70,2.0,2
2/11/2026,Fairmont,70,1.0,Wheeling,,,2
2/11/2026,Fairmont,31,3.0,Wheeling,61/41,3.0,2
2/11/2026,Fairmont,41,0.0,Wheeling,0,0.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,31/61,2.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,11,0.0,2
2/11/2026,Fairmont,70,3.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,41/41,3.0,Wheeling,70,2.0,2
2/11/2026,Fairmont,60,2.0,Wheeling,31,0.0,2
2/11/2026,Fairmont,31,0.0,Wheeling,41,3.0,2
2/11/2026,Fairmont,0,0.0,Wheeling,60,2.0,2
2/11/2026,Fairmont,40/0,0.0,Wheeling,40,3.0,2
2/11/2026,Fairmont,61/61/41,0.0,Wheeling,31,3.0,2
