Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/24/2026,Frostburg,,,Fairmont,41,2.0,1
1/24/2026,Frostburg,31,0.0,Fairmont,41,0.0,1
1/24/2026,Frostburg,61,2.0,Fairmont,11,0.0,1
1/24/2026,Frostburg,60/11/60,0.0,Fairmont,0,0.0,1
1/24/2026,Frostburg,40/11,2.0,Fairmont,31,3.0,1
1/24/2026,Frostburg,0,0.0,Fairmont,70,2.0,1
1/24/2026,Frostburg,11,2.0,Fairmont,41,2.0,1
1/24/2026,Frostburg,0,0.0,Fairmont,41,3.0,1
1/24/2026,Frostburg,60,2.0,Fairmont,41,3.0,1
1/24/2026,Frostburg,61,2.0,Fairmont,41,3.0,1
1/24/2026,Frostburg,61,2.0,Fairmont,61,2.0,1
1/24/2026,Frostburg,31,2.0,Fairmont,31,0.0,1
1/24/2026,Frostburg,31,3.0,Fairmont,0,0.0,1
1/24/2026,Frostburg,60,0.0,Fairmont,61,0.0,1
1/24/2026,Frostburg,61,3.0,Fairmont,31/70,2.0,1
1/24/2026,Frostburg,110,2.0,Fairmont,11,0.0,1
1/24/2026,Frostburg,0,0.0,Fairmont,11/11,2.0,1
1/24/2026,Frostburg,60,0.0,Fairmont,70,2.0,1
1/24/2026,Frostburg,60,3.0,Fairmont,61,2.0,1
1/24/2026,Frostburg,11,2.0,Fairmont,0,0.0,1
1/24/2026,Frostburg,31,0.0,Fairmont,11,0.0,1
1/24/2026,Frostburg,41,3.0,Fairmont,31,0.0,1
1/24/2026,Frostburg,41,0.0,Fairmont,31/31,3.0,1
1/24/2026,Frostburg,60,2.0,Fairmont,41,3.0,1
1/24/2026,Frostburg,31,0.0,Fairmont,31,3.0,1
1/24/2026,Frostburg,31,0.0,Fairmont,31,0.0,1
1/24/2026,Frostburg,60,2.0,Fairmont,31/0,0.0,1
1/24/2026,Frostburg,70,2.0,Fairmont,61,0.0,1
1/24/2026,Frostburg,11,0.0,Fairmont,41,0.0,1
1/24/2026,Frostburg,0,0.0,Fairmont,61/11/61,2.0,1
1/24/2026,Frostburg,70,0.0,Fairmont,61,2.0,1
1/24/2026,Frostburg,41,0.0,Fairmont,0,0.0,1
1/24/2026,Frostburg,41,0.0,Fairmont,31,0.0,1
1/24/2026,Frostburg,31,2.0,Fairmont,70,0.0,1
1/24/2026,Frostburg,,,Fairmont,/60,3.0,1
1/24/2026,Frostburg,31,3.0,Fairmont,41,3.0,1
1/24/2026,Frostburg,41,3.0,Fairmont,31,0.0,1
1/24/2026,Frostburg,,,Fairmont,60,3.0,2
1/24/2026,Frostburg,31,0.0,Fairmont,70,1.0,2
1/24/2026,Frostburg,31/30,2.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,41,3.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,40,0.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,0,0.0,Fairmont,41,3.0,2
1/24/2026,Frostburg,31,3.0,Fairmont,110,4.0,2
1/24/2026,Frostburg,31/41,0.0,Fairmont,31,3.0,2
1/24/2026,Frostburg,31,3.0,Fairmont,41,0.0,2
1/24/2026,Frostburg,0,0.0,Fairmont,60,2.0,2
1/24/2026,Frostburg,70,1.0,Fairmont,70,1.0,2
1/24/2026,Frostburg,,,Fairmont,/41,3.0,2
1/24/2026,Frostburg,61/70,1.0,Fairmont,40,3.0,2
1/24/2026,Frostburg,31,2.0,Fairmont,60,2.0,2
1/24/2026,Frostburg,41,3.0,Fairmont,60,2.0,2
1/24/2026,Frostburg,61,2.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,70,1.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,11/31,0.0,Fairmont,60,2.0,2
1/24/2026,Frostburg,31,0.0,Fairmont,0,0.0,2
1/24/2026,Frostburg,11/11,2.0,Fairmont,11/70,2.0,2
1/24/2026,Frostburg,,,Fairmont,/70,2.0,2
1/24/2026,Frostburg,41,0.0,Fairmont,41,3.0,2
1/24/2026,Frostburg,41,0.0,Fairmont,70,2.0,2
1/24/2026,Frostburg,70,2.0,Fairmont,70,2.0,2
1/24/2026,Frostburg,0,0.0,Fairmont,61,0.0,2
1/24/2026,Frostburg,61,0.0,Fairmont,70,2.0,2
1/24/2026,Frostburg,61,2.0,Fairmont,70,1.0,2
1/24/2026,Frostburg,31/70,2.0,Fairmont,31,0.0,2
1/24/2026,Frostburg,41,0.0,Fairmont,41,3.0,2
1/24/2026,Frostburg,31,0.0,Fairmont,70,2.0,2
1/24/2026,Frostburg,61,0.0,Fairmont,60,2.0,2
1/24/2026,Frostburg,31,2.0,Fairmont,41,0.0,2
1/24/2026,Frostburg,60,3.0,Fairmont,70,2.0,2
1/24/2026,Frostburg,61,2.0,Fairmont,31,0.0,2
1/24/2026,Frostburg,60,2.0,Fairmont,61,2.0,2
1/24/2026,Frostburg,60,2.0,Fairmont,,,2
