Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/13/2025,Frostburg,,,Glenville,31,3.0,1
12/13/2025,Frostburg,31,3.0,Glenville,0,0.0,1
12/13/2025,Frostburg,60,2.0,Glenville,31,2.0,1
12/13/2025,Frostburg,11,0.0,Glenville,60,0.0,1
12/13/2025,Frostburg,0,0.0,Glenville,41,0.0,1
12/13/2025,Frostburg,0,0.0,Glenville,61,2.0,1
12/13/2025,Frostburg,40,3.0,Glenville,61,2.0,1
12/13/2025,Frostburg,31/41,0.0,Glenville,31,0.0,1
12/13/2025,Frostburg,31/60,0.0,Glenville,60,3.0,1
12/13/2025,Frostburg,60/41,3.0,Glenville,60,2.0,1
12/13/2025,Frostburg,31,3.0,Glenville,31,0.0,1
12/13/2025,Frostburg,31,3.0,Glenville,31,0.0,1
12/13/2025,Frostburg,31,2.0,Glenville,31,0.0,1
12/13/2025,Frostburg,31,0.0,Glenville,31,3.0,1
12/13/2025,Frostburg,11,0.0,Glenville,0,0.0,1
12/13/2025,Frostburg,60,2.0,Glenville,0,0.0,1
12/13/2025,Frostburg,31,0.0,Glenville,31,2.0,1
12/13/2025,Frostburg,0,0.0,Glenville,61,2.0,1
12/13/2025,Frostburg,41,3.0,Glenville,31,3.0,1
12/13/2025,Frostburg,41/41,3.0,Glenville,70,2.0,1
12/13/2025,Frostburg,0,0.0,Glenville,31/61,0.0,1
12/13/2025,Frostburg,61,2.0,Glenville,31,0.0,1
12/13/2025,Frostburg,61,0.0,Glenville,11,0.0,1
12/13/2025,Frostburg,30,0.0,Glenville,11,0.0,1
12/13/2025,Frostburg,60,2.0,Glenville,31,0.0,1
12/13/2025,Frostburg,40,3.0,Glenville,60,0.0,1
12/13/2025,Frostburg,40,0.0,Glenville,41/31,0.0,1
12/13/2025,Frostburg,70,2.0,Glenville,61,2.0,1
12/13/2025,Frostburg,61,2.0,Glenville,70,2.0,1
12/13/2025,Frostburg,31,0.0,Glenville,70,1.0,1
12/13/2025,Frostburg,60,3.0,Glenville,31/61,2.0,1
12/13/2025,Frostburg,0,0.0,Glenville,60,2.0,1
12/13/2025,Frostburg,61,2.0,Glenville,31,0.0,1
12/13/2025,Frostburg,11,2.0,Glenville,31,3.0,1
12/13/2025,Frostburg,11,0.0,Glenville,41/61,2.0,1
12/13/2025,Frostburg,0,0.0,Glenville,41,3.0,1
12/13/2025,Frostburg,61,2.0,Glenville,41,3.0,1
12/13/2025,Frostburg,31,0.0,Glenville,0,0.0,1
12/13/2025,Frostburg,11,0.0,Glenville,,,1
12/13/2025,Frostburg,0,0.0,Glenville,61,2.0,2
12/13/2025,Frostburg,31/70,2.0,Glenville,60,2.0,2
12/13/2025,Frostburg,31,3.0,Glenville,11,2.0,2
12/13/2025,Frostburg,31,0.0,Glenville,41,0.0,2
12/13/2025,Frostburg,40,0.0,Glenville,70,2.0,2
12/13/2025,Frostburg,60,0.0,Glenville,31/70,2.0,2
12/13/2025,Frostburg,41,3.0,Glenville,41,3.0,2
12/13/2025,Frostburg,0,0.0,Glenville,11/70,3.0,2
12/13/2025,Frostburg,0,0.0,Glenville,31,0.0,2
12/13/2025,Frostburg,31,3.0,Glenville,0,0.0,2
12/13/2025,Frostburg,60,2.0,Glenville,11/60,2.0,2
12/13/2025,Frostburg,31,3.0,Glenville,0,0.0,2
12/13/2025,Frostburg,60,2.0,Glenville,41/61,2.0,2
12/13/2025,Frostburg,70,1.0,Glenville,31,2.0,2
12/13/2025,Frostburg,70,2.0,Glenville,41,2.0,2
12/13/2025,Frostburg,31,3.0,Glenville,61,0.0,2
12/13/2025,Frostburg,31,0.0,Glenville,11,0.0,2
12/13/2025,Frostburg,0,0.0,Glenville,61,2.0,2
12/13/2025,Frostburg,0,0.0,Glenville,61,2.0,2
12/13/2025,Frostburg,31,0.0,Glenville,31,0.0,2
12/13/2025,Frostburg,61,2.0,Glenville,0,0.0,2
12/13/2025,Frostburg,11,2.0,Glenville,11,0.0,2
12/13/2025,Frostburg,0,0.0,Glenville,70,2.0,2
12/13/2025,Frostburg,0,0.0,Glenville,31,2.0,2
12/13/2025,Frostburg,70,0.0,Glenville,31/11/11,0.0,2
12/13/2025,Frostburg,31,2.0,Glenville,31,0.0,2
12/13/2025,Frostburg,31,2.0,Glenville,0,0.0,2
12/13/2025,Frostburg,41/31,0.0,Glenville,0,0.0,2
12/13/2025,Frostburg,61,2.0,Glenville,0,0.0,2
12/13/2025,Frostburg,70,2.0,Glenville,61,2.0,2
12/13/2025,Frostburg,70,2.0,Glenville,11,0.0,2
12/13/2025,Frostburg,70,2.0,Glenville,0,0.0,2
12/13/2025,Frostburg,70,2.0,Glenville,31,0.0,2
12/13/2025,Frostburg,60,2.0,Glenville,70,0.0,2
12/13/2025,Frostburg,0,0.0,Glenville,60,0.0,2
12/13/2025,Frostburg,61,2.0,Glenville,70,2.0,2
12/13/2025,Frostburg,0,0.0,Glenville,31,3.0,2
12/13/2025,Frostburg,70,1.0,Glenville,61/11,0.0,2
