Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/14/2026,Frostburg,,,Salem,31,2.0,1
1/14/2026,Frostburg,60,2.0,Salem,70,2.0,1
1/14/2026,Frostburg,0,0.0,Salem,31,0.0,1
1/14/2026,Frostburg,40,0.0,Salem,31,2.0,1
1/14/2026,Frostburg,61/11/70,2.0,Salem,11/61,0.0,1
1/14/2026,Frostburg,61,2.0,Salem,11,0.0,1
1/14/2026,Frostburg,60,2.0,Salem,11,0.0,1
1/14/2026,Frostburg,41,2.0,Salem,60,2.0,1
1/14/2026,Frostburg,41,3.0,Salem,70,2.0,1
1/14/2026,Frostburg,70,1.0,Salem,61,2.0,1
1/14/2026,Frostburg,60/70,2.0,Salem,0,0.0,1
1/14/2026,Frostburg,61,2.0,Salem,31,2.0,1
1/14/2026,Frostburg,0,0.0,Salem,31,2.0,1
1/14/2026,Frostburg,31/60,0.0,Salem,11,0.0,1
1/14/2026,Frostburg,60,3.0,Salem,70,1.0,1
1/14/2026,Frostburg,41,3.0,Salem,61,2.0,1
1/14/2026,Frostburg,70,2.0,Salem,31,0.0,1
1/14/2026,Frostburg,40,3.0,Salem,40,3.0,1
1/14/2026,Frostburg,11,0.0,Salem,0,0.0,1
1/14/2026,Frostburg,0,0.0,Salem,60,2.0,1
1/14/2026,Frostburg,0,0.0,Salem,41,3.0,1
1/14/2026,Frostburg,40/41,3.0,Salem,0,0.0,1
1/14/2026,Frostburg,60,2.0,Salem,61,3.0,1
1/14/2026,Frostburg,11,2.0,Salem,0,0.0,1
1/14/2026,Frostburg,70,3.0,Salem,31,2.0,1
1/14/2026,Frostburg,31,0.0,Salem,31,0.0,1
1/14/2026,Frostburg,70,1.0,Salem,60,2.0,1
1/14/2026,Frostburg,70,2.0,Salem,70,2.0,1
1/14/2026,Frostburg,60,2.0,Salem,11,0.0,1
1/14/2026,Frostburg,70,2.0,Salem,11,0.0,1
1/14/2026,Frostburg,60,2.0,Salem,40,0.0,1
1/14/2026,Frostburg,61,0.0,Salem,60,2.0,1
1/14/2026,Frostburg,70,1.0,Salem,,,1
1/14/2026,Frostburg,/41,2.0,Salem,31,2.0,1
1/14/2026,Frostburg,31,3.0,Salem,0,0.0,1
1/14/2026,Frostburg,61,2.0,Salem,0,0.0,1
1/14/2026,Frostburg,31,2.0,Salem,61,0.0,1
1/14/2026,Frostburg,60,2.0,Salem,31,3.0,1
1/14/2026,Frostburg,0,0.0,Salem,11/40,0.0,1
1/14/2026,Frostburg,41,3.0,Salem,,,1
1/14/2026,Frostburg,0,0.0,Salem,31,0.0,2
1/14/2026,Frostburg,0,0.0,Salem,110,3.0,2
1/14/2026,Frostburg,41,3.0,Salem,0,0.0,2
1/14/2026,Frostburg,61,2.0,Salem,11/61,2.0,2
1/14/2026,Frostburg,31,0.0,Salem,11,0.0,2
1/14/2026,Frostburg,11,0.0,Salem,60,0.0,2
1/14/2026,Frostburg,41,0.0,Salem,61,2.0,2
1/14/2026,Frostburg,0,0.0,Salem,61/60,2.0,2
1/14/2026,Frostburg,31,3.0,Salem,70,2.0,2
1/14/2026,Frostburg,0,0.0,Salem,11,0.0,2
1/14/2026,Frostburg,31,2.0,Salem,31/11/61,2.0,2
1/14/2026,Frostburg,41,3.0,Salem,61,2.0,2
1/14/2026,Frostburg,31,0.0,Salem,31,2.0,2
1/14/2026,Frostburg,11,0.0,Salem,70,2.0,2
1/14/2026,Frostburg,61/11/61,2.0,Salem,0,0.0,2
1/14/2026,Frostburg,61,2.0,Salem,0,0.0,2
1/14/2026,Frostburg,60,2.0,Salem,31,2.0,2
1/14/2026,Frostburg,41,3.0,Salem,70,1.0,2
1/14/2026,Frostburg,41,3.0,Salem,60,2.0,2
1/14/2026,Frostburg,61,2.0,Salem,70,2.0,2
1/14/2026,Frostburg,11/31,0.0,Salem,40,2.0,2
1/14/2026,Frostburg,31/61,2.0,Salem,41,0.0,2
1/14/2026,Frostburg,0,0.0,Salem,41,3.0,2
1/14/2026,Frostburg,40/31,0.0,Salem,70,2.0,2
1/14/2026,Frostburg,70,2.0,Salem,11,0.0,2
1/14/2026,Frostburg,61,2.0,Salem,0,0.0,2
1/14/2026,Frostburg,11,2.0,Salem,60,3.0,2
1/14/2026,Frostburg,41/0,0.0,Salem,31,0.0,2
1/14/2026,Frostburg,31,3.0,Salem,70,1.0,2
1/14/2026,Frostburg,61,2.0,Salem,61,2.0,2
1/14/2026,Frostburg,31,0.0,Salem,41,3.0,2
1/14/2026,Frostburg,41,3.0,Salem,11,0.0,2
1/14/2026,Frostburg,60,2.0,Salem,70,3.0,2
1/14/2026,Frostburg,61,0.0,Salem,61,3.0,2
1/14/2026,Frostburg,0,0.0,Salem,31,2.0,2
1/14/2026,Frostburg,41/0,0.0,Salem,61,2.0,2
1/14/2026,Frostburg,41,3.0,Salem,11/31,0.0,2
