Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/4/2026,Frostburg,,,WVSU,0,0.0,1
2/4/2026,Frostburg,11,0.0,WVSU,41,0.0,1
2/4/2026,Frostburg,41,3.0,WVSU,70,3.0,1
2/4/2026,Frostburg,41,0.0,WVSU,61,2.0,1
2/4/2026,Frostburg,70,1.0,WVSU,0,0.0,1
2/4/2026,Frostburg,61,0.0,WVSU,61,2.0,1
2/4/2026,Frostburg,60/31,3.0,WVSU,70,1.0,1
2/4/2026,Frostburg,60,2.0,WVSU,61,2.0,1
2/4/2026,Frostburg,40,3.0,WVSU,31,0.0,1
2/4/2026,Frostburg,0,0.0,WVSU,0,0.0,1
2/4/2026,Frostburg,41,3.0,WVSU,31/60,0.0,1
2/4/2026,Frostburg,31/60,2.0,WVSU,60/0,0.0,1
2/4/2026,Frostburg,70,2.0,WVSU,70,1.0,1
2/4/2026,Frostburg,41,0.0,WVSU,31/60,0.0,1
2/4/2026,Frostburg,41/70,2.0,WVSU,60/0,0.0,1
2/4/2026,Frostburg,11,2.0,WVSU,30/0,0.0,1
2/4/2026,Frostburg,70,2.0,WVSU,11/61,2.0,1
2/4/2026,Frostburg,60,2.0,WVSU,61/70,2.0,1
2/4/2026,Frostburg,31/0,0.0,WVSU,31,0.0,1
2/4/2026,Frostburg,41,3.0,WVSU,61,0.0,1
2/4/2026,Frostburg,70,3.0,WVSU,0,0.0,1
2/4/2026,Frostburg,41,0.0,WVSU,0,0.0,1
2/4/2026,Frostburg,70,2.0,WVSU,70,2.0,1
2/4/2026,Frostburg,40/60,2.0,WVSU,31,0.0,1
2/4/2026,Frostburg,61,3.0,WVSU,31,0.0,1
2/4/2026,Frostburg,61,0.0,WVSU,41,0.0,1
2/4/2026,Frostburg,11/70,2.0,WVSU,31,2.0,1
2/4/2026,Frostburg,40,0.0,WVSU,31,0.0,1
2/4/2026,Frostburg,41,0.0,WVSU,70,0.0,1
2/4/2026,Frostburg,11,0.0,WVSU,61,0.0,1
2/4/2026,Frostburg,61,0.0,WVSU,0,0.0,1
2/4/2026,Frostburg,60,2.0,WVSU,31,0.0,1
2/4/2026,Frostburg,41/41/70,1.0,WVSU,,,1
2/4/2026,Frostburg,/11,0.0,WVSU,41,2.0,1
2/4/2026,Frostburg,0,0.0,WVSU,70,1.0,1
2/4/2026,Frostburg,0,0.0,WVSU,31,2.0,1
2/4/2026,Frostburg,70,2.0,WVSU,31,0.0,1
2/4/2026,Frostburg,61,2.0,WVSU,11,0.0,1
2/4/2026,Frostburg,0,0.0,WVSU,,,1
2/4/2026,Frostburg,,,WVSU,61/60,0.0,2
2/4/2026,Frostburg,60,2.0,WVSU,60,2.0,2
2/4/2026,Frostburg,60,2.0,WVSU,31,0.0,2
2/4/2026,Frostburg,10,0.0,WVSU,61,2.0,2
2/4/2026,Frostburg,31,3.0,WVSU,61/61,0.0,2
2/4/2026,Frostburg,31,0.0,WVSU,70,3.0,2
2/4/2026,Frostburg,70,2.0,WVSU,31,2.0,2
2/4/2026,Frostburg,31,0.0,WVSU,0,0.0,2
2/4/2026,Frostburg,70,1.0,WVSU,31,2.0,2
2/4/2026,Frostburg,70,1.0,WVSU,31,0.0,2
2/4/2026,Frostburg,41,3.0,WVSU,31,3.0,2
2/4/2026,Frostburg,61,2.0,WVSU,31/31,0.0,2
2/4/2026,Frostburg,31,0.0,WVSU,70,2.0,2
2/4/2026,Frostburg,41/61,2.0,WVSU,61,2.0,2
2/4/2026,Frostburg,40,0.0,WVSU,70,2.0,2
2/4/2026,Frostburg,41,3.0,WVSU,61,2.0,2
2/4/2026,Frostburg,31/41,0.0,WVSU,0,0.0,2
2/4/2026,Frostburg,60,2.0,WVSU,11/60,2.0,2
2/4/2026,Frostburg,41,3.0,WVSU,70,1.0,2
2/4/2026,Frostburg,60,0.0,WVSU,31/61,2.0,2
2/4/2026,Frostburg,41,0.0,WVSU,0,0.0,2
2/4/2026,Frostburg,0,0.0,WVSU,41,0.0,2
2/4/2026,Frostburg,41,3.0,WVSU,60,2.0,2
2/4/2026,Frostburg,40,0.0,WVSU,0,0.0,2
2/4/2026,Frostburg,0,0.0,WVSU,60,2.0,2
2/4/2026,Frostburg,41,0.0,WVSU,0,0.0,2
2/4/2026,Frostburg,0,0.0,WVSU,11/70,2.0,2
2/4/2026,Frostburg,40,0.0,WVSU,60,2.0,2
2/4/2026,Frostburg,30,0.0,WVSU,41,3.0,2
2/4/2026,Frostburg,61,0.0,WVSU,31/41,0.0,2
2/4/2026,Frostburg,70,2.0,WVSU,11/70,2.0,2
2/4/2026,Frostburg,41,3.0,WVSU,31,2.0,2
2/4/2026,Frostburg,31,0.0,WVSU,11,0.0,2
2/4/2026,Frostburg,41,0.0,WVSU,61,2.0,2
2/4/2026,Frostburg,41,3.0,WVSU,70,2.0,2
2/4/2026,Frostburg,41,3.0,WVSU,61,2.0,2
2/4/2026,Frostburg,40,0.0,WVSU,61,2.0,2
2/4/2026,Frostburg,61,2.0,WVSU,0,0.0,2
2/4/2026,Frostburg,0,0.0,WVSU,70,1.0,2
2/4/2026,Frostburg,61,2.0,WVSU,61,2.0,2
2/4/2026,Frostburg,61,2.0,WVSU,60,2.0,2
