Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,Frostburg,61,2.0,Wesleyan,41,0.0,1
1/21/2026,Frostburg,61,2.0,Wesleyan,60,0.0,1
1/21/2026,Frostburg,30,0.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,31/41,2.0,Wesleyan,31,3.0,1
1/21/2026,Frostburg,60/0,0.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,11/40/60,3.0,Wesleyan,11,0.0,1
1/21/2026,Frostburg,41/40,3.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,11,0.0,Wesleyan,40,3.0,1
1/21/2026,Frostburg,60,2.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,41,3.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,11,0.0,Wesleyan,41,0.0,1
1/21/2026,Frostburg,41,0.0,Wesleyan,31,0.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,60,0.0,Wesleyan,70,2.0,1
1/21/2026,Frostburg,31,3.0,Wesleyan,31,0.0,1
1/21/2026,Frostburg,31,0.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,60,2.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,30,2.0,1
1/21/2026,Frostburg,31/60,0.0,Wesleyan,11,0.0,1
1/21/2026,Frostburg,61,3.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,41,0.0,Wesleyan,31/11,0.0,1
1/21/2026,Frostburg,70,1.0,Wesleyan,11,0.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,31/61,2.0,1
1/21/2026,Frostburg,61,2.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,110,4.0,Wesleyan,31,2.0,1
1/21/2026,Frostburg,0,0.0,Wesleyan,11,0.0,1
1/21/2026,Frostburg,61,2.0,Wesleyan,41,0.0,1
1/21/2026,Frostburg,70,2.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,70,2.0,Wesleyan,11/41,0.0,1
1/21/2026,Frostburg,70,2.0,Wesleyan,41,3.0,1
1/21/2026,Frostburg,31,0.0,Wesleyan,31,0.0,1
1/21/2026,Frostburg,40,0.0,Wesleyan,61,2.0,1
1/21/2026,Frostburg,41/70,2.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,60,2.0,Wesleyan,0,0.0,1
1/21/2026,Frostburg,61/60,2.0,Wesleyan,11,0.0,1
1/21/2026,Frostburg,31,0.0,Wesleyan,,,1
1/21/2026,Frostburg,41,3.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,0,0.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,61,2.0,Wesleyan,41,3.0,2
1/21/2026,Frostburg,40,3.0,Wesleyan,11/0,0.0,2
1/21/2026,Frostburg,61/60,2.0,Wesleyan,61,0.0,2
1/21/2026,Frostburg,40,3.0,Wesleyan,31,2.0,2
1/21/2026,Frostburg,11,0.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,70,2.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,0,0.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,31,0.0,Wesleyan,31,2.0,2
1/21/2026,Frostburg,70,2.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,31,0.0,Wesleyan,70,2.0,2
1/21/2026,Frostburg,41,3.0,Wesleyan,31,3.0,2
1/21/2026,Frostburg,31,3.0,Wesleyan,0,0.0,2
1/21/2026,Frostburg,70,1.0,Wesleyan,60,0.0,2
1/21/2026,Frostburg,11,0.0,Wesleyan,41/0,0.0,2
1/21/2026,Frostburg,60,2.0,Wesleyan,31/31,2.0,2
1/21/2026,Frostburg,70,1.0,Wesleyan,41,2.0,2
1/21/2026,Frostburg,41,0.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,70,2.0,Wesleyan,70,2.0,2
1/21/2026,Frostburg,60,2.0,Wesleyan,70,2.0,2
1/21/2026,Frostburg,70,3.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,31/61,2.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,60,2.0,Wesleyan,31,3.0,2
1/21/2026,Frostburg,31,0.0,Wesleyan,60,2.0,2
1/21/2026,Frostburg,61,2.0,Wesleyan,0,0.0,2
1/21/2026,Frostburg,70,2.0,Wesleyan,30,0.0,2
1/21/2026,Frostburg,60,2.0,Wesleyan,60,2.0,2
1/21/2026,Frostburg,0,0.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,60,2.0,Wesleyan,70,3.0,2
1/21/2026,Frostburg,41,0.0,Wesleyan,31/31/70,2.0,2
1/21/2026,Frostburg,11/61,2.0,Wesleyan,61,2.0,2
1/21/2026,Frostburg,31,3.0,Wesleyan,11/30,0.0,2
1/21/2026,Frostburg,61,2.0,Wesleyan,60,2.0,2
1/21/2026,Frostburg,31,2.0,Wesleyan,41,0.0,2
1/21/2026,Frostburg,30,2.0,Wesleyan,41,0.0,2
1/21/2026,Frostburg,70,2.0,Wesleyan,31,0.0,2
1/21/2026,Frostburg,31,2.0,Wesleyan,70,2.0,2
1/21/2026,Frostburg,40,0.0,Wesleyan,60,2.0,2
1/21/2026,Frostburg,61/11,0.0,Wesleyan,61,2.0,2
