Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/11/2026,Frostburg,11/60,2.0,West Liberty,61,0.0,1
2/11/2026,Frostburg,41,3.0,West Liberty,61,2.0,1
2/11/2026,Frostburg,60,2.0,West Liberty,41,0.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,60,2.0,1
2/11/2026,Frostburg,41,3.0,West Liberty,41,0.0,1
2/11/2026,Frostburg,31,0.0,West Liberty,11/70,1.0,1
2/11/2026,Frostburg,61,2.0,West Liberty,61,2.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,41,3.0,1
2/11/2026,Frostburg,70,2.0,West Liberty,31/41,0.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,70,2.0,1
2/11/2026,Frostburg,40,0.0,West Liberty,0,0.0,1
2/11/2026,Frostburg,61,2.0,West Liberty,60,2.0,1
2/11/2026,Frostburg,40,3.0,West Liberty,11,0.0,1
2/11/2026,Frostburg,41,0.0,West Liberty,41,0.0,1
2/11/2026,Frostburg,60,2.0,West Liberty,60,0.0,1
2/11/2026,Frostburg,41,3.0,West Liberty,61,2.0,1
2/11/2026,Frostburg,61,2.0,West Liberty,0,0.0,1
2/11/2026,Frostburg,70,2.0,West Liberty,60,2.0,1
2/11/2026,Frostburg,60,2.0,West Liberty,31,0.0,1
2/11/2026,Frostburg,60,2.0,West Liberty,41,3.0,1
2/11/2026,Frostburg,31,0.0,West Liberty,60,2.0,1
2/11/2026,Frostburg,11,2.0,West Liberty,31/70,1.0,1
2/11/2026,Frostburg,41,3.0,West Liberty,61/61/11,0.0,1
2/11/2026,Frostburg,40,2.0,West Liberty,60,2.0,1
2/11/2026,Frostburg,41,3.0,West Liberty,61,2.0,1
2/11/2026,Frostburg,70,2.0,West Liberty,70,3.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,61,2.0,1
2/11/2026,Frostburg,11/60,2.0,West Liberty,41,3.0,1
2/11/2026,Frostburg,31,0.0,West Liberty,70,2.0,1
2/11/2026,Frostburg,,,West Liberty,/70,1.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,41,3.0,1
2/11/2026,Frostburg,41,0.0,West Liberty,31,0.0,1
2/11/2026,Frostburg,0,0.0,West Liberty,0,0.0,1
