Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,Frostburg,11,0.0,Wheeling,31/11/31,0.0,1
1/10/2026,Frostburg,60,2.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,70,2.0,Wheeling,60,3.0,1
1/10/2026,Frostburg,0,0.0,Wheeling,41/31/11/31,0.0,1
1/10/2026,Frostburg,31,2.0,Wheeling,41,3.0,1
1/10/2026,Frostburg,11,0.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,11,0.0,Wheeling,31/60,2.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,61,3.0,1
1/10/2026,Frostburg,0,0.0,Wheeling,70,3.0,1
1/10/2026,Frostburg,31,3.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,61,2.0,Wheeling,70,2.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,61,2.0,1
1/10/2026,Frostburg,31,2.0,Wheeling,61,3.0,1
1/10/2026,Frostburg,41,2.0,Wheeling,41,0.0,1
1/10/2026,Frostburg,31,2.0,Wheeling,41,3.0,1
1/10/2026,Frostburg,70,3.0,Wheeling,11,2.0,1
1/10/2026,Frostburg,31,2.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,41/41,3.0,Wheeling,11,2.0,1
1/10/2026,Frostburg,61,2.0,Wheeling,61,3.0,1
1/10/2026,Frostburg,11,0.0,Wheeling,11/31,0.0,1
1/10/2026,Frostburg,0,0.0,Wheeling,70,1.0,1
1/10/2026,Frostburg,70,2.0,Wheeling,70,2.0,1
1/10/2026,Frostburg,60,2.0,Wheeling,60,2.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,41/11,0.0,1
1/10/2026,Frostburg,40/70,2.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,0,0.0,Wheeling,61/41,3.0,1
1/10/2026,Frostburg,41,0.0,Wheeling,61,2.0,1
1/10/2026,Frostburg,41,3.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,0,0.0,Wheeling,70,2.0,1
1/10/2026,Frostburg,11/70,1.0,Wheeling,60,3.0,1
1/10/2026,Frostburg,31,3.0,Wheeling,41,3.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,0,0.0,1
1/10/2026,Frostburg,31/61,2.0,Wheeling,70,2.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,70,1.0,1
1/10/2026,Frostburg,31/70,3.0,Wheeling,61,3.0,1
1/10/2026,Frostburg,70,2.0,Wheeling,41/41,3.0,1
1/10/2026,Frostburg,31,0.0,Wheeling,61,0.0,1
1/10/2026,Frostburg,70,2.0,Wheeling,31,3.0,1
1/10/2026,Frostburg,70,2.0,Wheeling,31,2.0,1
1/10/2026,Frostburg,11,0.0,Wheeling,,,1
1/10/2026,Frostburg,,,Wheeling,0,0.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,70,1.0,2
1/10/2026,Frostburg,,,Wheeling,/11,0.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,11,0.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,41,3.0,2
1/10/2026,Frostburg,41,3.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,30,0.0,Wheeling,70,3.0,2
1/10/2026,Frostburg,70,2.0,Wheeling,61,2.0,2
1/10/2026,Frostburg,41,0.0,Wheeling,60,2.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,70,2.0,2
1/10/2026,Frostburg,41,3.0,Wheeling,61,2.0,2
1/10/2026,Frostburg,61/41,3.0,Wheeling,11/60,2.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,11/41/41,3.0,2
1/10/2026,Frostburg,11,0.0,Wheeling,61,0.0,2
1/10/2026,Frostburg,41,3.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,60,2.0,Wheeling,41/41,2.0,2
1/10/2026,Frostburg,70,2.0,Wheeling,31,0.0,2
1/10/2026,Frostburg,11,0.0,Wheeling,60,2.0,2
1/10/2026,Frostburg,41,3.0,Wheeling,31,0.0,2
1/10/2026,Frostburg,61,2.0,Wheeling,70,2.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,31/41/60,2.0,2
1/10/2026,Frostburg,41,3.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,40,0.0,2
1/10/2026,Frostburg,11/0,0.0,Wheeling,70,2.0,2
1/10/2026,Frostburg,31/0,0.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,61,2.0,Wheeling,11/0,0.0,2
1/10/2026,Frostburg,60,0.0,Wheeling,60,2.0,2
1/10/2026,Frostburg,70,2.0,Wheeling,11,0.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,61,0.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,31,2.0,2
1/10/2026,Frostburg,11/60,2.0,Wheeling,60,2.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,61,2.0,2
1/10/2026,Frostburg,11/11/70,0.0,Wheeling,,,2
1/10/2026,Frostburg,/31/41,2.0,Wheeling,31,2.0,2
1/10/2026,Frostburg,41,0.0,Wheeling,31/0,0.0,2
1/10/2026,Frostburg,70,0.0,Wheeling,60,2.0,2
1/10/2026,Frostburg,0,0.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,70,2.0,Wheeling,41,3.0,2
1/10/2026,Frostburg,31,0.0,Wheeling,60,0.0,2
1/10/2026,Frostburg,61/61,2.0,Wheeling,70,1.0,2
1/10/2026,Frostburg,31,3.0,Wheeling,31,0.0,2
1/10/2026,Frostburg,70,1.0,Wheeling,41,3.0,2
1/10/2026,Frostburg,31,2.0,Wheeling,31,2.0,2
1/10/2026,Frostburg,40,3.0,Wheeling,0,0.0,2
1/10/2026,Frostburg,41,0.0,Wheeling,60,0.0,2
1/10/2026,Frostburg,40,0.0,Wheeling,70,1.0,2
