Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/25/2026,Glenville,,,Charleston,60,2.0,1
2/25/2026,Glenville,31,0.0,Charleston,41,2.0,1
2/25/2026,Glenville,31,0.0,Charleston,31,3.0,1
2/25/2026,Glenville,0,0.0,Charleston,0,0.0,1
2/25/2026,Glenville,61,2.0,Charleston,41,0.0,1
2/25/2026,Glenville,0,0.0,Charleston,31,3.0,1
2/25/2026,Glenville,41/31,2.0,Charleston,0,0.0,1
2/25/2026,Glenville,31,2.0,Charleston,40,3.0,1
2/25/2026,Glenville,,,Charleston,70,1.0,1
2/25/2026,Glenville,41/0,0.0,Charleston,0,0.0,1
2/25/2026,Glenville,61,2.0,Charleston,31/0,0.0,1
2/25/2026,Glenville,70,2.0,Charleston,31,0.0,1
2/25/2026,Glenville,41,3.0,Charleston,31,0.0,1
2/25/2026,Glenville,40,0.0,Charleston,41,0.0,1
2/25/2026,Glenville,31,2.0,Charleston,61,2.0,1
2/25/2026,Glenville,11,0.0,Charleston,41,0.0,1
2/25/2026,Glenville,70,2.0,Charleston,41,3.0,1
2/25/2026,Glenville,31,0.0,Charleston,41,0.0,1
2/25/2026,Glenville,0,0.0,Charleston,60,2.0,1
2/25/2026,Glenville,0,0.0,Charleston,60/41,3.0,1
2/25/2026,Glenville,110,2.0,Charleston,41,3.0,1
2/25/2026,Glenville,11/41,0.0,Charleston,41/41,0.0,1
2/25/2026,Glenville,31,3.0,Charleston,60,2.0,1
2/25/2026,Glenville,41/61,3.0,Charleston,31,0.0,1
2/25/2026,Glenville,31,0.0,Charleston,41,0.0,1
2/25/2026,Glenville,11,0.0,Charleston,60,0.0,1
2/25/2026,Glenville,41,0.0,Charleston,0,0.0,1
2/25/2026,Glenville,41,3.0,Charleston,0,0.0,1
2/25/2026,Glenville,11/61,2.0,Charleston,61,0.0,1
2/25/2026,Glenville,0,0.0,Charleston,70,1.0,1
2/25/2026,Glenville,11/31,0.0,Charleston,60,3.0,1
2/25/2026,Glenville,31,2.0,Charleston,0,0.0,1
2/25/2026,Glenville,41,0.0,Charleston,41,0.0,1
2/25/2026,Glenville,11,0.0,Charleston,11,2.0,1
2/25/2026,Glenville,70,2.0,Charleston,0,0.0,1
2/25/2026,Glenville,70,1.0,Charleston,,,1
2/25/2026,Glenville,0,0.0,Charleston,41,3.0,2
2/25/2026,Glenville,41,0.0,Charleston,61,2.0,2
2/25/2026,Glenville,70,0.0,Charleston,61/61/31,0.0,2
2/25/2026,Glenville,31,3.0,Charleston,61/0,0.0,2
2/25/2026,Glenville,31/31,0.0,Charleston,41,0.0,2
2/25/2026,Glenville,11/61,2.0,Charleston,60,3.0,2
2/25/2026,Glenville,31/70,2.0,Charleston,40,3.0,2
2/25/2026,Glenville,0,0.0,Charleston,70,2.0,2
2/25/2026,Glenville,60,2.0,Charleston,41,0.0,2
2/25/2026,Glenville,31/61/0,0.0,Charleston,0,0.0,2
2/25/2026,Glenville,61/61,2.0,Charleston,41,0.0,2
2/25/2026,Glenville,70,3.0,Charleston,41,3.0,2
2/25/2026,Glenville,61,0.0,Charleston,11,0.0,2
2/25/2026,Glenville,41,3.0,Charleston,70,1.0,2
2/25/2026,Glenville,31/70,3.0,Charleston,11,0.0,2
2/25/2026,Glenville,60,2.0,Charleston,61/61/70,3.0,2
2/25/2026,Glenville,41,0.0,Charleston,60,2.0,2
2/25/2026,Glenville,31,3.0,Charleston,41,0.0,2
2/25/2026,Glenville,70,1.0,Charleston,70,1.0,2
2/25/2026,Glenville,70,1.0,Charleston,70,3.0,2
2/25/2026,Glenville,0,0.0,Charleston,61,2.0,2
2/25/2026,Glenville,31,2.0,Charleston,41,3.0,2
2/25/2026,Glenville,11,0.0,Charleston,0,0.0,2
2/25/2026,Glenville,11,0.0,Charleston,41,3.0,2
2/25/2026,Glenville,31,0.0,Charleston,41,0.0,2
2/25/2026,Glenville,61/70,2.0,Charleston,0,0.0,2
2/25/2026,Glenville,0,0.0,Charleston,0,0.0,2
2/25/2026,Glenville,0,0.0,Charleston,31,0.0,2
2/25/2026,Glenville,41,0.0,Charleston,11/60,0.0,2
2/25/2026,Glenville,41,3.0,Charleston,41/61,3.0,2
2/25/2026,Glenville,31,3.0,Charleston,31/70,0.0,2
2/25/2026,Glenville,11,0.0,Charleston,31/31,0.0,2
2/25/2026,Glenville,0,0.0,Charleston,41,0.0,3
2/25/2026,Glenville,31/41,0.0,Charleston,31,0.0,3
2/25/2026,Glenville,31,2.0,Charleston,41,3.0,3
2/25/2026,Glenville,41,0.0,Charleston,31,0.0,3
2/25/2026,Glenville,0,0.0,Charleston,61,0.0,3
2/25/2026,Glenville,60,2.0,Charleston,61,2.0,3
2/25/2026,Glenville,70,2.0,Charleston,70,2.0,3
2/25/2026,Glenville,,,Charleston,70,0.0,3
