Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/28/2026,Glenville,0,0.0,Concord,31,0.0,1
2/28/2026,Glenville,61,2.0,Concord,11,0.0,1
2/28/2026,Glenville,31,0.0,Concord,60,3.0,1
2/28/2026,Glenville,31,2.0,Concord,41,3.0,1
2/28/2026,Glenville,70,2.0,Concord,60,2.0,1
2/28/2026,Glenville,30,2.0,Concord,41,3.0,1
2/28/2026,Glenville,61,2.0,Concord,41,3.0,1
2/28/2026,Glenville,11,0.0,Concord,41,3.0,1
2/28/2026,Glenville,0,0.0,Concord,41,0.0,1
2/28/2026,Glenville,61,2.0,Concord,0,0.0,1
2/28/2026,Glenville,41,2.0,Concord,0,0.0,1
2/28/2026,Glenville,31,3.0,Concord,31,3.0,1
2/28/2026,Glenville,40,0.0,Concord,30,0.0,1
2/28/2026,Glenville,60,0.0,Concord,11/70,2.0,1
2/28/2026,Glenville,70,2.0,Concord,31,0.0,1
2/28/2026,Glenville,11,0.0,Concord,70,2.0,1
2/28/2026,Glenville,31,0.0,Concord,31,0.0,1
2/28/2026,Glenville,41,3.0,Concord,61/61,2.0,1
2/28/2026,Glenville,30,0.0,Concord,41,0.0,1
2/28/2026,Glenville,31,3.0,Concord,40,3.0,1
2/28/2026,Glenville,31/60,2.0,Concord,31,0.0,1
2/28/2026,Glenville,0,0.0,Concord,60,2.0,1
2/28/2026,Glenville,30,0.0,Concord,31,2.0,1
2/28/2026,Glenville,61,2.0,Concord,70,2.0,1
2/28/2026,Glenville,41,0.0,Concord,11,0.0,1
2/28/2026,Glenville,60,2.0,Concord,41,3.0,1
2/28/2026,Glenville,0,0.0,Concord,0,0.0,1
2/28/2026,Glenville,31,0.0,Concord,60/60,2.0,1
2/28/2026,Glenville,11,2.0,Concord,60,3.0,1
2/28/2026,Glenville,41,0.0,Concord,0,0.0,1
2/28/2026,Glenville,41,0.0,Concord,41,0.0,1
2/28/2026,Glenville,31,2.0,Concord,31,0.0,1
2/28/2026,Glenville,41/31,0.0,Concord,61,2.0,1
2/28/2026,Glenville,41,2.0,Concord,0,0.0,1
2/28/2026,Glenville,61,0.0,Concord,41/60,2.0,1
2/28/2026,Glenville,0,0.0,Concord,0,0.0,1
2/28/2026,Glenville,60,2.0,Concord,70,1.0,1
2/28/2026,Glenville,41/41,0.0,Concord,11/31,3.0,1
2/28/2026,Glenville,31,0.0,Concord,11,0.0,2
2/28/2026,Glenville,31,0.0,Concord,41,3.0,2
2/28/2026,Glenville,61,2.0,Concord,31,2.0,2
2/28/2026,Glenville,31,0.0,Concord,61,0.0,2
2/28/2026,Glenville,60,2.0,Concord,30/41,0.0,2
2/28/2026,Glenville,41/60,2.0,Concord,70,2.0,2
2/28/2026,Glenville,31,3.0,Concord,41,2.0,2
2/28/2026,Glenville,41,3.0,Concord,0,0.0,2
2/28/2026,Glenville,70,2.0,Concord,31,2.0,2
2/28/2026,Glenville,11,0.0,Concord,11,0.0,2
2/28/2026,Glenville,41,0.0,Concord,41,3.0,2
2/28/2026,Glenville,61,2.0,Concord,0,0.0,2
2/28/2026,Glenville,60/61,2.0,Concord,31,3.0,2
2/28/2026,Glenville,61,2.0,Concord,31,0.0,2
2/28/2026,Glenville,11/30/61,2.0,Concord,70,2.0,2
2/28/2026,Glenville,60,2.0,Concord,0,0.0,2
2/28/2026,Glenville,11,0.0,Concord,41,3.0,2
2/28/2026,Glenville,60,0.0,Concord,40/60,3.0,2
2/28/2026,Glenville,30,2.0,Concord,11/61,2.0,2
2/28/2026,Glenville,41/70,2.0,Concord,0,0.0,2
2/28/2026,Glenville,70,2.0,Concord,11,0.0,2
2/28/2026,Glenville,41,3.0,Concord,40,3.0,2
2/28/2026,Glenville,40,3.0,Concord,61,2.0,2
2/28/2026,Glenville,11,2.0,Concord,0,0.0,2
2/28/2026,Glenville,0,0.0,Concord,61,2.0,2
2/28/2026,Glenville,60,0.0,Concord,11,0.0,2
2/28/2026,Glenville,41,0.0,Concord,61,2.0,2
2/28/2026,Glenville,41,3.0,Concord,41/31/41,0.0,2
2/28/2026,Glenville,31,0.0,Concord,41,0.0,2
2/28/2026,Glenville,31,0.0,Concord,41,0.0,2
2/28/2026,Glenville,41/70,0.0,Concord,41,0.0,2
2/28/2026,Glenville,61,2.0,Concord,30,2.0,2
2/28/2026,Glenville,11,0.0,Concord,0,0.0,2
2/28/2026,Glenville,31,3.0,Concord,11/41,0.0,2
2/28/2026,Glenville,41/31,3.0,Concord,41,0.0,2
2/28/2026,Glenville,110,2.0,Concord,31,0.0,2
