Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/10/2025,Glenville,30,0.0,Fairmont,0,0.0,1
12/10/2025,Glenville,31,2.0,Fairmont,70,2.0,1
12/10/2025,Glenville,30,2.0,Fairmont,61,2.0,1
12/10/2025,Glenville,31,0.0,Fairmont,40,0.0,1
12/10/2025,Glenville,0,0.0,Fairmont,31/61/61,2.0,1
12/10/2025,Glenville,41,0.0,Fairmont,60,2.0,1
12/10/2025,Glenville,61,2.0,Fairmont,61,2.0,1
12/10/2025,Glenville,61,2.0,Fairmont,70,2.0,1
12/10/2025,Glenville,61,2.0,Fairmont,31,0.0,1
12/10/2025,Glenville,0,0.0,Fairmont,0,0.0,1
12/10/2025,Glenville,31/31,0.0,Fairmont,31,2.0,1
12/10/2025,Glenville,31,0.0,Fairmont,61,3.0,1
12/10/2025,Glenville,31,0.0,Fairmont,60,2.0,1
12/10/2025,Glenville,31,3.0,Fairmont,41,3.0,1
12/10/2025,Glenville,11,0.0,Fairmont,0,0.0,1
12/10/2025,Glenville,31,0.0,Fairmont,70,1.0,1
12/10/2025,Glenville,41,0.0,Fairmont,31,3.0,1
12/10/2025,Glenville,31,2.0,Fairmont,0,0.0,1
12/10/2025,Glenville,60,2.0,Fairmont,31,3.0,1
12/10/2025,Glenville,41,3.0,Fairmont,31,0.0,1
12/10/2025,Glenville,11/0,0.0,Fairmont,40,3.0,1
12/10/2025,Glenville,0,0.0,Fairmont,60,3.0,1
12/10/2025,Glenville,0,0.0,Fairmont,31,0.0,1
12/10/2025,Glenville,0,0.0,Fairmont,31,0.0,1
12/10/2025,Glenville,11,0.0,Fairmont,31/70,1.0,1
12/10/2025,Glenville,70,1.0,Fairmont,,,1
12/10/2025,Glenville,/61,2.0,Fairmont,61,2.0,1
12/10/2025,Glenville,31,0.0,Fairmont,70,1.0,1
12/10/2025,Glenville,70,3.0,Fairmont,30,2.0,1
12/10/2025,Glenville,70,0.0,Fairmont,0,0.0,1
12/10/2025,Glenville,31,3.0,Fairmont,70,0.0,1
12/10/2025,Glenville,0,0.0,Fairmont,61/61,0.0,1
12/10/2025,Glenville,61/60,0.0,Fairmont,31,0.0,1
12/10/2025,Glenville,31/41,0.0,Fairmont,70,2.0,1
12/10/2025,Glenville,70,1.0,Fairmont,70,3.0,1
12/10/2025,Glenville,11,0.0,Fairmont,41,0.0,1
12/10/2025,Glenville,0,0.0,Fairmont,31,2.0,1
12/10/2025,Glenville,0,0.0,Fairmont,30/61,2.0,1
12/10/2025,Glenville,31,0.0,Fairmont,,,1
12/10/2025,Glenville,70,2.0,Fairmont,41,0.0,2
12/10/2025,Glenville,41,3.0,Fairmont,31,0.0,2
12/10/2025,Glenville,60,2.0,Fairmont,31,2.0,2
12/10/2025,Glenville,60,3.0,Fairmont,31,2.0,2
12/10/2025,Glenville,0,0.0,Fairmont,0,0.0,2
12/10/2025,Glenville,60,0.0,Fairmont,31,0.0,2
12/10/2025,Glenville,61,0.0,Fairmont,40,0.0,2
12/10/2025,Glenville,61,2.0,Fairmont,61,0.0,2
12/10/2025,Glenville,41,0.0,Fairmont,0,0.0,2
12/10/2025,Glenville,0,0.0,Fairmont,61/70,3.0,2
12/10/2025,Glenville,31,2.0,Fairmont,41,0.0,2
12/10/2025,Glenville,0,0.0,Fairmont,60/70,2.0,2
12/10/2025,Glenville,61,2.0,Fairmont,31,0.0,2
12/10/2025,Glenville,60,2.0,Fairmont,61,2.0,2
12/10/2025,Glenville,61,0.0,Fairmont,31,0.0,2
12/10/2025,Glenville,41,0.0,Fairmont,11/31,0.0,2
12/10/2025,Glenville,61,0.0,Fairmont,61,3.0,2
12/10/2025,Glenville,31,2.0,Fairmont,70,2.0,2
12/10/2025,Glenville,70,2.0,Fairmont,31,0.0,2
12/10/2025,Glenville,0,0.0,Fairmont,31,0.0,2
12/10/2025,Glenville,0,0.0,Fairmont,70,1.0,2
12/10/2025,Glenville,41,0.0,Fairmont,60,2.0,2
12/10/2025,Glenville,70,2.0,Fairmont,31,0.0,2
12/10/2025,Glenville,31,2.0,Fairmont,41/0,0.0,2
12/10/2025,Glenville,61,3.0,Fairmont,61,2.0,2
12/10/2025,Glenville,0,0.0,Fairmont,0,0.0,2
12/10/2025,Glenville,60,3.0,Fairmont,61,0.0,2
12/10/2025,Glenville,11/31,2.0,Fairmont,31,0.0,2
12/10/2025,Glenville,70,2.0,Fairmont,31,2.0,2
12/10/2025,Glenville,31,0.0,Fairmont,41,3.0,2
12/10/2025,Glenville,31,0.0,Fairmont,31,3.0,2
12/10/2025,Glenville,0,0.0,Fairmont,41,0.0,2
12/10/2025,Glenville,70,0.0,Fairmont,11,0.0,2
12/10/2025,Glenville,41,3.0,Fairmont,60/70,3.0,2
12/10/2025,Glenville,31,3.0,Fairmont,41/31/60,2.0,2
12/10/2025,Glenville,41,0.0,Fairmont,70,2.0,2
12/10/2025,Glenville,31/31/40,3.0,Fairmont,60,2.0,2
12/10/2025,Glenville,31,0.0,Fairmont,,,2
