Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/28/2026,Glenville,,,Frostburg,61,2.0,1
1/28/2026,Glenville,61,0.0,Frostburg,11,0.0,1
1/28/2026,Glenville,61,3.0,Frostburg,0,0.0,1
1/28/2026,Glenville,70,2.0,Frostburg,0,0.0,1
1/28/2026,Glenville,31,0.0,Frostburg,70,2.0,1
1/28/2026,Glenville,61,0.0,Frostburg,31/60,0.0,1
1/28/2026,Glenville,70,2.0,Frostburg,0,0.0,1
1/28/2026,Glenville,40,0.0,Frostburg,41,3.0,1
1/28/2026,Glenville,61,2.0,Frostburg,41,0.0,1
1/28/2026,Glenville,11,0.0,Frostburg,31/31,0.0,1
1/28/2026,Glenville,61,2.0,Frostburg,11,0.0,1
1/28/2026,Glenville,0,0.0,Frostburg,70,1.0,1
1/28/2026,Glenville,41,2.0,Frostburg,11/70,2.0,1
1/28/2026,Glenville,61,2.0,Frostburg,61,2.0,1
1/28/2026,Glenville,31,0.0,Frostburg,60,0.0,1
1/28/2026,Glenville,41,3.0,Frostburg,41,0.0,1
1/28/2026,Glenville,60,2.0,Frostburg,0,0.0,1
1/28/2026,Glenville,11,0.0,Frostburg,70,2.0,1
1/28/2026,Glenville,41,0.0,Frostburg,11,0.0,1
1/28/2026,Glenville,11,0.0,Frostburg,11,0.0,1
1/28/2026,Glenville,61,2.0,Frostburg,41,3.0,1
1/28/2026,Glenville,41/61,2.0,Frostburg,61,2.0,1
1/28/2026,Glenville,31,0.0,Frostburg,11,2.0,1
1/28/2026,Glenville,41,0.0,Frostburg,11,0.0,1
1/28/2026,Glenville,31,0.0,Frostburg,11,0.0,1
1/28/2026,Glenville,60,2.0,Frostburg,11,0.0,1
1/28/2026,Glenville,41,3.0,Frostburg,0,0.0,1
1/28/2026,Glenville,40,0.0,Frostburg,41,0.0,1
1/28/2026,Glenville,61,2.0,Frostburg,31,0.0,1
1/28/2026,Glenville,70,2.0,Frostburg,70,1.0,1
1/28/2026,Glenville,,,Frostburg,/0,0.0,1
1/28/2026,Glenville,60,2.0,Frostburg,41,0.0,1
1/28/2026,Glenville,61/61,2.0,Frostburg,31/70,2.0,1
1/28/2026,Glenville,41,0.0,Frostburg,41/31,3.0,1
1/28/2026,Glenville,31,0.0,Frostburg,40,0.0,1
1/28/2026,Glenville,31/11,0.0,Frostburg,41,0.0,1
1/28/2026,Glenville,11,2.0,Frostburg,0,0.0,1
1/28/2026,Glenville,60,0.0,Frostburg,30,2.0,1
1/28/2026,Glenville,30,0.0,Frostburg,11/61,2.0,1
1/28/2026,Glenville,,,Frostburg,0,0.0,2
1/28/2026,Glenville,61,2.0,Frostburg,31,3.0,2
1/28/2026,Glenville,41,2.0,Frostburg,31,0.0,2
1/28/2026,Glenville,70,2.0,Frostburg,61,3.0,2
1/28/2026,Glenville,60,2.0,Frostburg,41/40,3.0,2
1/28/2026,Glenville,70,1.0,Frostburg,,,2
1/28/2026,Glenville,60,2.0,Frostburg,41,0.0,2
1/28/2026,Glenville,31,0.0,Frostburg,41,3.0,2
1/28/2026,Glenville,41,3.0,Frostburg,41,0.0,2
1/28/2026,Glenville,31,0.0,Frostburg,0,0.0,2
1/28/2026,Glenville,60,2.0,Frostburg,0,0.0,2
1/28/2026,Glenville,30/30,0.0,Frostburg,31,2.0,2
1/28/2026,Glenville,31,2.0,Frostburg,30,0.0,2
1/28/2026,Glenville,61,2.0,Frostburg,40,3.0,2
1/28/2026,Glenville,31/70,1.0,Frostburg,31,0.0,2
1/28/2026,Glenville,31,0.0,Frostburg,0,0.0,2
1/28/2026,Glenville,70,1.0,Frostburg,31,0.0,2
1/28/2026,Glenville,31/60,2.0,Frostburg,40,0.0,2
1/28/2026,Glenville,11/61,2.0,Frostburg,0,0.0,2
1/28/2026,Glenville,60,2.0,Frostburg,61,2.0,2
1/28/2026,Glenville,41,0.0,Frostburg,31/70,2.0,2
1/28/2026,Glenville,61,2.0,Frostburg,0,0.0,2
1/28/2026,Glenville,0,0.0,Frostburg,70,2.0,2
1/28/2026,Glenville,40,3.0,Frostburg,41/0,0.0,2
1/28/2026,Glenville,61,2.0,Frostburg,31,0.0,2
1/28/2026,Glenville,61,2.0,Frostburg,0,0.0,2
1/28/2026,Glenville,70,2.0,Frostburg,41,0.0,2
1/28/2026,Glenville,41,0.0,Frostburg,31,0.0,2
1/28/2026,Glenville,41,0.0,Frostburg,0,0.0,2
1/28/2026,Glenville,60,2.0,Frostburg,11/31,0.0,2
1/28/2026,Glenville,70,0.0,Frostburg,,,2
1/28/2026,Glenville,/70,2.0,Frostburg,41/31,2.0,2
1/28/2026,Glenville,31,0.0,Frostburg,41/31/60,2.0,2
1/28/2026,Glenville,41,3.0,Frostburg,31,2.0,2
1/28/2026,Glenville,60,2.0,Frostburg,40,0.0,2
1/28/2026,Glenville,41,3.0,Frostburg,61,2.0,2
1/28/2026,Glenville,31,0.0,Frostburg,41,3.0,2
1/28/2026,Glenville,31,0.0,Frostburg,60,0.0,2
1/28/2026,Glenville,11,0.0,Frostburg,41/60/31,0.0,2
1/28/2026,Glenville,60,2.0,Frostburg,70,2.0,2
1/28/2026,Glenville,31,0.0,Frostburg,40,0.0,2
1/28/2026,Glenville,30,0.0,Frostburg,,,2
