Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/3/2026,Glenville,41,0.0,Point Park,41,0.0,1
1/3/2026,Glenville,31,0.0,Point Park,0,0.0,1
1/3/2026,Glenville,41/41,3.0,Point Park,31,0.0,1
1/3/2026,Glenville,41,0.0,Point Park,60,3.0,1
1/3/2026,Glenville,0,0.0,Point Park,61/30,0.0,1
1/3/2026,Glenville,41,3.0,Point Park,0,0.0,1
1/3/2026,Glenville,31/60,2.0,Point Park,60,0.0,1
1/3/2026,Glenville,31,0.0,Point Park,31,0.0,1
1/3/2026,Glenville,60,0.0,Point Park,41,0.0,1
1/3/2026,Glenville,70,1.0,Point Park,41/70,2.0,1
1/3/2026,Glenville,61,2.0,Point Park,60,2.0,1
1/3/2026,Glenville,61,0.0,Point Park,11,0.0,1
1/3/2026,Glenville,61/70,1.0,Point Park,70,2.0,1
1/3/2026,Glenville,0,0.0,Point Park,61,2.0,1
1/3/2026,Glenville,41,2.0,Point Park,31/41,3.0,1
1/3/2026,Glenville,60,2.0,Point Park,31,0.0,1
1/3/2026,Glenville,70,3.0,Point Park,61,0.0,1
1/3/2026,Glenville,31/61,2.0,Point Park,31,2.0,1
1/3/2026,Glenville,41,3.0,Point Park,31,3.0,1
1/3/2026,Glenville,41,0.0,Point Park,30,0.0,1
1/3/2026,Glenville,60/61,2.0,Point Park,70,2.0,1
1/3/2026,Glenville,41/41,3.0,Point Park,61,3.0,1
1/3/2026,Glenville,40/60,2.0,Point Park,31,3.0,1
1/3/2026,Glenville,11,0.0,Point Park,11,0.0,1
1/3/2026,Glenville,31/61/31,0.0,Point Park,31/31,2.0,1
1/3/2026,Glenville,41,0.0,Point Park,31/31/60,0.0,1
1/3/2026,Glenville,31/61/61,2.0,Point Park,70,2.0,1
1/3/2026,Glenville,41,3.0,Point Park,0,0.0,1
1/3/2026,Glenville,31,3.0,Point Park,31,0.0,1
1/3/2026,Glenville,31,0.0,Point Park,11/31,3.0,1
1/3/2026,Glenville,31,0.0,Point Park,31,3.0,1
1/3/2026,Glenville,70,0.0,Point Park,31,2.0,1
1/3/2026,Glenville,31/31,3.0,Point Park,70,2.0,1
1/3/2026,Glenville,0,0.0,Point Park,,,1
1/3/2026,Glenville,41,3.0,Point Park,41,2.0,2
1/3/2026,Glenville,61/61,2.0,Point Park,41,2.0,2
1/3/2026,Glenville,31/61,2.0,Point Park,0,0.0,2
1/3/2026,Glenville,41,0.0,Point Park,40,0.0,2
1/3/2026,Glenville,41/61,3.0,Point Park,41,2.0,2
1/3/2026,Glenville,61,0.0,Point Park,31,0.0,2
1/3/2026,Glenville,61,2.0,Point Park,61,2.0,2
1/3/2026,Glenville,31/60,2.0,Point Park,60,0.0,2
1/3/2026,Glenville,61/70,2.0,Point Park,61/0,0.0,2
1/3/2026,Glenville,41,3.0,Point Park,0,0.0,2
1/3/2026,Glenville,41,0.0,Point Park,0,0.0,2
1/3/2026,Glenville,41,3.0,Point Park,61,2.0,2
1/3/2026,Glenville,41,0.0,Point Park,70,3.0,2
1/3/2026,Glenville,61/60,2.0,Point Park,31,3.0,2
1/3/2026,Glenville,41,3.0,Point Park,41,0.0,2
1/3/2026,Glenville,110,4.0,Point Park,30,3.0,2
1/3/2026,Glenville,0,0.0,Point Park,70,3.0,2
1/3/2026,Glenville,41,0.0,Point Park,61,3.0,2
1/3/2026,Glenville,61,2.0,Point Park,11,0.0,2
1/3/2026,Glenville,41/70,1.0,Point Park,0,0.0,2
1/3/2026,Glenville,41,3.0,Point Park,0,0.0,2
1/3/2026,Glenville,70,2.0,Point Park,,,2
1/3/2026,Glenville,31/0,0.0,Point Park,11,0.0,2
1/3/2026,Glenville,41/0,0.0,Point Park,60,2.0,2
1/3/2026,Glenville,41,2.0,Point Park,41,0.0,2
1/3/2026,Glenville,70,2.0,Point Park,11,0.0,2
1/3/2026,Glenville,61,3.0,Point Park,41/40,0.0,2
1/3/2026,Glenville,70,1.0,Point Park,31,0.0,2
1/3/2026,Glenville,40,0.0,Point Park,60,3.0,2
1/3/2026,Glenville,31,3.0,Point Park,0,0.0,2
1/3/2026,Glenville,0,0.0,Point Park,60,2.0,2
1/3/2026,Glenville,60,2.0,Point Park,0,0.0,2
1/3/2026,Glenville,11/61,2.0,Point Park,0,0.0,2
1/3/2026,Glenville,70,2.0,Point Park,0,0.0,2
1/3/2026,Glenville,31/61,2.0,Point Park,31,0.0,2
