Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/7/2026,Glenville,11,0.0,Salem,70,1.0,1
2/7/2026,Glenville,41/60,2.0,Salem,31,0.0,1
2/7/2026,Glenville,41,0.0,Salem,41,2.0,1
2/7/2026,Glenville,41,2.0,Salem,31/31/60,2.0,1
2/7/2026,Glenville,61,3.0,Salem,11/0,0.0,1
2/7/2026,Glenville,41,3.0,Salem,11/31,2.0,1
2/7/2026,Glenville,31,2.0,Salem,30,0.0,1
2/7/2026,Glenville,61,2.0,Salem,40,0.0,1
2/7/2026,Glenville,70,2.0,Salem,31/60,2.0,1
2/7/2026,Glenville,41/70,2.0,Salem,31,0.0,1
2/7/2026,Glenville,41,3.0,Salem,61,2.0,1
2/7/2026,Glenville,41,3.0,Salem,0,0.0,1
2/7/2026,Glenville,70,2.0,Salem,31,0.0,1
2/7/2026,Glenville,61,3.0,Salem,40,3.0,1
2/7/2026,Glenville,70,1.0,Salem,40,0.0,1
2/7/2026,Glenville,41,0.0,Salem,70,1.0,1
2/7/2026,Glenville,41/31,3.0,Salem,11/11,2.0,1
2/7/2026,Glenville,41,3.0,Salem,31/40/41,0.0,1
2/7/2026,Glenville,60,2.0,Salem,0,0.0,1
2/7/2026,Glenville,60,2.0,Salem,31,2.0,1
2/7/2026,Glenville,61,0.0,Salem,60,0.0,1
2/7/2026,Glenville,41,0.0,Salem,61,2.0,1
2/7/2026,Glenville,70,2.0,Salem,30,2.0,1
2/7/2026,Glenville,41,0.0,Salem,0,0.0,1
2/7/2026,Glenville,61,2.0,Salem,70,1.0,1
2/7/2026,Glenville,30,2.0,Salem,40,3.0,1
2/7/2026,Glenville,70,2.0,Salem,31/0,0.0,1
2/7/2026,Glenville,61,2.0,Salem,0,0.0,1
2/7/2026,Glenville,31/31,2.0,Salem,31,0.0,1
2/7/2026,Glenville,41,3.0,Salem,0,0.0,1
2/7/2026,Glenville,60,2.0,Salem,11/11,0.0,1
2/7/2026,Glenville,60,0.0,Salem,60,2.0,1
2/7/2026,Glenville,60,2.0,Salem,60,2.0,1
2/7/2026,Glenville,31,2.0,Salem,70,1.0,1
2/7/2026,Glenville,41,0.0,Salem,60,2.0,1
2/7/2026,Glenville,0,0.0,Salem,0,0.0,1
2/7/2026,Glenville,31,0.0,Salem,,,1
2/7/2026,Glenville,,,Salem,30,0.0,2
2/7/2026,Glenville,41/60,0.0,Salem,70,1.0,2
2/7/2026,Glenville,31/11,0.0,Salem,11,0.0,2
2/7/2026,Glenville,0,0.0,Salem,31,0.0,2
2/7/2026,Glenville,30,0.0,Salem,60,2.0,2
2/7/2026,Glenville,41,0.0,Salem,31/60,0.0,2
2/7/2026,Glenville,0,0.0,Salem,31,2.0,2
2/7/2026,Glenville,0,0.0,Salem,70,1.0,2
2/7/2026,Glenville,31/61,3.0,Salem,31,0.0,2
2/7/2026,Glenville,70,2.0,Salem,30,2.0,2
2/7/2026,Glenville,31,2.0,Salem,31/31,0.0,2
2/7/2026,Glenville,11,0.0,Salem,11,0.0,2
2/7/2026,Glenville,70,1.0,Salem,31,0.0,2
2/7/2026,Glenville,31,2.0,Salem,0,0.0,2
2/7/2026,Glenville,60,2.0,Salem,41,3.0,2
2/7/2026,Glenville,31/31/70,1.0,Salem,0,0.0,2
2/7/2026,Glenville,60,2.0,Salem,0,0.0,2
2/7/2026,Glenville,60,2.0,Salem,60,2.0,2
2/7/2026,Glenville,41,3.0,Salem,40/60,2.0,2
2/7/2026,Glenville,61,0.0,Salem,41,3.0,2
2/7/2026,Glenville,70,1.0,Salem,60,2.0,2
2/7/2026,Glenville,31,2.0,Salem,70,1.0,2
2/7/2026,Glenville,40,0.0,Salem,41,0.0,2
2/7/2026,Glenville,0,0.0,Salem,61/60,3.0,2
2/7/2026,Glenville,41,0.0,Salem,31,0.0,2
2/7/2026,Glenville,60,3.0,Salem,11/61,2.0,2
2/7/2026,Glenville,31,2.0,Salem,11,0.0,2
2/7/2026,Glenville,41,0.0,Salem,11/0,0.0,2
2/7/2026,Glenville,41,0.0,Salem,70,1.0,2
2/7/2026,Glenville,70,1.0,Salem,61,0.0,2
2/7/2026,Glenville,41/0,0.0,Salem,60/60,2.0,2
2/7/2026,Glenville,61,0.0,Salem,70,0.0,2
2/7/2026,Glenville,,,Salem,41,3.0,2
2/7/2026,Glenville,30,0.0,Salem,40,0.0,2
2/7/2026,Glenville,31,3.0,Salem,70,2.0,2
2/7/2026,Glenville,31/60,0.0,Salem,61,2.0,2
2/7/2026,Glenville,0,0.0,Salem,11,0.0,2
2/7/2026,Glenville,31,0.0,Salem,70,0.0,2
2/7/2026,Glenville,40,0.0,Salem,40,0.0,2
2/7/2026,Glenville,31,0.0,Salem,31,0.0,2
2/7/2026,Glenville,40,3.0,Salem,70,2.0,2
2/7/2026,Glenville,11/61,2.0,Salem,31/40,0.0,2
2/7/2026,Glenville,61,2.0,Salem,70,1.0,2
