Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/6/2025,Glenville,31,2.0,WVSU,11,0.0,1
12/6/2025,Glenville,31,3.0,WVSU,41,0.0,1
12/6/2025,Glenville,0,0.0,WVSU,0,0.0,1
12/6/2025,Glenville,61,3.0,WVSU,30,0.0,1
12/6/2025,Glenville,30,0.0,WVSU,41,3.0,1
12/6/2025,Glenville,41,0.0,WVSU,41,0.0,1
12/6/2025,Glenville,0,0.0,WVSU,60,2.0,1
12/6/2025,Glenville,31/60,2.0,WVSU,30,2.0,1
12/6/2025,Glenville,11,0.0,WVSU,31,0.0,1
12/6/2025,Glenville,61,0.0,WVSU,31,2.0,1
12/6/2025,Glenville,41,0.0,WVSU,110,3.0,1
12/6/2025,Glenville,41,0.0,WVSU,41,0.0,1
12/6/2025,Glenville,61/11,0.0,WVSU,60,2.0,1
12/6/2025,Glenville,61,2.0,WVSU,41,3.0,1
12/6/2025,Glenville,60,3.0,WVSU,31,0.0,1
12/6/2025,Glenville,60,3.0,WVSU,70,3.0,1
12/6/2025,Glenville,41,3.0,WVSU,40,3.0,1
12/6/2025,Glenville,31,0.0,WVSU,0,0.0,1
12/6/2025,Glenville,41,0.0,WVSU,31/31,2.0,1
12/6/2025,Glenville,31,0.0,WVSU,11,0.0,1
12/6/2025,Glenville,60,2.0,WVSU,40,3.0,1
12/6/2025,Glenville,40,3.0,WVSU,11/70,2.0,1
12/6/2025,Glenville,31,0.0,WVSU,11,0.0,1
12/6/2025,Glenville,70,2.0,WVSU,70,1.0,1
12/6/2025,Glenville,30/0,0.0,WVSU,61,0.0,1
12/6/2025,Glenville,70,3.0,WVSU,31,3.0,1
12/6/2025,Glenville,70,2.0,WVSU,30,0.0,1
12/6/2025,Glenville,11/60,2.0,WVSU,11,0.0,1
12/6/2025,Glenville,61,2.0,WVSU,31,0.0,1
12/6/2025,Glenville,70,2.0,WVSU,31,0.0,1
12/6/2025,Glenville,31,2.0,WVSU,0,0.0,1
12/6/2025,Glenville,0,0.0,WVSU,61,0.0,1
12/6/2025,Glenville,61,0.0,WVSU,70,2.0,1
12/6/2025,Glenville,30,2.0,WVSU,70,1.0,1
12/6/2025,Glenville,61,2.0,WVSU,61/41,0.0,1
12/6/2025,Glenville,41,3.0,WVSU,70,2.0,1
12/6/2025,Glenville,30,2.0,WVSU,41,0.0,1
12/6/2025,Glenville,31,0.0,WVSU,,,1
12/6/2025,Glenville,,,WVSU,30,2.0,2
12/6/2025,Glenville,11,0.0,WVSU,31,0.0,2
12/6/2025,Glenville,41,3.0,WVSU,31,0.0,2
12/6/2025,Glenville,31,0.0,WVSU,30,0.0,2
12/6/2025,Glenville,60,0.0,WVSU,61,2.0,2
12/6/2025,Glenville,60,0.0,WVSU,60,2.0,2
12/6/2025,Glenville,31,2.0,WVSU,61,2.0,2
12/6/2025,Glenville,60,2.0,WVSU,31,0.0,2
12/6/2025,Glenville,61,2.0,WVSU,0,0.0,2
12/6/2025,Glenville,60,2.0,WVSU,11,2.0,2
12/6/2025,Glenville,41/41/11,0.0,WVSU,31,2.0,2
12/6/2025,Glenville,61,0.0,WVSU,0,0.0,2
12/6/2025,Glenville,31,2.0,WVSU,0,0.0,2
12/6/2025,Glenville,31,0.0,WVSU,0,0.0,2
12/6/2025,Glenville,60,2.0,WVSU,61,2.0,2
12/6/2025,Glenville,31,2.0,WVSU,0,0.0,2
12/6/2025,Glenville,41/31/61,2.0,WVSU,31,3.0,2
12/6/2025,Glenville,0,0.0,WVSU,70,3.0,2
12/6/2025,Glenville,31,3.0,WVSU,31,3.0,2
12/6/2025,Glenville,31/11,0.0,WVSU,70,2.0,2
12/6/2025,Glenville,41,0.0,WVSU,70,1.0,2
12/6/2025,Glenville,70,3.0,WVSU,41,3.0,2
12/6/2025,Glenville,61,2.0,WVSU,31,3.0,2
12/6/2025,Glenville,30,2.0,WVSU,41,3.0,2
12/6/2025,Glenville,40,3.0,WVSU,41,0.0,2
12/6/2025,Glenville,31,0.0,WVSU,30,3.0,2
12/6/2025,Glenville,0,0.0,WVSU,31,0.0,2
12/6/2025,Glenville,30,0.0,WVSU,31,3.0,2
12/6/2025,Glenville,41,3.0,WVSU,11,2.0,2
12/6/2025,Glenville,31,2.0,WVSU,31,3.0,2
12/6/2025,Glenville,41/61,2.0,WVSU,0,0.0,2
12/6/2025,Glenville,31,0.0,WVSU,61,0.0,2
12/6/2025,Glenville,41,3.0,WVSU,110,3.0,2
12/6/2025,Glenville,31,3.0,WVSU,31,2.0,2
12/6/2025,Glenville,61,2.0,WVSU,110,0.0,2
12/6/2025,Glenville,41,0.0,WVSU,31,0.0,2
12/6/2025,Glenville,0,0.0,WVSU,0,0.0,2
12/6/2025,Glenville,41,2.0,WVSU,0,0.0,2
12/6/2025,Glenville,30,0.0,WVSU,60,2.0,2
