Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/10/2026,Glenville,31,2.0,Wesleyan,61,2.0,1
1/10/2026,Glenville,30,0.0,Wesleyan,0,0.0,1
1/10/2026,Glenville,60,2.0,Wesleyan,0,0.0,1
1/10/2026,Glenville,61/61,2.0,Wesleyan,11/31,0.0,1
1/10/2026,Glenville,41,3.0,Wesleyan,41,0.0,1
1/10/2026,Glenville,41,3.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,40,0.0,Wesleyan,61,2.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,0,0.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,30,0.0,1
1/10/2026,Glenville,60,2.0,Wesleyan,41,0.0,1
1/10/2026,Glenville,41,0.0,Wesleyan,41,3.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,70,1.0,1
1/10/2026,Glenville,41,3.0,Wesleyan,60,2.0,1
1/10/2026,Glenville,41,0.0,Wesleyan,60,0.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,60,2.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,41,0.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,11,0.0,1
1/10/2026,Glenville,70,3.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,61,0.0,Wesleyan,61,2.0,1
1/10/2026,Glenville,60,3.0,Wesleyan,41,2.0,1
1/10/2026,Glenville,60,2.0,Wesleyan,11,0.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,41,0.0,1
1/10/2026,Glenville,31/41,0.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,31,3.0,Wesleyan,61,2.0,1
1/10/2026,Glenville,60,2.0,Wesleyan,61,2.0,1
1/10/2026,Glenville,60,3.0,Wesleyan,0,0.0,1
1/10/2026,Glenville,60/61,2.0,Wesleyan,61/70,1.0,1
1/10/2026,Glenville,31,0.0,Wesleyan,30,2.0,1
1/10/2026,Glenville,11/61,2.0,Wesleyan,0,0.0,1
1/10/2026,Glenville,70,3.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,41,0.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,0,0.0,Wesleyan,60,2.0,1
1/10/2026,Glenville,31/60,2.0,Wesleyan,60,0.0,1
1/10/2026,Glenville,70,3.0,Wesleyan,41,0.0,1
1/10/2026,Glenville,31,2.0,Wesleyan,70,2.0,1
1/10/2026,Glenville,41,0.0,Wesleyan,70,2.0,1
1/10/2026,Glenville,31,2.0,Wesleyan,70,2.0,1
1/10/2026,Glenville,61,0.0,Wesleyan,31/70,2.0,1
1/10/2026,Glenville,31,2.0,Wesleyan,70,2.0,1
1/10/2026,Glenville,31,0.0,Wesleyan,31,0.0,1
1/10/2026,Glenville,11/61,2.0,Wesleyan,0,0.0,2
1/10/2026,Glenville,61,2.0,Wesleyan,61,2.0,2
1/10/2026,Glenville,30,2.0,Wesleyan,0,0.0,2
1/10/2026,Glenville,60,2.0,Wesleyan,31,0.0,2
1/10/2026,Glenville,31,3.0,Wesleyan,11,0.0,2
1/10/2026,Glenville,70,1.0,Wesleyan,40,3.0,2
1/10/2026,Glenville,31/61,0.0,Wesleyan,31,0.0,2
1/10/2026,Glenville,41/31,0.0,Wesleyan,41,2.0,2
1/10/2026,Glenville,61,2.0,Wesleyan,60,3.0,2
1/10/2026,Glenville,0,0.0,Wesleyan,0,0.0,2
1/10/2026,Glenville,31,0.0,Wesleyan,0,0.0,2
