Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/18/2026,Glenville,0,0.0,West Liberty,60,3.0,1
2/18/2026,Glenville,60,3.0,West Liberty,60,0.0,1
2/18/2026,Glenville,41/60,2.0,West Liberty,0,0.0,1
2/18/2026,Glenville,61,2.0,West Liberty,61,0.0,1
2/18/2026,Glenville,31/11,0.0,West Liberty,61,0.0,1
2/18/2026,Glenville,11,2.0,West Liberty,70,1.0,1
2/18/2026,Glenville,11,0.0,West Liberty,40,0.0,1
2/18/2026,Glenville,11,0.0,West Liberty,60,2.0,1
2/18/2026,Glenville,31,0.0,West Liberty,61,2.0,1
2/18/2026,Glenville,41,3.0,West Liberty,0,0.0,1
2/18/2026,Glenville,60/31,0.0,West Liberty,60,2.0,1
2/18/2026,Glenville,11/31/0,0.0,West Liberty,0,0.0,1
2/18/2026,Glenville,11,2.0,West Liberty,61,2.0,1
2/18/2026,Glenville,61,0.0,West Liberty,61,2.0,1
2/18/2026,Glenville,0,0.0,West Liberty,0,0.0,1
2/18/2026,Glenville,41,3.0,West Liberty,31/60,3.0,1
2/18/2026,Glenville,70,2.0,West Liberty,0,0.0,1
2/18/2026,Glenville,31,0.0,West Liberty,61,2.0,1
2/18/2026,Glenville,0,0.0,West Liberty,70,3.0,1
2/18/2026,Glenville,41,0.0,West Liberty,11,0.0,1
2/18/2026,Glenville,30,0.0,West Liberty,60,0.0,1
2/18/2026,Glenville,60,0.0,West Liberty,11,0.0,1
2/18/2026,Glenville,60,2.0,West Liberty,0,0.0,1
2/18/2026,Glenville,31/61,2.0,West Liberty,61/0,0.0,1
2/18/2026,Glenville,0,0.0,West Liberty,70,2.0,1
2/18/2026,Glenville,11,0.0,West Liberty,61,0.0,1
2/18/2026,Glenville,0,0.0,West Liberty,70,2.0,1
2/18/2026,Glenville,11,0.0,West Liberty,11/31,0.0,1
2/18/2026,Glenville,0,0.0,West Liberty,70,2.0,1
2/18/2026,Glenville,0,0.0,West Liberty,11,2.0,1
2/18/2026,Glenville,31,2.0,West Liberty,31,3.0,1
2/18/2026,Glenville,41,3.0,West Liberty,60,2.0,1
2/18/2026,Glenville,0,0.0,West Liberty,61,2.0,1
2/18/2026,Glenville,70,2.0,West Liberty,41,0.0,1
2/18/2026,Glenville,61,2.0,West Liberty,11,0.0,1
2/18/2026,Glenville,70,0.0,West Liberty,0,0.0,1
2/18/2026,Glenville,41/70,2.0,West Liberty,31,3.0,1
2/18/2026,Glenville,0,0.0,West Liberty,70,2.0,1
2/18/2026,Glenville,41,0.0,West Liberty,70,1.0,1
2/18/2026,Glenville,41,0.0,West Liberty,31,2.0,1
2/18/2026,Glenville,70,2.0,West Liberty,70,1.0,1
2/18/2026,Glenville,,,West Liberty,/60,2.0,1
2/18/2026,Glenville,31,0.0,West Liberty,61,2.0,1
2/18/2026,Glenville,11/31,0.0,West Liberty,11/60,2.0,1
2/18/2026,Glenville,11,0.0,West Liberty,41,3.0,1
2/18/2026,Glenville,41,3.0,West Liberty,70,2.0,1
2/18/2026,Glenville,31,0.0,West Liberty,31,0.0,1
2/18/2026,Glenville,41,3.0,West Liberty,31,0.0,2
2/18/2026,Glenville,60,2.0,West Liberty,31,0.0,2
2/18/2026,Glenville,31,0.0,West Liberty,11/60,2.0,2
2/18/2026,Glenville,60,2.0,West Liberty,31,0.0,2
2/18/2026,Glenville,31,0.0,West Liberty,0,0.0,2
2/18/2026,Glenville,0,0.0,West Liberty,31,0.0,2
2/18/2026,Glenville,61,0.0,West Liberty,41/60,2.0,2
2/18/2026,Glenville,31,0.0,West Liberty,70,2.0,2
2/18/2026,Glenville,40,3.0,West Liberty,,,2
2/18/2026,Glenville,41,2.0,West Liberty,11,0.0,2
2/18/2026,Glenville,61,2.0,West Liberty,70,2.0,2
2/18/2026,Glenville,31,0.0,West Liberty,40,3.0,2
2/18/2026,Glenville,70,3.0,West Liberty,61,2.0,2
2/18/2026,Glenville,61,0.0,West Liberty,70,1.0,2
2/18/2026,Glenville,,,West Liberty,70,3.0,2
2/18/2026,Glenville,0,0.0,West Liberty,0,0.0,2
2/18/2026,Glenville,70,3.0,West Liberty,60,2.0,2
2/18/2026,Glenville,70,0.0,West Liberty,60,0.0,2
2/18/2026,Glenville,61,2.0,West Liberty,0,0.0,2
2/18/2026,Glenville,41,3.0,West Liberty,41,0.0,2
2/18/2026,Glenville,61,2.0,West Liberty,11,0.0,2
2/18/2026,Glenville,61/41,3.0,West Liberty,60,2.0,2
2/18/2026,Glenville,31/11/0,0.0,West Liberty,0,0.0,2
2/18/2026,Glenville,11,0.0,West Liberty,11/0,0.0,2
2/18/2026,Glenville,0,0.0,West Liberty,41,3.0,2
2/18/2026,Glenville,31,0.0,West Liberty,0,0.0,2
2/18/2026,Glenville,61,2.0,West Liberty,0,0.0,2
2/18/2026,Glenville,61,2.0,West Liberty,70,2.0,2
2/18/2026,Glenville,31,0.0,West Liberty,70,1.0,2
2/18/2026,Glenville,70,1.0,West Liberty,31,0.0,2
2/18/2026,Glenville,0,0.0,West Liberty,41/41,3.0,2
2/18/2026,Glenville,41/70,1.0,West Liberty,61,2.0,2
2/18/2026,Glenville,11,0.0,West Liberty,31,2.0,2
2/18/2026,Glenville,31,2.0,West Liberty,41,3.0,2
2/18/2026,Glenville,31,0.0,West Liberty,0,0.0,2
2/18/2026,Glenville,70,2.0,West Liberty,11,0.0,2
2/18/2026,Glenville,40,0.0,West Liberty,70,1.0,2
2/18/2026,Glenville,30,0.0,West Liberty,61/31,0.0,2
2/18/2026,Glenville,31/41,0.0,West Liberty,31,0.0,2
2/18/2026,Glenville,70,1.0,West Liberty,,,2
