Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,Glenville,,,Wheeling,31,0.0,1
1/17/2026,Glenville,61,2.0,Wheeling,70,2.0,1
1/17/2026,Glenville,31/0,0.0,Wheeling,41,0.0,1
1/17/2026,Glenville,31,0.0,Wheeling,0,0.0,1
1/17/2026,Glenville,41/11/0,0.0,Wheeling,11,0.0,1
1/17/2026,Glenville,110,3.0,Wheeling,41,0.0,1
1/17/2026,Glenville,31,0.0,Wheeling,41,0.0,1
1/17/2026,Glenville,31,2.0,Wheeling,11,0.0,1
1/17/2026,Glenville,11/0,0.0,Wheeling,0,0.0,1
1/17/2026,Glenville,31,2.0,Wheeling,41,0.0,1
1/17/2026,Glenville,11,0.0,Wheeling,11,0.0,1
1/17/2026,Glenville,60,2.0,Wheeling,0,0.0,1
1/17/2026,Glenville,60,2.0,Wheeling,31,2.0,1
1/17/2026,Glenville,60,2.0,Wheeling,31,0.0,1
1/17/2026,Glenville,31,0.0,Wheeling,60/31/11,0.0,1
1/17/2026,Glenville,0,0.0,Wheeling,70,1.0,1
1/17/2026,Glenville,31,0.0,Wheeling,41,3.0,1
1/17/2026,Glenville,31,2.0,Wheeling,40,0.0,1
1/17/2026,Glenville,31,2.0,Wheeling,70,2.0,1
1/17/2026,Glenville,0,0.0,Wheeling,31,3.0,1
1/17/2026,Glenville,40,3.0,Wheeling,30,0.0,1
1/17/2026,Glenville,70,1.0,Wheeling,30,0.0,1
1/17/2026,Glenville,11,0.0,Wheeling,41,3.0,1
1/17/2026,Glenville,60,2.0,Wheeling,70,1.0,1
1/17/2026,Glenville,41,3.0,Wheeling,0,0.0,1
1/17/2026,Glenville,0,0.0,Wheeling,41/31/61,0.0,1
1/17/2026,Glenville,31/70,1.0,Wheeling,0,0.0,1
1/17/2026,Glenville,70,2.0,Wheeling,41,0.0,1
1/17/2026,Glenville,41,0.0,Wheeling,70,1.0,1
1/17/2026,Glenville,70,1.0,Wheeling,31,3.0,1
1/17/2026,Glenville,0,0.0,Wheeling,70,0.0,1
1/17/2026,Glenville,31,2.0,Wheeling,41/61,2.0,1
1/17/2026,Glenville,0,0.0,Wheeling,31,3.0,1
1/17/2026,Glenville,41,2.0,Wheeling,31,3.0,1
1/17/2026,Glenville,41/11/60,2.0,Wheeling,31,3.0,1
1/17/2026,Glenville,31,0.0,Wheeling,41,3.0,1
1/17/2026,Glenville,31,0.0,Wheeling,41,0.0,2
1/17/2026,Glenville,61/61,0.0,Wheeling,11,0.0,2
1/17/2026,Glenville,70,1.0,Wheeling,,,2
1/17/2026,Glenville,/41,3.0,Wheeling,60/11,2.0,2
1/17/2026,Glenville,110,3.0,Wheeling,31,2.0,2
1/17/2026,Glenville,40,0.0,Wheeling,11,0.0,2
1/17/2026,Glenville,31/61,2.0,Wheeling,70,2.0,2
1/17/2026,Glenville,11,0.0,Wheeling,41,3.0,2
1/17/2026,Glenville,41,0.0,Wheeling,11,0.0,2
1/17/2026,Glenville,0,0.0,Wheeling,70,2.0,2
1/17/2026,Glenville,60,2.0,Wheeling,61,0.0,2
1/17/2026,Glenville,31,0.0,Wheeling,41,3.0,2
1/17/2026,Glenville,41/41,2.0,Wheeling,40,3.0,2
1/17/2026,Glenville,70,2.0,Wheeling,31,0.0,2
1/17/2026,Glenville,41,3.0,Wheeling,60,0.0,2
1/17/2026,Glenville,41,3.0,Wheeling,31,2.0,2
1/17/2026,Glenville,31/61,0.0,Wheeling,41,3.0,2
1/17/2026,Glenville,31,0.0,Wheeling,30/70,2.0,2
1/17/2026,Glenville,60,3.0,Wheeling,41,3.0,2
1/17/2026,Glenville,31,3.0,Wheeling,41,0.0,2
1/17/2026,Glenville,0,0.0,Wheeling,31,2.0,2
1/17/2026,Glenville,70,2.0,Wheeling,11,2.0,2
1/17/2026,Glenville,0,0.0,Wheeling,61,2.0,2
1/17/2026,Glenville,11,0.0,Wheeling,70,2.0,2
1/17/2026,Glenville,41/60,2.0,Wheeling,60,3.0,2
1/17/2026,Glenville,70,2.0,Wheeling,11/31/41,0.0,2
1/17/2026,Glenville,61,2.0,Wheeling,31,2.0,2
1/17/2026,Glenville,11,0.0,Wheeling,61,0.0,2
1/17/2026,Glenville,61,2.0,Wheeling,41,0.0,2
1/17/2026,Glenville,31,0.0,Wheeling,0,0.0,2
1/17/2026,Glenville,0,0.0,Wheeling,0,0.0,2
1/17/2026,Glenville,0,0.0,Wheeling,31,0.0,2
1/17/2026,Glenville,31,0.0,Wheeling,60,2.0,2
1/17/2026,Glenville,0,0.0,Wheeling,60,2.0,2
1/17/2026,Glenville,41/70,2.0,Wheeling,11,0.0,2
1/17/2026,Glenville,0,0.0,Wheeling,31,0.0,2
1/17/2026,Glenville,70,2.0,Wheeling,41,3.0,2
1/17/2026,Glenville,70,1.0,Wheeling,70,2.0,2
1/17/2026,Glenville,31,0.0,Wheeling,70,2.0,2
