Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/8/2026,Point Park,,,Charleston,61,2.0,1
1/8/2026,Point Park,41,3.0,Charleston,61,3.0,1
1/8/2026,Point Park,61,2.0,Charleston,31,3.0,1
1/8/2026,Point Park,31,0.0,Charleston,60,2.0,1
1/8/2026,Point Park,61,2.0,Charleston,31/70,0.0,1
1/8/2026,Point Park,,,Charleston,/0,0.0,1
1/8/2026,Point Park,31,0.0,Charleston,60,2.0,1
1/8/2026,Point Park,70,2.0,Charleston,61,2.0,1
1/8/2026,Point Park,61,3.0,Charleston,41,3.0,1
1/8/2026,Point Park,41,3.0,Charleston,61,2.0,1
1/8/2026,Point Park,31,0.0,Charleston,31,0.0,1
1/8/2026,Point Park,11,0.0,Charleston,60,0.0,1
1/8/2026,Point Park,31/41,0.0,Charleston,31,0.0,1
1/8/2026,Point Park,61/31,0.0,Charleston,31,2.0,1
1/8/2026,Point Park,41,0.0,Charleston,41,0.0,1
1/8/2026,Point Park,31/31,0.0,Charleston,31,0.0,1
1/8/2026,Point Park,30,2.0,Charleston,0,0.0,1
1/8/2026,Point Park,40/31,0.0,Charleston,41,3.0,1
1/8/2026,Point Park,0,0.0,Charleston,0,0.0,1
1/8/2026,Point Park,41,0.0,Charleston,60,3.0,1
1/8/2026,Point Park,41,0.0,Charleston,60,0.0,1
1/8/2026,Point Park,11,0.0,Charleston,60/61/41/61,2.0,1
1/8/2026,Point Park,31,3.0,Charleston,41,0.0,1
1/8/2026,Point Park,61,0.0,Charleston,41,3.0,1
1/8/2026,Point Park,0,0.0,Charleston,31/60,2.0,1
1/8/2026,Point Park,31,0.0,Charleston,31,2.0,1
1/8/2026,Point Park,61,2.0,Charleston,41,3.0,1
1/8/2026,Point Park,70,2.0,Charleston,31,0.0,1
1/8/2026,Point Park,0,0.0,Charleston,60,2.0,1
1/8/2026,Point Park,70,1.0,Charleston,0,0.0,1
1/8/2026,Point Park,70,1.0,Charleston,70,2.0,1
1/8/2026,Point Park,0,0.0,Charleston,0,0.0,1
1/8/2026,Point Park,31,3.0,Charleston,10,0.0,1
1/8/2026,Point Park,,,Charleston,61,2.0,2
1/8/2026,Point Park,0,0.0,Charleston,60,2.0,2
1/8/2026,Point Park,11/61,2.0,Charleston,41,3.0,2
1/8/2026,Point Park,60,0.0,Charleston,60,2.0,2
1/8/2026,Point Park,31,0.0,Charleston,70,1.0,2
1/8/2026,Point Park,31,0.0,Charleston,61,0.0,2
1/8/2026,Point Park,61,2.0,Charleston,61,2.0,2
1/8/2026,Point Park,11/61,2.0,Charleston,0,0.0,2
1/8/2026,Point Park,41,0.0,Charleston,0,0.0,2
1/8/2026,Point Park,60,0.0,Charleston,61,3.0,2
1/8/2026,Point Park,31,0.0,Charleston,61,2.0,2
1/8/2026,Point Park,41,2.0,Charleston,61,0.0,2
1/8/2026,Point Park,41,0.0,Charleston,31,3.0,2
1/8/2026,Point Park,31,0.0,Charleston,70,2.0,2
1/8/2026,Point Park,0,0.0,Charleston,61,0.0,2
1/8/2026,Point Park,41,3.0,Charleston,41,3.0,2
1/8/2026,Point Park,41,0.0,Charleston,41/41,0.0,2
1/8/2026,Point Park,60,2.0,Charleston,0,0.0,2
1/8/2026,Point Park,31,2.0,Charleston,70,2.0,2
1/8/2026,Point Park,41,0.0,Charleston,41/61,2.0,2
1/8/2026,Point Park,0,0.0,Charleston,60,2.0,2
1/8/2026,Point Park,41,3.0,Charleston,0,0.0,2
1/8/2026,Point Park,31/31,0.0,Charleston,60,2.0,2
1/8/2026,Point Park,31,0.0,Charleston,0,0.0,2
1/8/2026,Point Park,70,1.0,Charleston,0,0.0,2
1/8/2026,Point Park,70,2.0,Charleston,61,0.0,2
1/8/2026,Point Park,61,2.0,Charleston,70,2.0,2
1/8/2026,Point Park,70,3.0,Charleston,11/0,0.0,2
1/8/2026,Point Park,31,0.0,Charleston,61,3.0,2
1/8/2026,Point Park,31,0.0,Charleston,0,0.0,2
1/8/2026,Point Park,70,1.0,Charleston,,,2
1/8/2026,Point Park,/11,0.0,Charleston,0,0.0,2
1/8/2026,Point Park,41,3.0,Charleston,11,0.0,2
1/8/2026,Point Park,0,0.0,Charleston,70,2.0,2
1/8/2026,Point Park,70,1.0,Charleston,31,2.0,2
1/8/2026,Point Park,70,0.0,Charleston,60,2.0,2
1/8/2026,Point Park,31/31,0.0,Charleston,,,2
