Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/17/2025,Point Park,,,Concord,41,0.0,1
12/17/2025,Point Park,61,3.0,Concord,41,3.0,1
12/17/2025,Point Park,31,2.0,Concord,41,0.0,1
12/17/2025,Point Park,0,0.0,Concord,60,2.0,1
12/17/2025,Point Park,60,3.0,Concord,41,3.0,1
12/17/2025,Point Park,41,0.0,Concord,60,3.0,1
12/17/2025,Point Park,61,0.0,Concord,70,2.0,1
12/17/2025,Point Park,31,2.0,Concord,60/0,0.0,1
12/17/2025,Point Park,0,0.0,Concord,70,2.0,1
12/17/2025,Point Park,31,0.0,Concord,0,0.0,1
12/17/2025,Point Park,41,0.0,Concord,0,0.0,1
12/17/2025,Point Park,11/60,2.0,Concord,61,2.0,1
12/17/2025,Point Park,70,2.0,Concord,0,0.0,1
12/17/2025,Point Park,11/31,3.0,Concord,0,0.0,1
12/17/2025,Point Park,41/0,0.0,Concord,11/31/60,0.0,1
12/17/2025,Point Park,31,2.0,Concord,31,0.0,1
12/17/2025,Point Park,11,2.0,Concord,11/41,3.0,1
12/17/2025,Point Park,31,0.0,Concord,31,0.0,1
12/17/2025,Point Park,61,2.0,Concord,41,3.0,1
12/17/2025,Point Park,31,0.0,Concord,61,2.0,1
12/17/2025,Point Park,31,0.0,Concord,61,2.0,1
12/17/2025,Point Park,11,0.0,Concord,0,0.0,1
12/17/2025,Point Park,41,3.0,Concord,0,0.0,1
12/17/2025,Point Park,31,0.0,Concord,11,0.0,1
12/17/2025,Point Park,11/61,2.0,Concord,0,0.0,1
12/17/2025,Point Park,0,0.0,Concord,60,2.0,1
12/17/2025,Point Park,0,0.0,Concord,0,0.0,1
12/17/2025,Point Park,61,3.0,Concord,70,2.0,1
12/17/2025,Point Park,0,0.0,Concord,60,2.0,1
12/17/2025,Point Park,31,0.0,Concord,61,0.0,1
12/17/2025,Point Park,31,3.0,Concord,31,2.0,1
12/17/2025,Point Park,41,3.0,Concord,60,2.0,1
12/17/2025,Point Park,31,2.0,Concord,61,2.0,1
12/17/2025,Point Park,31,3.0,Concord,60,3.0,1
12/17/2025,Point Park,0,0.0,Concord,0,0.0,1
12/17/2025,Point Park,11,0.0,Concord,,,1
12/17/2025,Point Park,11,0.0,Concord,41,0.0,2
12/17/2025,Point Park,31,2.0,Concord,61,0.0,2
12/17/2025,Point Park,0,0.0,Concord,60,0.0,2
12/17/2025,Point Park,0,0.0,Concord,31/60,2.0,2
12/17/2025,Point Park,31,0.0,Concord,70,2.0,2
12/17/2025,Point Park,31,0.0,Concord,31,0.0,2
12/17/2025,Point Park,61,2.0,Concord,60/31/61,0.0,2
12/17/2025,Point Park,31,0.0,Concord,31/0,0.0,2
12/17/2025,Point Park,0,0.0,Concord,60,2.0,2
12/17/2025,Point Park,31,3.0,Concord,0,0.0,2
12/17/2025,Point Park,61,0.0,Concord,31,2.0,2
12/17/2025,Point Park,0,0.0,Concord,60,3.0,2
12/17/2025,Point Park,41,0.0,Concord,60/60,2.0,2
12/17/2025,Point Park,31,2.0,Concord,31/31/61/61,2.0,2
12/17/2025,Point Park,41,0.0,Concord,0,0.0,2
12/17/2025,Point Park,61,2.0,Concord,11,0.0,2
12/17/2025,Point Park,41/41,0.0,Concord,61,2.0,2
12/17/2025,Point Park,0,0.0,Concord,60,2.0,2
12/17/2025,Point Park,41,0.0,Concord,60/60,2.0,2
12/17/2025,Point Park,31,3.0,Concord,31,0.0,2
12/17/2025,Point Park,0,0.0,Concord,60/70,1.0,2
12/17/2025,Point Park,31/0,0.0,Concord,60/61,2.0,2
12/17/2025,Point Park,11,0.0,Concord,11,0.0,2
12/17/2025,Point Park,61,2.0,Concord,61,2.0,2
12/17/2025,Point Park,41,0.0,Concord,0,0.0,2
12/17/2025,Point Park,61,0.0,Concord,40,3.0,2
12/17/2025,Point Park,41,3.0,Concord,61,2.0,2
12/17/2025,Point Park,31,0.0,Concord,61,3.0,2
12/17/2025,Point Park,31/31,0.0,Concord,60,2.0,2
12/17/2025,Point Park,31,0.0,Concord,0,0.0,2
12/17/2025,Point Park,60,0.0,Concord,,,2
