Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/13/2025,Point Park,,,D&E,60,2.0,1
12/13/2025,Point Park,41,3.0,D&E,61,3.0,1
12/13/2025,Point Park,41/31,0.0,D&E,61,3.0,1
12/13/2025,Point Park,31,0.0,D&E,61,2.0,1
12/13/2025,Point Park,60,2.0,D&E,31,0.0,1
12/13/2025,Point Park,41,3.0,D&E,31,0.0,1
12/13/2025,Point Park,31,3.0,D&E,61,0.0,1
12/13/2025,Point Park,0,0.0,D&E,0,0.0,1
12/13/2025,Point Park,31,0.0,D&E,70,2.0,1
12/13/2025,Point Park,11,0.0,D&E,0,0.0,1
12/13/2025,Point Park,0,0.0,D&E,30,2.0,1
12/13/2025,Point Park,0,0.0,D&E,61,2.0,1
12/13/2025,Point Park,0,0.0,D&E,60,2.0,1
12/13/2025,Point Park,31,0.0,D&E,41/31,2.0,1
12/13/2025,Point Park,31,0.0,D&E,60,2.0,1
12/13/2025,Point Park,0,0.0,D&E,60,2.0,1
12/13/2025,Point Park,41,0.0,D&E,61,0.0,1
12/13/2025,Point Park,61,0.0,D&E,60,2.0,1
12/13/2025,Point Park,61/31,0.0,D&E,61,2.0,1
12/13/2025,Point Park,61,0.0,D&E,41,3.0,1
12/13/2025,Point Park,60,2.0,D&E,60,2.0,1
12/13/2025,Point Park,30,2.0,D&E,60,2.0,1
12/13/2025,Point Park,0,0.0,D&E,61,2.0,1
12/13/2025,Point Park,41,3.0,D&E,61,2.0,1
12/13/2025,Point Park,31,0.0,D&E,0,0.0,1
12/13/2025,Point Park,41/60,2.0,D&E,41,3.0,1
12/13/2025,Point Park,41/0,0.0,D&E,70,2.0,1
12/13/2025,Point Park,41,0.0,D&E,0,0.0,1
12/13/2025,Point Park,70,2.0,D&E,61,0.0,1
12/13/2025,Point Park,41,3.0,D&E,40/0,0.0,1
12/13/2025,Point Park,60,0.0,D&E,0,0.0,1
12/13/2025,Point Park,31,0.0,D&E,31,0.0,1
12/13/2025,Point Park,60,3.0,D&E,0,0.0,1
12/13/2025,Point Park,31/31,0.0,D&E,11,0.0,1
12/13/2025,Point Park,61,2.0,D&E,61/70,0.0,2
12/13/2025,Point Park,41,3.0,D&E,41,0.0,2
12/13/2025,Point Park,60,2.0,D&E,61,2.0,2
12/13/2025,Point Park,11/31,0.0,D&E,60,2.0,2
12/13/2025,Point Park,11,0.0,D&E,61/60,2.0,2
12/13/2025,Point Park,31/61,0.0,D&E,31,0.0,2
12/13/2025,Point Park,70,2.0,D&E,31/61,2.0,2
12/13/2025,Point Park,41,3.0,D&E,41,3.0,2
12/13/2025,Point Park,40,0.0,D&E,61,2.0,2
12/13/2025,Point Park,0,0.0,D&E,70,2.0,2
12/13/2025,Point Park,31,0.0,D&E,11,0.0,2
12/13/2025,Point Park,40,0.0,D&E,60,2.0,2
12/13/2025,Point Park,0,0.0,D&E,61,2.0,2
12/13/2025,Point Park,0,0.0,D&E,31,2.0,2
12/13/2025,Point Park,41,3.0,D&E,0,0.0,2
12/13/2025,Point Park,0,0.0,D&E,61/11,0.0,2
12/13/2025,Point Park,0,0.0,D&E,0,0.0,2
12/13/2025,Point Park,60,2.0,D&E,41,0.0,2
12/13/2025,Point Park,61,3.0,D&E,40,2.0,2
12/13/2025,Point Park,11/11,0.0,D&E,41/60,3.0,2
12/13/2025,Point Park,41/61,0.0,D&E,61/60,2.0,2
12/13/2025,Point Park,0,0.0,D&E,41,0.0,2
12/13/2025,Point Park,31,2.0,D&E,60,3.0,2
12/13/2025,Point Park,31,0.0,D&E,31,0.0,2
12/13/2025,Point Park,61,3.0,D&E,60,2.0,2
12/13/2025,Point Park,31,0.0,D&E,60,3.0,2
12/13/2025,Point Park,31,0.0,D&E,0,0.0,2
12/13/2025,Point Park,60/0,0.0,D&E,41/0,0.0,2
12/13/2025,Point Park,0,0.0,D&E,0,0.0,2
12/13/2025,Point Park,31,0.0,D&E,60/70,0.0,2
12/13/2025,Point Park,,,D&E,/0,0.0,2
12/13/2025,Point Park,70,0.0,D&E,41,0.0,2
12/13/2025,Point Park,11,0.0,D&E,61,2.0,2
12/13/2025,Point Park,61,2.0,D&E,61,2.0,2
12/13/2025,Point Park,70,2.0,D&E,,,2
