Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/17/2026,Point Park,,,Frostburg,61,0.0,1
1/17/2026,Point Park,31,0.0,Frostburg,31,0.0,1
1/17/2026,Point Park,31,2.0,Frostburg,41/41,3.0,1
1/17/2026,Point Park,41,3.0,Frostburg,0,0.0,1
1/17/2026,Point Park,70,3.0,Frostburg,61,2.0,1
1/17/2026,Point Park,11,0.0,Frostburg,0,0.0,1
1/17/2026,Point Park,41,3.0,Frostburg,31,0.0,1
1/17/2026,Point Park,61,2.0,Frostburg,70,2.0,1
1/17/2026,Point Park,41,3.0,Frostburg,0,0.0,1
1/17/2026,Point Park,60,2.0,Frostburg,31,0.0,1
1/17/2026,Point Park,0,0.0,Frostburg,31,2.0,1
1/17/2026,Point Park,41,0.0,Frostburg,11,0.0,1
1/17/2026,Point Park,0,0.0,Frostburg,31/61,2.0,1
1/17/2026,Point Park,0,0.0,Frostburg,31/61,2.0,1
1/17/2026,Point Park,0,0.0,Frostburg,60,2.0,1
1/17/2026,Point Park,11/11,0.0,Frostburg,11,0.0,1
1/17/2026,Point Park,41,0.0,Frostburg,41,0.0,1
1/17/2026,Point Park,30,2.0,Frostburg,41,0.0,1
1/17/2026,Point Park,11,0.0,Frostburg,41,0.0,1
1/17/2026,Point Park,31,0.0,Frostburg,11/60/60/70,2.0,1
1/17/2026,Point Park,31,2.0,Frostburg,0,0.0,1
1/17/2026,Point Park,61/31,3.0,Frostburg,31/41,0.0,1
1/17/2026,Point Park,70,2.0,Frostburg,70,2.0,1
1/17/2026,Point Park,11/61,2.0,Frostburg,61,0.0,1
1/17/2026,Point Park,31/41,0.0,Frostburg,11/11,0.0,1
1/17/2026,Point Park,41,0.0,Frostburg,40/11/61,2.0,1
1/17/2026,Point Park,31,0.0,Frostburg,41,3.0,1
1/17/2026,Point Park,61,2.0,Frostburg,41,0.0,1
1/17/2026,Point Park,11,0.0,Frostburg,61,2.0,1
1/17/2026,Point Park,31,0.0,Frostburg,41,0.0,1
1/17/2026,Point Park,11,0.0,Frostburg,0,0.0,1
1/17/2026,Point Park,31,0.0,Frostburg,,,1
1/17/2026,Point Park,,,Frostburg,41,2.0,2
1/17/2026,Point Park,31,0.0,Frostburg,31,2.0,2
1/17/2026,Point Park,31,2.0,Frostburg,61/61,2.0,2
1/17/2026,Point Park,31,2.0,Frostburg,40,0.0,2
1/17/2026,Point Park,31/30,0.0,Frostburg,41,0.0,2
1/17/2026,Point Park,60,2.0,Frostburg,60,3.0,2
1/17/2026,Point Park,70,2.0,Frostburg,41,0.0,2
1/17/2026,Point Park,11,0.0,Frostburg,41,3.0,2
1/17/2026,Point Park,0,0.0,Frostburg,61,2.0,2
1/17/2026,Point Park,31,0.0,Frostburg,41/0,0.0,2
1/17/2026,Point Park,60,2.0,Frostburg,0,0.0,2
1/17/2026,Point Park,31,3.0,Frostburg,70,1.0,2
1/17/2026,Point Park,60,2.0,Frostburg,0,0.0,2
1/17/2026,Point Park,31,0.0,Frostburg,31,3.0,2
1/17/2026,Point Park,40,3.0,Frostburg,70,2.0,2
1/17/2026,Point Park,40,0.0,Frostburg,70,1.0,2
1/17/2026,Point Park,31,0.0,Frostburg,41,3.0,2
1/17/2026,Point Park,61,2.0,Frostburg,70,1.0,2
1/17/2026,Point Park,70,2.0,Frostburg,70,2.0,2
1/17/2026,Point Park,0,0.0,Frostburg,0,0.0,2
1/17/2026,Point Park,41,2.0,Frostburg,41,0.0,2
1/17/2026,Point Park,41,0.0,Frostburg,31,0.0,2
1/17/2026,Point Park,0,0.0,Frostburg,41,0.0,2
1/17/2026,Point Park,0,0.0,Frostburg,70,2.0,2
1/17/2026,Point Park,0,0.0,Frostburg,41,3.0,2
1/17/2026,Point Park,61,0.0,Frostburg,11,0.0,2
1/17/2026,Point Park,11,0.0,Frostburg,61,0.0,2
1/17/2026,Point Park,41,3.0,Frostburg,70,2.0,2
1/17/2026,Point Park,70,3.0,Frostburg,31,3.0,2
1/17/2026,Point Park,11,0.0,Frostburg,61,2.0,2
1/17/2026,Point Park,30,3.0,Frostburg,41,3.0,2
1/17/2026,Point Park,61,2.0,Frostburg,70,0.0,2
1/17/2026,Point Park,60,2.0,Frostburg,31,0.0,2
1/17/2026,Point Park,31,2.0,Frostburg,11,2.0,2
1/17/2026,Point Park,11,0.0,Frostburg,,,2
1/17/2026,Point Park,,,Frostburg,31/31,0.0,3
1/17/2026,Point Park,31/60,2.0,Frostburg,11/61,2.0,3
1/17/2026,Point Park,41,0.0,Frostburg,0,0.0,3
1/17/2026,Point Park,61,2.0,Frostburg,60,2.0,3
1/17/2026,Point Park,11,0.0,Frostburg,60/70,0.0,3
1/17/2026,Point Park,31,2.0,Frostburg,70,3.0,3
1/17/2026,Point Park,0,0.0,Frostburg,70,2.0,3
1/17/2026,Point Park,10,0.0,Frostburg,,,3
