Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/4/2026,Point Park,31,0.0,Glenville,61,0.0,1
2/4/2026,Point Park,41,0.0,Glenville,0,0.0,1
2/4/2026,Point Park,31,2.0,Glenville,31,0.0,1
2/4/2026,Point Park,31/60,0.0,Glenville,31,2.0,1
2/4/2026,Point Park,61,2.0,Glenville,61,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,31,0.0,1
2/4/2026,Point Park,60,2.0,Glenville,60,2.0,1
2/4/2026,Point Park,61,2.0,Glenville,41,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,41,0.0,1
2/4/2026,Point Park,11,0.0,Glenville,61,2.0,1
2/4/2026,Point Park,60,0.0,Glenville,31/60,2.0,1
2/4/2026,Point Park,70,2.0,Glenville,31,3.0,1
2/4/2026,Point Park,0,0.0,Glenville,70,2.0,1
2/4/2026,Point Park,40,3.0,Glenville,41/60,2.0,1
2/4/2026,Point Park,0,0.0,Glenville,11,0.0,1
2/4/2026,Point Park,70,1.0,Glenville,60,2.0,1
2/4/2026,Point Park,31/11,0.0,Glenville,0,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,41,3.0,1
2/4/2026,Point Park,31,0.0,Glenville,31,0.0,1
2/4/2026,Point Park,61,0.0,Glenville,41,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,41,0.0,1
2/4/2026,Point Park,70,2.0,Glenville,60,2.0,1
2/4/2026,Point Park,41,0.0,Glenville,70,1.0,1
2/4/2026,Point Park,,,Glenville,/61,2.0,1
2/4/2026,Point Park,41,2.0,Glenville,0,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,11,0.0,1
2/4/2026,Point Park,61,2.0,Glenville,11,0.0,1
2/4/2026,Point Park,60,2.0,Glenville,41,3.0,1
2/4/2026,Point Park,31,0.0,Glenville,41,3.0,1
2/4/2026,Point Park,0,0.0,Glenville,60,0.0,1
2/4/2026,Point Park,11,0.0,Glenville,70,0.0,1
2/4/2026,Point Park,31,0.0,Glenville,31,0.0,1
2/4/2026,Point Park,61,0.0,Glenville,60,2.0,1
2/4/2026,Point Park,0,0.0,Glenville,60,2.0,1
2/4/2026,Point Park,31,0.0,Glenville,61,2.0,1
2/4/2026,Point Park,40,3.0,Glenville,31,0.0,1
2/4/2026,Point Park,0,0.0,Glenville,70,0.0,1
2/4/2026,Point Park,70,2.0,Glenville,31,0.0,1
2/4/2026,Point Park,0,0.0,Glenville,31,2.0,1
2/4/2026,Point Park,30,0.0,Glenville,0,0.0,1
2/4/2026,Point Park,61,0.0,Glenville,41,3.0,1
2/4/2026,Point Park,61,2.0,Glenville,,,1
2/4/2026,Point Park,,,Glenville,41,3.0,2
2/4/2026,Point Park,31,0.0,Glenville,60/70,1.0,2
2/4/2026,Point Park,0,0.0,Glenville,60,2.0,2
2/4/2026,Point Park,31,2.0,Glenville,31/41,3.0,2
2/4/2026,Point Park,41,0.0,Glenville,61,2.0,2
2/4/2026,Point Park,60,2.0,Glenville,11,0.0,2
2/4/2026,Point Park,60/41,3.0,Glenville,61,0.0,2
2/4/2026,Point Park,61,0.0,Glenville,70,2.0,2
2/4/2026,Point Park,61,3.0,Glenville,41,3.0,2
2/4/2026,Point Park,11,0.0,Glenville,40/41,3.0,2
2/4/2026,Point Park,41/41,0.0,Glenville,70,2.0,2
2/4/2026,Point Park,,,Glenville,/41,0.0,2
2/4/2026,Point Park,31,0.0,Glenville,40,0.0,2
2/4/2026,Point Park,0,0.0,Glenville,60,2.0,2
2/4/2026,Point Park,41,0.0,Glenville,70,1.0,2
2/4/2026,Point Park,31,2.0,Glenville,41,2.0,2
2/4/2026,Point Park,30/41,0.0,Glenville,41,2.0,2
2/4/2026,Point Park,0,0.0,Glenville,41,3.0,2
2/4/2026,Point Park,41/41,0.0,Glenville,60,0.0,2
2/4/2026,Point Park,11,0.0,Glenville,61,0.0,2
2/4/2026,Point Park,31,2.0,Glenville,41/41,0.0,2
2/4/2026,Point Park,70,2.0,Glenville,41,0.0,2
2/4/2026,Point Park,31,0.0,Glenville,31,0.0,2
2/4/2026,Point Park,11,0.0,Glenville,70,2.0,2
2/4/2026,Point Park,41,3.0,Glenville,61,2.0,2
2/4/2026,Point Park,61,2.0,Glenville,60,0.0,2
2/4/2026,Point Park,70,3.0,Glenville,40/70,2.0,2
2/4/2026,Point Park,41,3.0,Glenville,0,0.0,2
2/4/2026,Point Park,70,0.0,Glenville,11,0.0,2
2/4/2026,Point Park,31,0.0,Glenville,11,0.0,2
2/4/2026,Point Park,41,3.0,Glenville,60,2.0,2
2/4/2026,Point Park,31,0.0,Glenville,41,0.0,2
2/4/2026,Point Park,0,0.0,Glenville,0,0.0,2
2/4/2026,Point Park,0,0.0,Glenville,60,2.0,2
2/4/2026,Point Park,41,3.0,Glenville,41,0.0,2
2/4/2026,Point Park,61,0.0,Glenville,60,3.0,2
2/4/2026,Point Park,40,3.0,Glenville,60,2.0,2
2/4/2026,Point Park,41,3.0,Glenville,61,2.0,2
2/4/2026,Point Park,30,0.0,Glenville,,,2
2/4/2026,Point Park,70,2.0,Glenville,61,3.0,2
2/4/2026,Point Park,70,1.0,Glenville,41,0.0,2
2/4/2026,Point Park,41,0.0,Glenville,41/41,0.0,2
2/4/2026,Point Park,60,2.0,Glenville,11,0.0,2
