Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/11/2026,Point Park,41,3.0,WVSU,41,3.0,1
2/11/2026,Point Park,41,0.0,WVSU,31,2.0,1
2/11/2026,Point Park,0,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,11,0.0,WVSU,41,0.0,1
2/11/2026,Point Park,70,1.0,WVSU,41,3.0,1
2/11/2026,Point Park,110,3.0,WVSU,31,0.0,1
2/11/2026,Point Park,0,0.0,WVSU,31/60,0.0,1
2/11/2026,Point Park,31,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,31,2.0,WVSU,61,2.0,1
2/11/2026,Point Park,40,0.0,WVSU,0,0.0,1
2/11/2026,Point Park,31,0.0,WVSU,41,0.0,1
2/11/2026,Point Park,61/70,2.0,WVSU,41,0.0,1
2/11/2026,Point Park,31,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,41,3.0,WVSU,11/41,3.0,1
2/11/2026,Point Park,31,0.0,WVSU,0,0.0,1
2/11/2026,Point Park,70,0.0,WVSU,41,3.0,1
2/11/2026,Point Park,41,0.0,WVSU,41/60,2.0,1
2/11/2026,Point Park,31,0.0,WVSU,60,2.0,1
2/11/2026,Point Park,31,0.0,WVSU,31,2.0,1
2/11/2026,Point Park,0,0.0,WVSU,41,0.0,1
2/11/2026,Point Park,0,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,31,2.0,WVSU,70,1.0,1
2/11/2026,Point Park,40,0.0,WVSU,31,2.0,1
2/11/2026,Point Park,31,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,31,0.0,WVSU,41,0.0,1
2/11/2026,Point Park,11,0.0,WVSU,61,2.0,1
2/11/2026,Point Park,31,0.0,WVSU,0,0.0,1
2/11/2026,Point Park,70,2.0,WVSU,41,3.0,1
2/11/2026,Point Park,0,0.0,WVSU,0,0.0,1
2/11/2026,Point Park,61,2.0,WVSU,11/70,3.0,1
2/11/2026,Point Park,0,0.0,WVSU,0,0.0,1
2/11/2026,Point Park,41,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,40,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,61,2.0,WVSU,70,3.0,1
2/11/2026,Point Park,31,2.0,WVSU,11,0.0,1
2/11/2026,Point Park,31/31,0.0,WVSU,31,0.0,1
2/11/2026,Point Park,10,0.0,WVSU,,,1
2/11/2026,Point Park,,,WVSU,11/41,0.0,2
2/11/2026,Point Park,60,2.0,WVSU,41,0.0,2
2/11/2026,Point Park,41,0.0,WVSU,31,3.0,2
2/11/2026,Point Park,31,2.0,WVSU,11,0.0,2
2/11/2026,Point Park,31,0.0,WVSU,41,3.0,2
2/11/2026,Point Park,61,2.0,WVSU,70,3.0,2
2/11/2026,Point Park,11,0.0,WVSU,70,2.0,2
2/11/2026,Point Park,11,0.0,WVSU,41,3.0,2
2/11/2026,Point Park,41/61,0.0,WVSU,61,2.0,2
2/11/2026,Point Park,41,3.0,WVSU,31/61,0.0,2
2/11/2026,Point Park,31,0.0,WVSU,110,1.0,2
2/11/2026,Point Park,30,3.0,WVSU,0,0.0,2
2/11/2026,Point Park,70,1.0,WVSU,41,3.0,2
2/11/2026,Point Park,70,2.0,WVSU,,,2
2/11/2026,Point Park,61,2.0,WVSU,41,3.0,2
2/11/2026,Point Park,31,3.0,WVSU,61,2.0,2
2/11/2026,Point Park,31,3.0,WVSU,31,0.0,2
2/11/2026,Point Park,41,0.0,WVSU,31,2.0,2
2/11/2026,Point Park,41,3.0,WVSU,31,0.0,2
2/11/2026,Point Park,61,0.0,WVSU,31,3.0,2
2/11/2026,Point Park,61,2.0,WVSU,70,2.0,2
2/11/2026,Point Park,41,3.0,WVSU,41,3.0,2
2/11/2026,Point Park,40,3.0,WVSU,70,3.0,2
2/11/2026,Point Park,41,3.0,WVSU,11/61,2.0,2
2/11/2026,Point Park,0,0.0,WVSU,0,0.0,2
2/11/2026,Point Park,41/31/60/60,2.0,WVSU,31,2.0,2
2/11/2026,Point Park,70,2.0,WVSU,40/61/11/60,2.0,2
2/11/2026,Point Park,31,0.0,WVSU,31/70,2.0,2
2/11/2026,Point Park,61,0.0,WVSU,70,0.0,2
2/11/2026,Point Park,70,2.0,WVSU,61,2.0,2
2/11/2026,Point Park,0,0.0,WVSU,70,2.0,2
2/11/2026,Point Park,31,0.0,WVSU,31,3.0,2
2/11/2026,Point Park,31,3.0,WVSU,61,0.0,2
2/11/2026,Point Park,0,0.0,WVSU,31,0.0,2
2/11/2026,Point Park,41/60,2.0,WVSU,60,2.0,2
2/11/2026,Point Park,11,0.0,WVSU,0,0.0,2
2/11/2026,Point Park,61,0.0,WVSU,,,2
