Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/21/2026,Point Park,,,West Liberty,0,0.0,1
1/21/2026,Point Park,11,0.0,West Liberty,31/60,2.0,1
1/21/2026,Point Park,11,0.0,West Liberty,31/41,0.0,1
1/21/2026,Point Park,61/61,0.0,West Liberty,31,2.0,1
1/21/2026,Point Park,0,0.0,West Liberty,61,0.0,1
1/21/2026,Point Park,30/41,0.0,West Liberty,61,2.0,1
1/21/2026,Point Park,61,2.0,West Liberty,30,0.0,1
1/21/2026,Point Park,61,0.0,West Liberty,61,2.0,1
1/21/2026,Point Park,11,0.0,West Liberty,61/60,2.0,1
1/21/2026,Point Park,0,0.0,West Liberty,31/60,2.0,1
1/21/2026,Point Park,30,0.0,West Liberty,41,0.0,1
1/21/2026,Point Park,41,3.0,West Liberty,60,2.0,1
1/21/2026,Point Park,11,0.0,West Liberty,70,2.0,1
1/21/2026,Point Park,11,2.0,West Liberty,0,0.0,1
1/21/2026,Point Park,61,0.0,West Liberty,31,2.0,1
1/21/2026,Point Park,31,0.0,West Liberty,61,2.0,1
1/21/2026,Point Park,0,0.0,West Liberty,0,0.0,1
1/21/2026,Point Park,61,0.0,West Liberty,41,0.0,1
1/21/2026,Point Park,0,0.0,West Liberty,70,1.0,1
1/21/2026,Point Park,40,0.0,West Liberty,41,3.0,1
1/21/2026,Point Park,60,0.0,West Liberty,41,3.0,1
1/21/2026,Point Park,31,0.0,West Liberty,0,0.0,1
1/21/2026,Point Park,61,0.0,West Liberty,0,0.0,1
1/21/2026,Point Park,60,2.0,West Liberty,11,0.0,1
1/21/2026,Point Park,61,2.0,West Liberty,31,0.0,1
1/21/2026,Point Park,41,3.0,West Liberty,0,0.0,1
1/21/2026,Point Park,41,0.0,West Liberty,41,0.0,1
1/21/2026,Point Park,60,2.0,West Liberty,11/31,2.0,1
1/21/2026,Point Park,11,0.0,West Liberty,70,2.0,1
1/21/2026,Point Park,0,0.0,West Liberty,11,0.0,1
1/21/2026,Point Park,41,0.0,West Liberty,61,3.0,1
1/21/2026,Point Park,61,2.0,West Liberty,41,3.0,1
1/21/2026,Point Park,40,3.0,West Liberty,0,0.0,1
1/21/2026,Point Park,0,0.0,West Liberty,41,0.0,1
1/21/2026,Point Park,0,0.0,West Liberty,41/0,0.0,1
1/21/2026,Point Park,11,0.0,West Liberty,70,2.0,1
1/21/2026,Point Park,41,3.0,West Liberty,31,2.0,1
1/21/2026,Point Park,11/31,3.0,West Liberty,110,4.0,1
1/21/2026,Point Park,41,3.0,West Liberty,31,0.0,1
1/21/2026,Point Park,,,West Liberty,31,2.0,2
1/21/2026,Point Park,60,2.0,West Liberty,40,0.0,2
1/21/2026,Point Park,41/41,3.0,West Liberty,11/60,2.0,2
1/21/2026,Point Park,31,3.0,West Liberty,0,0.0,2
1/21/2026,Point Park,41,3.0,West Liberty,41,0.0,2
1/21/2026,Point Park,60,2.0,West Liberty,60,0.0,2
1/21/2026,Point Park,60,3.0,West Liberty,31,2.0,2
1/21/2026,Point Park,0,0.0,West Liberty,60,2.0,2
1/21/2026,Point Park,0,0.0,West Liberty,60,2.0,2
1/21/2026,Point Park,0,0.0,West Liberty,61/41,2.0,2
1/21/2026,Point Park,31,0.0,West Liberty,61/61/61,2.0,2
1/21/2026,Point Park,0,0.0,West Liberty,61,2.0,2
1/21/2026,Point Park,31,0.0,West Liberty,30,2.0,2
1/21/2026,Point Park,11,2.0,West Liberty,31,0.0,2
1/21/2026,Point Park,31/31,0.0,West Liberty,41/41,3.0,2
1/21/2026,Point Park,31,0.0,West Liberty,31,3.0,2
1/21/2026,Point Park,31,0.0,West Liberty,0,0.0,2
1/21/2026,Point Park,11/11,0.0,West Liberty,11/11,0.0,2
1/21/2026,Point Park,40,3.0,West Liberty,11,0.0,2
1/21/2026,Point Park,41,3.0,West Liberty,0,0.0,2
1/21/2026,Point Park,0,0.0,West Liberty,70,2.0,2
1/21/2026,Point Park,60,3.0,West Liberty,70,3.0,2
1/21/2026,Point Park,0,0.0,West Liberty,31/60,2.0,2
1/21/2026,Point Park,30,3.0,West Liberty,0,0.0,2
1/21/2026,Point Park,70,1.0,West Liberty,31,2.0,2
1/21/2026,Point Park,61,0.0,West Liberty,61,2.0,2
1/21/2026,Point Park,31,0.0,West Liberty,0,0.0,2
1/21/2026,Point Park,60,2.0,West Liberty,70,0.0,2
1/21/2026,Point Park,31,0.0,West Liberty,60,2.0,2
1/21/2026,Point Park,70,3.0,West Liberty,0,0.0,2
1/21/2026,Point Park,41/31,2.0,West Liberty,70,2.0,2
1/21/2026,Point Park,41,0.0,West Liberty,60/70,1.0,2
1/21/2026,Point Park,61/70,3.0,West Liberty,40,0.0,2
1/21/2026,Point Park,61/70,1.0,West Liberty,60,3.0,2
1/21/2026,Point Park,31/31,0.0,West Liberty,31,0.0,2
1/21/2026,Point Park,0,0.0,West Liberty,31,0.0,2
1/21/2026,Point Park,41,0.0,West Liberty,60,2.0,2
1/21/2026,Point Park,31/61/70,0.0,West Liberty,,,2
