Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/11/2026,Salem,11,0.0,Charleston,61,3.0,1
2/11/2026,Salem,70,1.0,Charleston,61,0.0,1
2/11/2026,Salem,60,0.0,Charleston,61/61,0.0,1
2/11/2026,Salem,0,0.0,Charleston,0,0.0,1
2/11/2026,Salem,0,0.0,Charleston,60,3.0,1
2/11/2026,Salem,0,0.0,Charleston,31/41/61,2.0,1
2/11/2026,Salem,0,0.0,Charleston,0,0.0,1
2/11/2026,Salem,11,0.0,Charleston,61,2.0,1
2/11/2026,Salem,11,0.0,Charleston,41,3.0,1
2/11/2026,Salem,0,0.0,Charleston,60,2.0,1
2/11/2026,Salem,0,0.0,Charleston,41,2.0,1
2/11/2026,Salem,41/61,2.0,Charleston,61,2.0,1
2/11/2026,Salem,41,0.0,Charleston,0,0.0,1
2/11/2026,Salem,31,0.0,Charleston,41,0.0,1
2/11/2026,Salem,110,3.0,Charleston,31,0.0,1
2/11/2026,Salem,41,0.0,Charleston,31,0.0,1
2/11/2026,Salem,70,1.0,Charleston,41/60,2.0,1
2/11/2026,Salem,60,2.0,Charleston,60,2.0,1
2/11/2026,Salem,0,0.0,Charleston,61,3.0,1
2/11/2026,Salem,0,0.0,Charleston,70,2.0,1
2/11/2026,Salem,11,0.0,Charleston,41/60,2.0,1
2/11/2026,Salem,11,0.0,Charleston,61,2.0,1
2/11/2026,Salem,0,0.0,Charleston,70,2.0,1
2/11/2026,Salem,70,1.0,Charleston,70,1.0,1
2/11/2026,Salem,,,Charleston,/31,3.0,1
2/11/2026,Salem,41,3.0,Charleston,61,2.0,1
2/11/2026,Salem,11/11/0,0.0,Charleston,70,0.0,1
2/11/2026,Salem,,,Charleston,/41,0.0,1
2/11/2026,Salem,70,2.0,Charleston,0,0.0,1
2/11/2026,Salem,31/70,0.0,Charleston,61,2.0,1
2/11/2026,Salem,70,1.0,Charleston,31,0.0,1
2/11/2026,Salem,11,0.0,Charleston,61,3.0,1
2/11/2026,Salem,70,0.0,Charleston,0,0.0,1
2/11/2026,Salem,70,1.0,Charleston,41,2.0,1
2/11/2026,Salem,11,0.0,Charleston,0,0.0,1
2/11/2026,Salem,11/61,0.0,Charleston,61,2.0,1
2/11/2026,Salem,70,2.0,Charleston,31,0.0,1
2/11/2026,Salem,11/41,0.0,Charleston,70,2.0,1
2/11/2026,Salem,0,0.0,Charleston,11,0.0,1
2/11/2026,Salem,,,Charleston,31,3.0,2
2/11/2026,Salem,31,0.0,Charleston,41/41,3.0,2
2/11/2026,Salem,0,0.0,Charleston,31/61,2.0,2
2/11/2026,Salem,11,0.0,Charleston,60,3.0,2
2/11/2026,Salem,31,0.0,Charleston,61,2.0,2
2/11/2026,Salem,60,0.0,Charleston,61,2.0,2
2/11/2026,Salem,31,0.0,Charleston,41/11,0.0,2
2/11/2026,Salem,61,2.0,Charleston,41,3.0,2
2/11/2026,Salem,41,0.0,Charleston,60,2.0,2
2/11/2026,Salem,31/11/61,0.0,Charleston,0,0.0,2
2/11/2026,Salem,11,0.0,Charleston,61,2.0,2
2/11/2026,Salem,70,3.0,Charleston,41,0.0,2
2/11/2026,Salem,60,3.0,Charleston,31,3.0,2
2/11/2026,Salem,70,2.0,Charleston,61/41,3.0,2
2/11/2026,Salem,0,0.0,Charleston,41,3.0,2
2/11/2026,Salem,0,0.0,Charleston,41,3.0,2
2/11/2026,Salem,11/61,0.0,Charleston,41,0.0,2
2/11/2026,Salem,41/0,0.0,Charleston,60,2.0,2
2/11/2026,Salem,0,0.0,Charleston,0,0.0,2
2/11/2026,Salem,0,0.0,Charleston,61,2.0,2
2/11/2026,Salem,0,0.0,Charleston,31,0.0,2
2/11/2026,Salem,70,3.0,Charleston,61,2.0,2
2/11/2026,Salem,70,2.0,Charleston,40,3.0,2
2/11/2026,Salem,61/70,1.0,Charleston,61/60/60/0,0.0,2
2/11/2026,Salem,41,3.0,Charleston,41,3.0,2
2/11/2026,Salem,0,0.0,Charleston,61,2.0,2
2/11/2026,Salem,31,0.0,Charleston,61,2.0,2
2/11/2026,Salem,61,2.0,Charleston,11,0.0,2
2/11/2026,Salem,70,0.0,Charleston,,,2
2/11/2026,Salem,/31,2.0,Charleston,0,0.0,2
2/11/2026,Salem,0,0.0,Charleston,11,0.0,2
2/11/2026,Salem,41/0,0.0,Charleston,60/60,0.0,2
2/11/2026,Salem,61,2.0,Charleston,31,0.0,2
2/11/2026,Salem,0,0.0,Charleston,11,0.0,2
2/11/2026,Salem,31/41,0.0,Charleston,61,3.0,2
2/11/2026,Salem,0,0.0,Charleston,60/41/61,2.0,2
2/11/2026,Salem,31,0.0,Charleston,,,2
