Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/4/2026,Salem,,,Concord,31/41/70,1.0,1
2/4/2026,Salem,11,0.0,Concord,0,0.0,1
2/4/2026,Salem,11/61,2.0,Concord,60/31,0.0,1
2/4/2026,Salem,11,0.0,Concord,11,0.0,1
2/4/2026,Salem,60,2.0,Concord,0,0.0,1
2/4/2026,Salem,60,2.0,Concord,60,0.0,1
2/4/2026,Salem,11,0.0,Concord,0,0.0,1
2/4/2026,Salem,61,2.0,Concord,41,3.0,1
2/4/2026,Salem,31,2.0,Concord,41,3.0,1
2/4/2026,Salem,11,0.0,Concord,11,0.0,1
2/4/2026,Salem,31/60,2.0,Concord,11,0.0,1
2/4/2026,Salem,0,0.0,Concord,30,2.0,1
2/4/2026,Salem,61,2.0,Concord,11/60,2.0,1
2/4/2026,Salem,70,1.0,Concord,70,2.0,1
2/4/2026,Salem,61,0.0,Concord,61,2.0,1
2/4/2026,Salem,11,0.0,Concord,40,0.0,1
2/4/2026,Salem,30,2.0,Concord,11/0,0.0,1
2/4/2026,Salem,31,3.0,Concord,61,2.0,1
2/4/2026,Salem,0,0.0,Concord,60,0.0,1
2/4/2026,Salem,31,0.0,Concord,41,3.0,1
2/4/2026,Salem,60,2.0,Concord,31,0.0,1
2/4/2026,Salem,70,3.0,Concord,61,3.0,1
2/4/2026,Salem,11,0.0,Concord,61,0.0,1
2/4/2026,Salem,0,0.0,Concord,70,2.0,1
2/4/2026,Salem,31,0.0,Concord,0,0.0,1
2/4/2026,Salem,60,2.0,Concord,0,0.0,1
2/4/2026,Salem,61,0.0,Concord,0,0.0,1
2/4/2026,Salem,31/0,0.0,Concord,0,0.0,1
2/4/2026,Salem,70,1.0,Concord,31,0.0,1
2/4/2026,Salem,0,0.0,Concord,41,2.0,1
2/4/2026,Salem,70,1.0,Concord,61,3.0,1
2/4/2026,Salem,0,0.0,Concord,31,0.0,1
2/4/2026,Salem,11,0.0,Concord,31,2.0,1
2/4/2026,Salem,70,1.0,Concord,41,2.0,1
2/4/2026,Salem,11,0.0,Concord,61,2.0,1
2/4/2026,Salem,0,0.0,Concord,0,0.0,1
2/4/2026,Salem,60,2.0,Concord,70,1.0,1
2/4/2026,Salem,31/11/41,0.0,Concord,11/60,2.0,1
2/4/2026,Salem,0,0.0,Concord,61/41,2.0,1
2/4/2026,Salem,70,1.0,Concord,,,1
2/4/2026,Salem,/11,0.0,Concord,31,0.0,1
2/4/2026,Salem,31,3.0,Concord,31/31,2.0,2
2/4/2026,Salem,0,0.0,Concord,31,2.0,2
2/4/2026,Salem,61,2.0,Concord,31/61,3.0,2
2/4/2026,Salem,31,3.0,Concord,31,0.0,2
2/4/2026,Salem,0,0.0,Concord,61,2.0,2
2/4/2026,Salem,31,0.0,Concord,61,2.0,2
2/4/2026,Salem,70,3.0,Concord,41,2.0,2
2/4/2026,Salem,60,2.0,Concord,0,0.0,2
2/4/2026,Salem,41,0.0,Concord,60,3.0,2
2/4/2026,Salem,31,0.0,Concord,41,0.0,2
2/4/2026,Salem,61,0.0,Concord,0,0.0,2
2/4/2026,Salem,11/0,0.0,Concord,41,3.0,2
2/4/2026,Salem,31,2.0,Concord,31,0.0,2
2/4/2026,Salem,31,0.0,Concord,41,0.0,2
2/4/2026,Salem,70,3.0,Concord,31/31,0.0,2
2/4/2026,Salem,40,3.0,Concord,70,1.0,2
2/4/2026,Salem,11,0.0,Concord,60,2.0,2
2/4/2026,Salem,,,Concord,70,2.0,2
2/4/2026,Salem,31/31,0.0,Concord,70,0.0,2
2/4/2026,Salem,61,2.0,Concord,61,2.0,2
2/4/2026,Salem,11/70,2.0,Concord,31,0.0,2
2/4/2026,Salem,10/70,1.0,Concord,61/70,1.0,2
2/4/2026,Salem,31,0.0,Concord,31,0.0,2
2/4/2026,Salem,31,0.0,Concord,41,0.0,2
2/4/2026,Salem,40,3.0,Concord,40/60,2.0,2
2/4/2026,Salem,61/0,0.0,Concord,0,0.0,2
2/4/2026,Salem,61,2.0,Concord,70,2.0,2
2/4/2026,Salem,70,2.0,Concord,31,0.0,2
2/4/2026,Salem,70,1.0,Concord,11/11,0.0,2
2/4/2026,Salem,70,3.0,Concord,41,3.0,2
2/4/2026,Salem,11/61/61,2.0,Concord,110,3.0,2
2/4/2026,Salem,31/61,2.0,Concord,41,0.0,2
2/4/2026,Salem,11/31,3.0,Concord,61,0.0,2
2/4/2026,Salem,31/61,2.0,Concord,11/41,2.0,2
2/4/2026,Salem,0,0.0,Concord,61,2.0,2
2/4/2026,Salem,110,3.0,Concord,11,0.0,2
2/4/2026,Salem,41,3.0,Concord,11/61,2.0,3
2/4/2026,Salem,11/11,0.0,Concord,70,1.0,3
2/4/2026,Salem,41,0.0,Concord,30/61,2.0,3
2/4/2026,Salem,60,2.0,Concord,41,3.0,3
2/4/2026,Salem,0,0.0,Concord,11,0.0,3
2/4/2026,Salem,70,2.0,Concord,0,0.0,3
2/4/2026,Salem,70,0.0,Concord,41,0.0,3
2/4/2026,Salem,31,0.0,Concord,61,3.0,3
2/4/2026,Salem,11/70,2.0,Concord,70,2.0,3
2/4/2026,Salem,31,3.0,Concord,70,2.0,3
2/4/2026,Salem,31,0.0,Concord,,,3
