Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
1/31/2026,Salem,,,D&E,31,0.0,1
1/31/2026,Salem,60,2.0,D&E,40,0.0,1
1/31/2026,Salem,61/60,2.0,D&E,70,2.0,1
1/31/2026,Salem,11/61,2.0,D&E,31,2.0,1
1/31/2026,Salem,70,3.0,D&E,11,0.0,1
1/31/2026,Salem,0,0.0,D&E,41,3.0,1
1/31/2026,Salem,70,2.0,D&E,61,0.0,1
1/31/2026,Salem,31/60,3.0,D&E,11,0.0,1
1/31/2026,Salem,70,1.0,D&E,0,0.0,1
1/31/2026,Salem,31,2.0,D&E,30/11,2.0,1
1/31/2026,Salem,60,2.0,D&E,11,0.0,1
1/31/2026,Salem,41,3.0,D&E,40/0,0.0,1
1/31/2026,Salem,60,2.0,D&E,70,1.0,1
1/31/2026,Salem,41/31,2.0,D&E,0,0.0,1
1/31/2026,Salem,11,0.0,D&E,61,2.0,1
1/31/2026,Salem,31/60,2.0,D&E,31,0.0,1
1/31/2026,Salem,70,2.0,D&E,11/61/60,2.0,1
1/31/2026,Salem,31/61,2.0,D&E,0,0.0,1
1/31/2026,Salem,31/11,0.0,D&E,11,0.0,1
1/31/2026,Salem,0,0.0,D&E,31/60,2.0,1
1/31/2026,Salem,31/70,1.0,D&E,41,3.0,1
1/31/2026,Salem,0,0.0,D&E,31,0.0,1
1/31/2026,Salem,41,0.0,D&E,41,2.0,1
1/31/2026,Salem,31,3.0,D&E,61,2.0,1
1/31/2026,Salem,60,2.0,D&E,61,3.0,1
1/31/2026,Salem,60,0.0,D&E,31,2.0,1
1/31/2026,Salem,31,2.0,D&E,11,0.0,1
1/31/2026,Salem,70,2.0,D&E,0,0.0,1
1/31/2026,Salem,70,0.0,D&E,110,2.0,1
1/31/2026,Salem,,,D&E,/0,0.0,1
1/31/2026,Salem,31,2.0,D&E,70,3.0,1
1/31/2026,Salem,31,3.0,D&E,11,0.0,1
1/31/2026,Salem,0,0.0,D&E,70,2.0,1
1/31/2026,Salem,11/11/11,0.0,D&E,0,0.0,1
1/31/2026,Salem,41,3.0,D&E,61,2.0,1
1/31/2026,Salem,41,3.0,D&E,0,0.0,1
1/31/2026,Salem,11,0.0,D&E,11,2.0,1
1/31/2026,Salem,61,0.0,D&E,61,2.0,1
1/31/2026,Salem,60/70,2.0,D&E,,,1
1/31/2026,Salem,70,2.0,D&E,40/61,2.0,1
1/31/2026,Salem,11,0.0,D&E,,,1
1/31/2026,Salem,,,D&E,31/41,2.0,2
1/31/2026,Salem,31,0.0,D&E,41,3.0,2
1/31/2026,Salem,11,0.0,D&E,70,2.0,2
1/31/2026,Salem,11,0.0,D&E,11,0.0,2
1/31/2026,Salem,70,2.0,D&E,41,0.0,2
1/31/2026,Salem,60/11/70,1.0,D&E,70,2.0,2
1/31/2026,Salem,31,0.0,D&E,31/0,0.0,2
1/31/2026,Salem,40,2.0,D&E,41,2.0,2
1/31/2026,Salem,70,3.0,D&E,31,2.0,2
1/31/2026,Salem,11/30,3.0,D&E,70,1.0,2
1/31/2026,Salem,11,0.0,D&E,61,2.0,2
1/31/2026,Salem,31,0.0,D&E,41/60,2.0,2
1/31/2026,Salem,11,0.0,D&E,61,2.0,2
1/31/2026,Salem,11,0.0,D&E,70,2.0,2
1/31/2026,Salem,11,0.0,D&E,11/60,2.0,2
1/31/2026,Salem,61,2.0,D&E,0,0.0,2
1/31/2026,Salem,0,0.0,D&E,61,0.0,2
1/31/2026,Salem,60,2.0,D&E,31,0.0,2
1/31/2026,Salem,11/60,2.0,D&E,31,3.0,2
1/31/2026,Salem,31/70,2.0,D&E,40,0.0,2
1/31/2026,Salem,41,0.0,D&E,31,0.0,2
1/31/2026,Salem,41/70,1.0,D&E,0,0.0,2
1/31/2026,Salem,31,0.0,D&E,40/61,3.0,2
1/31/2026,Salem,0,0.0,D&E,11/11,2.0,2
1/31/2026,Salem,70,0.0,D&E,41,0.0,2
1/31/2026,Salem,31,0.0,D&E,60,2.0,2
1/31/2026,Salem,70,0.0,D&E,,,2
1/31/2026,Salem,/11/60/0,0.0,D&E,0,0.0,2
1/31/2026,Salem,11,2.0,D&E,31,2.0,2
1/31/2026,Salem,31,2.0,D&E,11,0.0,2
1/31/2026,Salem,60,2.0,D&E,70,3.0,2
1/31/2026,Salem,0,0.0,D&E,31/70,2.0,2
1/31/2026,Salem,70,2.0,D&E,31,0.0,2
1/31/2026,Salem,70,2.0,D&E,41,0.0,2
